"source","destination","SimYear","dist_km","direction","SumParticles","SumParticlesReleasedSource","SourceNormRecruitment"
"Magbangon","Other",2010,NA,NA,91264,91264,1
"Cabatoan","Other",2010,NA,NA,91200,91264,0.99929873772791
"Sitio Baybayon","Other",2010,NA,NA,182268,182528,0.998575561009818
"SF2","Other",2010,NA,NA,273396,273792,0.998553646563815
"Palanas","Other",2011,NA,NA,240630,241056,0.998232775786539
"Caridad Proper","Other",2010,NA,NA,91014,91264,0.997260694249649
"Palanas","Other",2010,NA,NA,90955,91264,0.996614218092567
"Wangag","Other",2010,NA,NA,90901,91264,0.996022528050491
"Other","Other",2014,NA,NA,483732587,485754624,0.99583732835449
"Caridad Cemetery","Other",2010,NA,NA,90809,91264,0.995014463534362
"Other","Other",2010,NA,NA,411480479,413790976,0.994416270208851
"Haina","Other",2014,NA,NA,212740,214272,0.992850209080048
"Other","Other",2011,NA,NA,1084858521,1092947904,0.992598564880911
"Sitio Tugas","Other",2010,NA,NA,90545,91264,0.992121756661992
"Haina","Other",2013,NA,NA,477044,482112,0.989487919819461
"Sitio Lonas","Other",2010,NA,NA,90301,91264,0.989448194249649
"Wangag","Other",2011,NA,NA,238275,241056,0.988463261648746
"Hicgop South","Other",2010,NA,NA,180349,182528,0.988062105539972
"Haina","Other",2010,NA,NA,180171,182528,0.987086912692847
"Haina","Other",2011,NA,NA,475240,482112,0.985746050710208
"SF3","Other",2010,NA,NA,449194,456320,0.984383765778401
"SF3","Other",2011,NA,NA,1184457,1205280,0.98272351652728
"Other","Other",2012,NA,NA,1078362948,1097445632,0.982611727229509
"Other","Other",2013,NA,NA,1072796413,1092947904,0.981562258433134
"Haina","Other",2012,NA,NA,474807,484096,0.980811657191962
"Elementary School","Other",2010,NA,NA,89507,91264,0.980748159186536
"SF1","Other",2010,NA,NA,357769,365056,0.980038678997195
"Palanas","Other",2012,NA,NA,237141,242048,0.979727161554733
"SF3","Other",2013,NA,NA,1176363,1205280,0.976008064516129
"SF2","Other",2013,NA,NA,704467,723168,0.97414017213151
"Palanas","Other",2013,NA,NA,234756,241056,0.973864994026284
"SF2","Other",2011,NA,NA,704189,723168,0.973755752466923
"SF2","Other",2012,NA,NA,704920,726144,0.970771637581527
"Sitio Tugas","Other",2013,NA,NA,233711,241056,0.969529901765565
"SF3","Other",2012,NA,NA,1172843,1210240,0.969099517451084
"Caridad Proper","Other",2012,NA,NA,233923,242048,0.966432277895294
"Sitio Tugas","Other",2011,NA,NA,232853,241056,0.965970562856764
"Magbangon","Other",2013,NA,NA,232331,241056,0.963805090933227
"Sitio Tugas","Other",2012,NA,NA,233154,242048,0.963255222104706
"Cabatoan","Other",2012,NA,NA,232894,242048,0.962181054997356
"Caridad Cemetery","Other",2013,NA,NA,231832,241056,0.961735032523563
"Pangasugan","Other",2013,NA,NA,231743,241056,0.961365823709014
"SF1","Other",2013,NA,NA,925134,964224,0.959459627638391
"Caridad Proper","Other",2013,NA,NA,231131,241056,0.958826994557281
"Cabatoan","Other",2013,NA,NA,231036,241056,0.958432895260852
"Wangag","Other",2013,NA,NA,230906,241056,0.957893601486791
"Caridad Cemetery","Other",2012,NA,NA,231681,242048,0.95716965230037
"Caridad Proper","Other",2011,NA,NA,230680,241056,0.956956060002655
"Cabatoan","Other",2014,NA,NA,102466,107136,0.956410543608124
"Cabatoan","Other",2011,NA,NA,230377,241056,0.955699090667729
"Visca","Other",2013,NA,NA,230342,241056,0.955553896190097
"Palanas","Other",2014,NA,NA,102359,107136,0.9554118130227
"Magbangon","Other",2012,NA,NA,230551,242048,0.952501156795346
