"source","destination","SourceSampled","DestSampled","SimMonth","SimDay","SimYear","YearSampled","SimMonsoon","DailyParticles","ParticlesReleasedDaily","dist_km","NormSourceAllYears","NormSourceAnnual","NormSourceMonsoon","direction","AnnRecPart","SourcePropSamp","DestPropSamp","obs_disp"
"Sitio Baybayon","Palanas","yes","yes",10,10,2011,"2012","SWM",0,1984,27.2919430069393,0,0,0,28,624,0,0.289855072463768,0
"Sitio Baybayon","Wangag","yes","yes",10,10,2011,"2012","SWM",0,1984,26.8620654279672,0,0,0,26,1080,0,0.18213058419244,0
"Sitio Baybayon","Magbangon","yes","yes",10,10,2011,"2012","SWM",0,1984,25.1134608596041,0,0,0,18,1221,0,0.459383753501401,0
"Sitio Baybayon","Cabatoan","yes","yes",10,10,2011,"2012","SWM",0,1984,24.9105624661144,0,0,0,14,1025,0,0.423076923076923,0
"Sitio Baybayon","Caridad Cemetery","yes","yes",10,10,2011,"2012","SWM",0,1984,22.4353813748238,0,0,0,165,2131,0,0,0
"Sitio Baybayon","Caridad Proper","yes","yes",10,10,2011,"2012","SWM",0,1984,21.7509719512898,0,0,0,164,2998,0,0,0
"Sitio Baybayon","Hicgop South","yes","yes",10,10,2011,"2012","SWM",0,1984,19.747308872455,0,0,0,104,351,0,0,0
"Sitio Baybayon","Sitio Tugas","yes","yes",10,10,2011,"2012","SWM",0,1984,18.8737442004117,0,0,0,102,173,0,0,0
"Sitio Baybayon","Elementary School","yes","yes",10,10,2011,"2012","SWM",0,1984,18.0747093449379,0,0,0,65,4,0,0,0
"Sitio Baybayon","Sitio Lonas","yes","yes",10,10,2011,"2012","SWM",0,1984,15.3556606444419,0,0,0,318,71,0,1,0
"Sitio Baybayon","San Agustin","yes","yes",10,10,2011,"2012","SWM",0,1984,14.7598845132621,0,0,0,319,217,0,0.888888888888889,0
"Sitio Baybayon","Poroc San Flower","yes","yes",10,10,2011,"2012","SWM",0,1984,14.2288188911802,0,0,0,320,28,0,1,0
"Sitio Baybayon","Poroc Rose","yes","yes",10,10,2011,"2012","SWM",0,1984,13.2745735162831,0,0,0,321,10,0,1,0
"Sitio Baybayon","Visca","yes","yes",10,10,2011,"2012","SWM",0,1984,12.0358563168247,0,0,0,322,0,0,1,0
"Sitio Baybayon","Gabas","yes","yes",10,10,2011,"2012","SWM",0,1984,10.3497099508259,0,0,0,181,0,0,0,0
"Sitio Baybayon","Tamakin Dacot","yes","yes",10,10,2011,"2012","SWM",0,1984,2.00690512091702,0,0,0,317,4,0,0,0
"Sitio Baybayon","Haina","yes","yes",10,10,2011,"2012","SWM",0,1984,0.800707367317091,0,0,0,323,8,0,0,0
"Sitio Baybayon","Sitio Baybayon","yes","yes",10,10,2011,"2012","SWM",0,1984,9.49352979660034e-05,0,0,0,62,8017,0,0,0
"Haina","Palanas","yes","yes",10,10,2011,"2012","SWM",0,1984,26.9920106136833,0,0,0,35,1,0,0.289855072463768,0
"Haina","Wangag","yes","yes",10,10,2011,"2012","SWM",0,1984,26.5532626762551,0,0,0,32,0,0,0.18213058419244,0
"Haina","Magbangon","yes","yes",10,10,2011,"2012","SWM",0,1984,24.7849757104057,0,0,0,27,9,0,0.459383753501401,0
"Haina","Cabatoan","yes","yes",10,10,2011,"2012","SWM",0,1984,24.5778997843548,0,0,0,25,16,0,0.423076923076923,0
"Haina","Caridad Cemetery","yes","yes",10,10,2011,"2012","SWM",0,1984,22.050106611415,0,0,0,170,1,0,0,0
"Haina","Caridad Proper","yes","yes",10,10,2011,"2012","SWM",0,1984,21.3552337005377,0,0,0,169,9,0,0,0
"Haina","Hicgop South","yes","yes",10,10,2011,"2012","SWM",0,1984,19.3126421844879,0,0,0,153,40,0,0,0
"Haina","Sitio Tugas","yes","yes",10,10,2011,"2012","SWM",0,1984,18.4303145606387,0,0,0,152,49,0,0,0
"Haina","Elementary School","yes","yes",10,10,2011,"2012","SWM",0,1984,17.625238506364,0,0,0,138,127,0,0,0
