TimeScale,TimeID,PropUnassigned,ExpUnassigned,PropSampEval,Check1,Check2,NrowSimConn
annual,2012,0.174603174603175,0.927483707004505,0.1,TRUE,TRUE,332264
annual,2013,0.24,0.758355084248999,0.1,TRUE,TRUE,332264
annual,2014,0.193370165745856,0.874312509160843,0.1,TRUE,TRUE,332264
interannual,2012_4,0.208121827411168,0.844132649668207,0.1,TRUE,TRUE,332264
annual,2012,0.365079365079365,0.927483707004505,0.2,TRUE,TRUE,363170
annual,2013,0.366666666666667,0.758355084248999,0.2,TRUE,TRUE,363170
annual,2014,0.265193370165746,0.874312509160843,0.2,TRUE,TRUE,363170
interannual,2012_4,0.319796954314721,0.844132649668207,0.2,TRUE,TRUE,363170
annual,2012,0.412698412698413,0.927483707004505,0.3,TRUE,TRUE,394076
annual,2013,0.54,0.758355084248999,0.3,TRUE,TRUE,394076
annual,2014,0.38121546961326,0.874312509160843,0.3,TRUE,TRUE,394076
interannual,2012_4,0.446700507614213,0.844132649668207,0.3,TRUE,TRUE,394076
annual,2012,0.46031746031746,0.927483707004505,0.4,TRUE,TRUE,424982
annual,2013,0.566666666666667,0.758355084248999,0.4,TRUE,TRUE,424982
annual,2014,0.43646408839779,0.874312509160843,0.4,TRUE,TRUE,424982
interannual,2012_4,0.489847715736041,0.844132649668207,0.4,TRUE,TRUE,424982
annual,2012,0.46031746031746,0.927483707004505,0.5,TRUE,TRUE,455889
annual,2013,0.526666666666667,0.758355084248999,0.5,TRUE,TRUE,455889
annual,2014,0.458563535911602,0.874312509160843,0.5,TRUE,TRUE,455889
interannual,2012_4,0.484771573604061,0.844132649668207,0.5,TRUE,TRUE,455889
annual,2012,0.523809523809524,0.927483707004505,0.6,TRUE,TRUE,486794
annual,2013,0.593333333333333,0.758355084248999,0.6,TRUE,TRUE,486794
annual,2014,0.502762430939227,0.874312509160843,0.6,TRUE,TRUE,486794
interannual,2012_4,0.540609137055838,0.844132649668207,0.6,TRUE,TRUE,486794
annual,2012,0.507936507936508,0.927483707004505,0.7,TRUE,TRUE,517700
annual,2013,0.586666666666667,0.758355084248999,0.7,TRUE,TRUE,517700
annual,2014,0.519337016574586,0.874312509160843,0.7,TRUE,TRUE,517700
interannual,2012_4,0.543147208121827,0.844132649668207,0.7,TRUE,TRUE,517700
annual,2012,0.650793650793651,0.927483707004505,0.8,TRUE,TRUE,548606
annual,2013,0.606666666666667,0.758355084248999,0.8,TRUE,TRUE,548606
annual,2014,0.6353591160221,0.874312509160843,0.8,TRUE,TRUE,548606
interannual,2012_4,0.626903553299492,0.844132649668207,0.8,TRUE,TRUE,548606
annual,2012,0.555555555555556,0.927483707004505,0.9,TRUE,TRUE,579512
annual,2013,0.666666666666667,0.758355084248999,0.9,TRUE,TRUE,579512
annual,2014,0.646408839779006,0.874312509160843,0.9,TRUE,TRUE,579512
interannual,2012_4,0.639593908629442,0.844132649668207,0.9,TRUE,TRUE,579512
annual,2012,0.571428571428571,0.927483707004505,1,FALSE,FALSE,610419
annual,2013,0.666666666666667,0.758355084248999,1,FALSE,FALSE,610419
annual,2014,0.61878453038674,0.874312509160843,1,FALSE,FALSE,610419
interannual,2012_4,0.629441624365482,0.844132649668207,1,FALSE,FALSE,610419
