"source","destination","dist_km","direction","CV"
"Cabatoan","Gabas",15.9248209877409,152.749797448597,0
"Cabatoan","SF4",9.42115226901839,148.4412534496,0
"CAI","Caridad Cemetery",37.5119107683828,63.9137454660728,0
"CAI","Elementary School",38.0846165851528,71.0731048214667,0
"CAI","SF3",37.3969140510318,66.841824084343,0
"CAI","Sitio Lonas",38.8302576868779,75.6198581062733,0
"CAI","Sitio Tugas",38.1435748645998,69.8510252382899,0
"Caridad Cemetery","SF6",19.2363922790127,180.211642266589,0
"Caridad Cemetery","Visca",11.1170499867974,156.965363685512,0
"Caridad Proper","Gabas",12.3313979398098,157.695937923541,0
"Caridad Proper","SF6",18.6090798511156,181.53963570905,0
"Elementary School","SF4",1.80154965774624,167.569613478828,0
"Elementary School","SF6",15.2704615045884,189.176772008881,0
"Magbangon","Gabas",16.1581187484931,152.431679745725,0
"Magbangon","SF4",9.66049979905134,148.015118954191,0
"Palanas","Gabas",18.5270048321881,150.886670529944,0
"Palanas","Haina",26.9920106136833,163.43494059821,0
"Palanas","SF4",12.0579842592439,146.515659627277,0
"Palanas","SF5",17.7980970370156,151.821090798412,0
"Palanas","SF6",23.704491144705,170.668058520166,0
"Palanas","Tamakin Dacot",25.829348683192,162.028834180313,0
"Palanas","Visca",16.5775204258635,150.132753475054,0
"SF1","SF6",22.4201320188277,171.412048665335,0
"SF3","Gabas",11.1554558825158,156.740837721741,0
"SF3","Tamakin Dacot",18.9280249721515,169.792997152187,0
"Sitio Baybayon","Gabas",10.3497099508259,10.9608345126726,0
"Sitio Lonas","Gabas",5.29391347715393,167.528267701314,0
"Sitio Lonas","Haina",14.8456846831604,180.721689954056,0
"Sitio Lonas","SF6",12.9892879138939,198.116502426222,0
"Sitio Lonas","Tamakin Dacot",13.5438241042835,179.627757669958,0
"Tamakin Dacot","Palanas",25.829348683192,342.042373547148,0
"Tamakin Dacot","Wangag",25.3830246400065,342.730039084419,0
"Wangag","Gabas",18.0301766971931,151.560729957888,0
"Wangag","SF4",11.5466070395871,147.375580846314,0
"Wangag","SF6",23.3095272094725,171.575435413223,0
"Wangag","Visca",16.078031642585,150.86504434047,0
"Other","Palanas",NA,NA,0.00107342831915503
"Other","Other",NA,NA,0.00338660378529753
"Other","Sitio Baybayon",NA,NA,0.0040126568384355
"Haina","Other",NA,NA,0.00492109963028958
"Other","Magbangon",NA,NA,0.00506326389107271
"Pangasugan","Other",NA,NA,0.00541227308620326
