"source","destination","YearSampled","dist_km","direction","SumParticles","SumParticlesReleasedSource","SourceNormRecruitment"
"Visca","Caridad Proper","2011",10.3684742357159,70,779,241056,0.00323161423071817
"Haina","Haina","2014",0,62,1273,396800,0.00320816532258065
"Elementary School","Caridad Proper","2012",4.01495979265945,94,769,242048,0.00317705579058699
"SF2","SF3","2012",NA,NA,2305,726144,0.00317430151595276
"Wangag","Caridad Cemetery","2014",5.15903752298336,190,629,198400,0.00317036290322581
"Magbangon","Sitio Baybayon","2014",25.1134608596041,287,627,198400,0.00316028225806452
"SF1","Caridad Cemetery","2014",NA,NA,2508,793600,0.00316028225806452
"Hicgop South","SF3","2011",NA,NA,1518,482112,0.00314864595778574
"Elementary School","Sitio Tugas","2011",0.819148876610196,30,757,241056,0.0031403491304925
"Caridad Cemetery","Caridad Proper","2013",0.763632138458259,216,753,241056,0.00312375547590601
"Poroc Rose","San Agustin","2013",1.51127255483946,162,753,241056,0.00312375547590601
"Cabatoan","SF2","2013",NA,NA,737,241056,0.00305738085756007
"Hicgop South","SF5","2013",NA,NA,1472,482112,0.00305323244391345
"Visca","Caridad Proper","2014",10.3684742357159,70,605,198400,0.00304939516129032
"SF3","Caridad Proper","2014",NA,NA,3018,992000,0.00304233870967742
"Visca","Poroc San Flower","2012",2.21665869501555,103,736,242048,0.00304071919619249
"Sitio Tugas","SF3","2012",NA,NA,726,242048,0.00299940507667901
"SF5","Sitio Lonas","2011",NA,NA,8532,2892672,0.00294952210274791
"SF5","Sitio Lonas","2012",NA,NA,8563,2904576,0.00294810671161643
"Sitio Baybayon","Wangag","2011",26.8620654279672,26,1411,482112,0.00292670582769149
"Poroc Rose","CAI","2013",38.5971089154612,4,702,241056,0.00291218637992832
"San Agustin","Hicgop South","2013",5.43370927160229,76,700,241056,0.00290388955263507
"SF2","SF3","2011",NA,NA,2097,723168,0.00289974113898845
"SF1","Sitio Baybayon","2012",NA,NA,2803,968192,0.00289508692490746
"Hicgop South","Caridad Proper","2011",2.33565955110038,129,1393,482112,0.0028893701048719
"Cabatoan","Caridad Cemetery","2012",3.03869204915848,186,699,242048,0.0028878569539926
"Pangasugan","Poroc San Flower","2012",NA,NA,697,242048,0.0028795941300899
"Magbangon","Sitio Baybayon","2012",25.1134608596041,287,688,242048,0.00284241142252776
"Haina","Tamakin Dacot","2011",1.32935692208799,182,1369,482112,0.00283958914111244
"Haina","Haina","2012",0,62,1366,484096,0.00282175436277102
"Hicgop South","SF1","2013",NA,NA,1359,482112,0.00281884707287933
"Wangag","Caridad Cemetery","2012",5.15903752298336,190,680,242048,0.00280936012691698
"Hicgop South","Caridad Proper","2014",2.33565955110038,129,1110,396800,0.00279737903225806
"Poroc Rose","Poroc Rose","2011",0.000134258785931453,62,669,241056,0.0027752887295898
"Poroc San Flower","Elementary School","2014",4.28736209804195,81,546,198400,0.00275201612903226
"Hicgop South","Hicgop South","2013",0,62,1313,482112,0.00272343355900704
"San Agustin","Elementary School","2012",3.71624288089285,83,655,242048,0.00270607482813326
"Gabas","Hicgop South","2012",10.0841152266487,63,654,242048,0.00270194341618191
"Elementary School","Sitio Tugas","2012",0.819148876610196,30,652,242048,0.00269368059227922
"Cabatoan","Hicgop South","2012",6.11477685668207,194,651,242048,0.00268954918032787
"Palanas","Caridad Proper","2014",6.44791835925525,191,531,198400,0.00267641129032258
"Magbangon","Magbangon","2011",0,62,645,241056,0.00267572680207089
"Wangag","Sitio Baybayon","2011",26.8620654279672,284,639,241056,0.00265083632019116
"SF4","Pangasugan","2012",NA,NA,1283,484096,0.00265030076679006
"Cabatoan","Caridad Proper","2014",3.78950368118107,188,524,198400,0.00264112903225806
"SF4","Poroc San Flower","2011",NA,NA,1271,482112,0.00263631687242798
"Sitio Baybayon","Cabatoan","2013",24.9105624661144,14,1271,482112,0.00263631687242798
"Poroc San Flower","Elementary School","2013",4.28736209804195,81,634,241056,0.00263009425195805
"Poroc Rose","Caridad Proper","2014",9.15713870255119,78,521,198400,0.00262600806451613
"SF4","Poroc San Flower","2012",NA,NA,1270,484096,0.00262344658910629
"Wangag","Caridad Proper","2014",5.91579724335279,192,515,198400,0.00259576612903226
"Visca","Sitio Tugas","2014",7.21408228716616,39,514,198400,0.00259072580645161
"SF4","Pangasugan","2014",NA,NA,1024,396800,0.00258064516129032
"SF5","SF4","2011",NA,NA,7433,2892672,0.00256959655294482
"Poroc San Flower","Poroc Rose","2011",0.956338767353715,56,619,241056,0.00256786804725873
"San Agustin","Sitio Tugas","2013",4.52288186298911,79,619,241056,0.00256786804725873
"SF5","Sitio Lonas","2014",NA,NA,6076,2380800,0.00255208333333333
"SF5","SF2","2012",NA,NA,7407,2904576,0.00255011402696986
