"source","destination","YearSampled","dist_km","direction","SumParticles","SumParticlesReleasedSource","SourceNormRecruitment"
"Gabas","Sitio Tugas","2013",9.17150421430282,60,444,241056,0.00184189565909996
"Caridad Proper","Sitio Baybayon","2012",21.7509719512898,297,442,242048,0.00182608408249603
"Poroc San Flower","Poroc San Flower","2014",0,62,362,198400,0.00182459677419355
"SF1","Hicgop South","2014",NA,NA,1445,793600,0.00182081653225806
"Cabatoan","Sitio Baybayon","2014",24.9105624661144,291,361,198400,0.0018195564516129
"Hicgop South","Sitio Lonas","2013",4.86139751953595,249,877,482112,0.00181907938404354
"Poroc Rose","Sitio Tugas","2012",5.97906582562741,66,440,242048,0.00181782125859334
"Poroc Rose","Poroc Rose","2014",0.000134258785931453,62,360,198400,0.00181451612903226
"Magbangon","SF3","2012",NA,NA,439,242048,0.00181368984664199
"Wangag","Palanas","2013",0.540970717463239,155,435,241056,0.00180455993628037
"SF5","Tamakin Dacot","2014",NA,NA,4264,2380800,0.00179099462365591
"Elementary School","Sitio Tugas","2013",0.819148876610196,30,431,241056,0.00178796628169388
"Magbangon","Wangag","2011",1.88974564473697,124,431,241056,0.00178796628169388
"Hicgop South","San Agustin","2013",5.43370927160229,255,861,482112,0.00178589207487057
"Poroc Rose","CAI","2014",38.5971089154612,4,354,198400,0.00178427419354839
"Hicgop South","Caridad Cemetery","2012",3.09873007253886,126,862,484096,0.0017806385510312
"Sitio Tugas","Caridad Proper","2012",3.22263263749314,109,431,242048,0.0017806385510312
"Poroc San Flower","Poroc San Flower","2013",0,62,429,241056,0.00177966945440064
"SF5","Gabas","2011",NA,NA,5147,2892672,0.00177932375326342
"Hicgop South","Elementary School","2013",1.73052315940533,270,855,482112,0.0017734468339307
"Cabatoan","Magbangon","2012",0.249569604975458,151,429,242048,0.0017723757271285
"Sitio Tugas","SF1","2013",NA,NA,427,241056,0.00177137262710739
"San Agustin","Caridad Proper","2012",7.72994839109529,89,426,242048,0.00175998149127446
"SF5","Gabas","2012",NA,NA,5085,2904576,0.00175068581438392
"San Agustin","Elementary School","2014",3.71624288089285,83,345,198400,0.00173891129032258
"Haina","Haina","2013",0,62,836,482112,0.0017340369042878
"SF4","Caridad Proper","2011",NA,NA,835,482112,0.00173196269746449
"Poroc Rose","Elementary School","2012",5.1630036993143,69,419,242048,0.00173106160761502
"Sitio Tugas","Sitio Baybayon","2014",18.8737442004117,312,343,198400,0.00172883064516129
"Poroc Rose","Caridad Proper","2012",9.15713870255119,78,418,242048,0.00172693019566367
"SF5","Visca","2013",NA,NA,4991,2892672,0.00172539437585734
"Caridad Cemetery","Sitio Baybayon","2014",22.4353813748238,296,342,198400,0.00172379032258065
"Cabatoan","Sitio Baybayon","2012",24.9105624661144,291,416,242048,0.00171866737176097
"Haina","Tamakin Dacot","2012",1.32935692208799,182,827,484096,0.0017083388418826
"Visca","Sitio Tugas","2011",7.21408228716616,39,411,241056,0.00170499800876145
"Wangag","Cabatoan","2012",2.13420254257553,203,412,242048,0.00170214172395558
"Visca","Elementary School","2013",6.39564840604425,57,410,241056,0.00170084959511483
"SF4","Sitio Tugas","2013",NA,NA,816,482112,0.00169255276782159
"SF5","Pangasugan","2013",NA,NA,4892,2892672,0.00169116996327271
"Pangasugan","Poroc Rose","2012",NA,NA,408,242048,0.00168561607615019
"Sitio Lonas","SF1","2012",NA,NA,407,242048,0.00168148466419884
"Caridad Proper","Cabatoan","2012",3.78950368118107,147,404,242048,0.00166909042834479
"SF3","Hicgop South","2012",NA,NA,2001,1210240,0.00165339106292967
"Magbangon","Cabatoan","2012",0.249569604975458,184,400,242048,0.0016525647805394
"Sitio Tugas","Caridad Proper","2011",3.22263263749314,109,398,241056,0.00165106863135537
"Magbangon","Caridad Cemetery","2013",3.28805912992589,185,396,241056,0.00164277180406213
"Poroc Rose","Sitio Tugas","2014",5.97906582562741,66,324,198400,0.00163306451612903
"Sitio Tugas","Sitio Lonas","2014",3.95401082044188,245,324,198400,0.00163306451612903
"Poroc Rose","SF1","2011",NA,NA,392,241056,0.00162617814947564
"SF3","Sitio Tugas","2014",NA,NA,1612,992000,0.001625
"Hicgop South","Sitio Tugas","2013",0.912910872621498,263,783,482112,0.00162410394265233
"Cabatoan","Magbangon","2011",0.249569604975458,151,390,241056,0.0016178813221824
"San Agustin","Poroc Rose","2013",1.51127255483946,299,390,241056,0.0016178813221824
"Visca","CAI","2013",38.5109343904408,172,389,241056,0.00161373290853578
"Pangasugan","Sitio Tugas","2011",NA,NA,388,241056,0.00160958449488915
"SF2","SF1","2013",NA,NA,1160,723168,0.00160405327669366
"Visca","Poroc Rose","2012",1.26450294037349,158,388,242048,0.00160298783712322
"Gabas","Sitio Tugas","2011",9.17150421430282,60,384,241056,0.00159299084030267
"Poroc San Flower","SF1","2011",NA,NA,383,241056,0.00158884242665605
"SF4","SF4","2012",NA,NA,769,484096,0.0015885278952935
"Poroc Rose","Hicgop South","2014",6.89197129622291,67,314,198400,0.00158266129032258
"Cabatoan","SF5","2013",NA,NA,381,241056,0.0015805455993628
"Poroc Rose","Elementary School","2013",5.1630036993143,69,381,241056,0.0015805455993628
"San Agustin","CAI","2013",38.7489692903279,6,381,241056,0.0015805455993628
"SF5","San Agustin","2014",NA,NA,3759,2380800,0.0015788810483871
"Poroc Rose","Pangasugan","2013",NA,NA,380,241056,0.00157639718571618
"Wangag","San Agustin","2014",13.5532790749203,218,312,198400,0.00157258064516129
"Palanas","Cabatoan","2013",2.66084320590822,196,378,241056,0.00156810035842294
"San Agustin","Hicgop South","2012",5.43370927160229,76,378,242048,0.00156167371760973
"Hicgop South","Caridad Cemetery","2011",3.09873007253886,126,748,482112,0.00155150670383645
"Magbangon","Hicgop South","2014",6.36236340664461,193,307,198400,0.00154737903225806
"SF3","Caridad Cemetery","2014",NA,NA,1527,992000,0.00153931451612903
"SF3","CAI","2014",NA,NA,1522,992000,0.00153427419354839
"SF1","Magbangon","2012",NA,NA,1481,968192,0.00152965527498678
"Cabatoan","Caridad Proper","2013",3.78950368118107,188,368,241056,0.00152661622195672
"Hicgop South","Sitio Lonas","2014",4.86139751953595,249,600,396800,0.00151209677419355
"Pangasugan","Sitio Tugas","2012",NA,NA,365,242048,0.0015079653622422
"Sitio Baybayon","San Agustin","2014",14.7598845132621,319,598,396800,0.0015070564516129
"SF1","Cabatoan","2014",NA,NA,1191,793600,0.0015007560483871
"San Agustin","Poroc San Flower","2011",0.575632693433525,268,361,241056,0.00149757732643037
"Elementary School","Sitio Lonas","2013",3.15672946924723,228,359,241056,0.00148928049913713
"Elementary School","Caridad Cemetery","2012",4.77585415072936,98,360,242048,0.00148730830248546
"Poroc Rose","Poroc San Flower","2014",0.956338767353715,173,295,198400,0.00148689516129032
"SF4","Poroc Rose","2011",NA,NA,716,482112,0.00148513208549051
"Elementary School","Caridad Proper","2011",4.01495979265945,94,357,241056,0.00148098367184389
"Hicgop South","Elementary School","2014",1.73052315940533,270,587,396800,0.00147933467741935
"Caridad Cemetery","Sitio Baybayon","2012",22.4353813748238,296,357,242048,0.00147491406663141
"Cabatoan","Caridad Cemetery","2011",3.03869204915848,186,354,241056,0.00146853843090402
"San Agustin","Poroc Rose","2014",1.51127255483946,299,291,198400,0.00146673387096774
"Caridad Cemetery","Magbangon","2012",3.28805912992589,150,354,242048,0.00146251983077737
"Gabas","Hicgop South","2014",10.0841152266487,63,289,198400,0.00145665322580645
"SF5","Elementary School","2011",NA,NA,4211,2892672,0.00145574748882694
"SF2","Magbangon","2012",NA,NA,1053,726144,0.00145012559492332
"Hicgop South","CAI","2011",38.1530161399208,11,695,482112,0.00144157374220098
"SF2","Sitio Lonas","2014",NA,NA,858,595200,0.00144153225806452
"San Agustin","CAI","2012",38.7489692903279,6,347,242048,0.00143359994711793
"San Agustin","Poroc San Flower","2013",0.575632693433525,268,344,241056,0.00142705429443781
"Visca","Sitio Tugas","2012",7.21408228716616,39,344,242048,0.00142120571126388
"Magbangon","Hicgop South","2012",6.36236340664461,193,343,242048,0.00141707429931253
"Poroc San Flower","Poroc Rose","2014",0.956338767353715,56,281,198400,0.00141633064516129
"SF3","Caridad Proper","2012",NA,NA,1714,1210240,0.00141624801692226
"Pangasugan","Elementary School","2013",NA,NA,340,241056,0.00141046063985132
"Hicgop South","SF5","2014",NA,NA,559,396800,0.00140877016129032
"Hicgop South","Sitio Lonas","2012",4.86139751953595,249,677,484096,0.00139848294553146
"SF3","SF1","2012",NA,NA,1688,1210240,0.00139476467477525
"SF4","SF4","2014",NA,NA,553,396800,0.00139364919354839
"Gabas","CAI","2012",39.004881087824,171,336,242048,0.00138815441565309
"Poroc Rose","SF1","2012",NA,NA,336,242048,0.00138815441565309
"Poroc San Flower","Pangasugan","2013",NA,NA,334,241056,0.00138557015797159
"Poroc Rose","Poroc San Flower","2013",0.956338767353715,173,333,241056,0.00138142174432497
"Palanas","SF2","2012",NA,NA,334,242048,0.0013798915917504
"San Agustin","Poroc Rose","2011",1.51127255483946,299,331,241056,0.00137312491703173
"Palanas","Palanas","2013",0,62,330,241056,0.00136897650338511
"SF3","SF1","2014",NA,NA,1347,992000,0.00135786290322581
"Magbangon","San Agustin","2013",11.6652303956557,219,326,241056,0.00135238284879862
"Magbangon","Sitio Baybayon","2013",25.1134608596041,287,326,241056,0.00135238284879862
"SF1","Magbangon","2014",NA,NA,1073,793600,0.00135206653225806
"Caridad Proper","San Agustin","2012",7.72994839109529,242,325,242048,0.00134270888418826
"Poroc San Flower","Caridad Proper","2014",8.29929043854204,84,266,198400,0.00134072580645161
"SF5","CAI","2012",NA,NA,3888,2904576,0.00133857747223691
"SF2","Caridad Cemetery","2012",NA,NA,971,726144,0.0013372003349198
"Pangasugan","Poroc San Flower","2014",NA,NA,265,198400,0.00133568548387097
"SF2","Caridad Proper","2012",NA,NA,968,726144,0.00133306892296845
"SF4","Poroc San Flower","2013",NA,NA,642,482112,0.00133164078056551
"Poroc San Flower","Hicgop South","2013",6.00735397943935,75,320,241056,0.00132749236691889
"SF1","Sitio Lonas","2014",NA,NA,1051,793600,0.00132434475806452
"Caridad Cemetery","Caridad Cemetery","2014",9.49352979660034e-05,62,262,198400,0.00132056451612903
"San Agustin","Caridad Proper","2014",7.72994839109529,89,261,198400,0.00131552419354839
"Caridad Proper","SF5","2013",NA,NA,317,241056,0.00131504712597903
"SF3","SF2","2011",NA,NA,1582,1205280,0.00131255807779105
"Palanas","Palanas","2014",0,62,259,198400,0.0013054435483871
"Visca","Sitio Tugas","2013",7.21408228716616,39,314,241056,0.00130260188503916
"SF2","Sitio Baybayon","2014",NA,NA,771,595200,0.00129536290322581
"Pangasugan","Poroc San Flower","2011",NA,NA,312,241056,0.00129430505774592
"Sitio Baybayon","Wangag","2014",26.8620654279672,26,513,396800,0.00129284274193548
"Visca","Poroc Rose","2014",1.26450294037349,158,256,198400,0.00129032258064516
"Sitio Baybayon","Palanas","2012",27.2919430069393,28,624,484096,0.00128900052882073
"SF5","Haina","2013",NA,NA,3727,2892672,0.0012884281384132
"Poroc Rose","Hicgop South","2011",6.89197129622291,67,310,241056,0.00128600823045267
"San Agustin","Caridad Proper","2013",7.72994839109529,89,310,241056,0.00128600823045267
"Elementary School","Elementary School","2013",0,62,309,241056,0.00128185981680605
"Caridad Cemetery","Cabatoan","2012",3.03869204915848,149,310,242048,0.00128073770491803
"Sitio Tugas","Caridad Proper","2014",3.22263263749314,109,254,198400,0.00128024193548387
"Gabas","Elementary School","2014",8.35384165537914,64,253,198400,0.00127520161290323
"Visca","Poroc San Flower","2014",2.21665869501555,103,253,198400,0.00127520161290323
"SF5","Sitio Tugas","2011",NA,NA,3678,2892672,0.0012714887826895
"Hicgop South","Sitio Baybayon","2012",19.747308872455,310,615,484096,0.00127040917503966
"Poroc Rose","Sitio Tugas","2013",5.97906582562741,66,306,241056,0.00126941457586619
"Caridad Proper","Sitio Lonas","2012",7.17087278024704,234,307,242048,0.00126834346906399
"Elementary School","Caridad Cemetery","2013",4.77585415072936,98,305,241056,0.00126526616221957
"Poroc San Flower","Poroc Rose","2013",0.956338767353715,56,305,241056,0.00126526616221957
"Hicgop South","San Agustin","2014",5.43370927160229,255,502,396800,0.00126512096774194
"Magbangon","Wangag","2014",1.88974564473697,124,251,198400,0.00126512096774194
"Caridad Cemetery","SF5","2013",NA,NA,303,241056,0.00125696933492632
"SF5","Gabas","2013",NA,NA,3617,2892672,0.00125040101331917
"Pangasugan","CAI","2014",NA,NA,247,198400,0.00124495967741935
"SF4","SF4","2013",NA,NA,600,482112,0.00124452409398646
"Elementary School","Caridad Cemetery","2014",4.77585415072936,98,244,198400,0.00122983870967742
"Caridad Proper","Cabatoan","2013",3.78950368118107,147,295,241056,0.00122378202575335
"Sitio Tugas","SF5","2013",NA,NA,293,241056,0.00121548519846011
"Caridad Cemetery","Cabatoan","2014",3.03869204915848,149,241,198400,0.00121471774193548
"SF2","Caridad Cemetery","2014",NA,NA,721,595200,0.00121135752688172
"Pangasugan","Hicgop South","2011",NA,NA,292,241056,0.00121133678481349
"Pangasugan","Caridad Proper","2012",NA,NA,293,242048,0.00121050370174511
"SF2","SF1","2014",NA,NA,720,595200,0.00120967741935484
"SF1","Hicgop South","2012",NA,NA,1166,968192,0.00120430658381809
"Caridad Proper","Magbangon","2012",4.03826759766962,148,291,242048,0.00120224087784241
"Pangasugan","CAI","2013",NA,NA,289,241056,0.00119889154387362
"Caridad Proper","Caridad Proper","2011",9.49352979660034e-05,62,288,241056,0.001194743130227
"Gabas","Poroc San Flower","2014",4.12137215375566,17,237,198400,0.0011945564516129
"Poroc San Flower","Hicgop South","2012",6.00735397943935,75,289,242048,0.00119397805393971
"Poroc Rose","Elementary School","2014",5.1630036993143,69,236,198400,0.00118951612903226
"Sitio Baybayon","Palanas","2014",27.2919430069393,28,470,396800,0.00118447580645161
"Sitio Baybayon","Cabatoan","2011",24.9105624661144,14,571,482112,0.00118437209611045
"Elementary School","Caridad Proper","2013",4.01495979265945,94,285,241056,0.00118229788928714
"SF4","Pangasugan","2013",NA,NA,567,482112,0.0011760752688172
"Caridad Proper","Sitio Lonas","2014",7.17087278024704,234,233,198400,0.00117439516129032
"Caridad Proper","SF1","2013",NA,NA,283,241056,0.00117400106199389
"Sitio Lonas","Caridad Cemetery","2013",7.93235105602247,101,280,241056,0.00116155582105403
"Wangag","SF3","2013",NA,NA,280,241056,0.00116155582105403
"SF3","Caridad Proper","2013",NA,NA,1399,1205280,0.0011607261383247
"SF4","Visca","2013",NA,NA,558,482112,0.00115740740740741
"Poroc San Flower","Caridad Proper","2012",8.29929043854204,84,278,242048,0.00114853252247488
"Sitio Lonas","San Agustin","2012",0.604019027624227,305,278,242048,0.00114853252247488
"Hicgop South","Cabatoan","2012",6.11477685668207,141,554,484096,0.00114440111052353
"Pangasugan","Pangasugan","2012",NA,NA,277,242048,0.00114440111052353
"Cabatoan","Caridad Cemetery","2014",3.03869204915848,186,227,198400,0.00114415322580645
"Poroc San Flower","Caridad Proper","2013",8.29929043854204,84,274,241056,0.0011366653391743
"Pangasugan","Caridad Cemetery","2011",NA,NA,273,241056,0.00113251692552768
"Poroc Rose","Caridad Cemetery","2011",9.9107454183565,80,273,241056,0.00113251692552768
"Caridad Proper","Caridad Proper","2013",9.49352979660034e-05,62,272,241056,0.00112836851188106
"Poroc Rose","Poroc Rose","2012",0.000134258785931453,62,273,242048,0.00112787546271814
"Caridad Cemetery","Magbangon","2013",3.28805912992589,150,271,241056,0.00112422009823444
"Sitio Tugas","Elementary School","2014",0.819148876610196,280,223,198400,0.00112399193548387
"Sitio Tugas","Caridad Cemetery","2011",3.98589537085982,111,268,241056,0.00111177485729457
"SF5","Sitio Tugas","2012",NA,NA,3221,2904576,0.00110893982460779
"Visca","Hicgop South","2014",8.12617156228781,58,220,198400,0.00110887096774194
"SF2","Sitio Lonas","2012",NA,NA,798,726144,0.0010989555790587
"Hicgop South","Elementary School","2012",1.73052315940533,270,531,484096,0.00109688987308302
"SF2","San Agustin","2014",NA,NA,650,595200,0.00109206989247312
"SF5","Tamakin Dacot","2013",NA,NA,3155,2892672,0.00109068708792424
"Hicgop South","Sitio Tugas","2011",0.912910872621498,263,524,482112,0.00108688437541484
"Hicgop South","Poroc San Flower","2013",6.00735397943935,256,523,482112,0.00108481016859153
"Cabatoan","Magbangon","2014",0.249569604975458,151,215,198400,0.00108366935483871
"Palanas","Wangag","2013",0.540970717463239,183,260,241056,0.0010785875481216
"Haina","SF3","2012",NA,NA,517,484096,0.00106796998942359
"Gabas","Hicgop South","2013",10.0841152266487,63,257,241056,0.00106614230718173
"Gabas","Sitio Tugas","2014",9.17150421430282,60,211,198400,0.00106350806451613
"SF5","SF6","2014",NA,NA,2530,2380800,0.00106266801075269
"SF4","Hicgop South","2014",NA,NA,421,396800,0.00106098790322581
"Hicgop South","Sitio Tugas","2012",0.912910872621498,263,513,484096,0.00105970716552089
"SF6","SF2","2012",NA,NA,256,242048,0.00105764145954521
"Hicgop South","Sitio Tugas","2014",0.912910872621498,263,419,396800,0.00105594758064516
"Pangasugan","Poroc Rose","2011",NA,NA,254,241056,0.00105369706624187
"Caridad Cemetery","Sitio Baybayon","2011",22.4353813748238,296,253,241056,0.00104954865259525
"SF4","Poroc San Flower","2014",NA,NA,416,396800,0.00104838709677419
"Elementary School","Sitio Lonas","2012",3.15672946924723,228,252,242048,0.00104111581173982
"Poroc San Flower","SF1","2013",NA,NA,250,241056,0.00103710341165538
"SF5","Caridad Proper","2011",NA,NA,2991,2892672,0.00103399210142042
"Sitio Tugas","Caridad Cemetery","2012",3.98589537085982,111,249,242048,0.00102872157588577
"Wangag","Palanas","2014",0.540970717463239,155,204,198400,0.00102822580645161
"SF5","Elementary School","2012",NA,NA,2955,2904576,0.00101736019301957
"Cabatoan","Wangag","2011",2.13420254257553,131,245,241056,0.00101636134342228
"Elementary School","Magbangon","2012",7.98442483925902,128,246,242048,0.00101632734003173
"Pangasugan","Poroc Rose","2014",NA,NA,201,198400,0.00101310483870968
"SF3","Elementary School","2014",NA,NA,1000,992000,0.00100806451612903
"Poroc Rose","Hicgop South","2013",6.89197129622291,67,242,241056,0.00100391610248241
"Poroc San Flower","Hicgop South","2014",6.00735397943935,75,199,198400,0.00100302419354839
"Hicgop South","San Agustin","2012",5.43370927160229,255,484,484096,0.000999801692226335
"Magbangon","Caridad Cemetery","2011",3.28805912992589,185,240,241056,0.000995619275189168
"SF2","SF5","2013",NA,NA,720,723168,0.000995619275189168
"Sitio Tugas","Elementary School","2013",0.819148876610196,280,239,241056,0.000991470861542546
"SF3","SF1","2013",NA,NA,1191,1205280,0.000988152130625249
"Palanas","Wangag","2012",0.540970717463239,183,239,242048,0.00098740745637229
"SF1","Cabatoan","2013",NA,NA,949,964224,0.000984211137660958
"Hicgop South","Caridad Cemetery","2013",3.09873007253886,126,474,482112,0.000983174034249303
"Visca","SF1","2011",NA,NA,236,241056,0.000979025620602682
"Wangag","Hicgop South","2013",8.24594483032354,197,236,241056,0.000979025620602682
"Sitio Baybayon","CAI","2013",37.2246259586305,166,470,482112,0.00097487720695606
"SF5","Tamakin Dacot","2011",NA,NA,2789,2892672,0.000964160471702288
"Visca","Poroc San Flower","2013",2.21665869501555,103,232,241056,0.000962431966016195
"Poroc San Flower","Visca","2013",2.21665869501555,311,230,241056,0.000954135138722952
"Elementary School","San Agustin","2014",3.71624288089285,248,189,198400,0.000952620967741935
"SF1","SF5","2013",NA,NA,914,964224,0.00094791251825302
"SF4","Poroc Rose","2012",NA,NA,455,484096,0.000939896218931782
"SF5","SF2","2014",NA,NA,2232,2380800,0.0009375
"SF1","San Agustin","2013",NA,NA,902,964224,0.000935467277313155
"Sitio Tugas","Cabatoan","2014",6.97778704506868,133,185,198400,0.000932459677419355
"Wangag","Wangag","2014",9.49352979660034e-05,62,185,198400,0.000932459677419355
"SF3","San Agustin","2013",NA,NA,1120,1205280,0.000929244656843223
"Sitio Tugas","Hicgop South","2013",0.912910872621498,68,224,241056,0.000929244656843223
"Cabatoan","Caridad Proper","2011",3.78950368118107,188,223,241056,0.000925096243196602
"Caridad Proper","SF1","2014",NA,NA,183,198400,0.000922379032258064
"SF2","Caridad Proper","2011",NA,NA,662,723168,0.000915416611354485
"Wangag","Palanas","2012",0.540970717463239,155,221,242048,0.000913042041248017
"Poroc San Flower","Hicgop South","2011",6.00735397943935,75,220,241056,0.000912651002256737
"SF4","SF1","2011",NA,NA,439,482112,0.000910576795433426
"Caridad Cemetery","Caridad Cemetery","2013",9.49352979660034e-05,62,219,241056,0.000908502588610115
"Pangasugan","Pangasugan","2013",NA,NA,219,241056,0.000908502588610115
"Sitio Tugas","Sitio Lonas","2013",3.95401082044188,245,219,241056,0.000908502588610115
"Poroc San Flower","Pangasugan","2012",NA,NA,219,242048,0.00090477921734532
"Cabatoan","Sitio Tugas","2013",6.97778704506868,201,218,241056,0.000904354174963494
"Sitio Lonas","Elementary School","2012",3.15672946924723,106,218,242048,0.000900647805393971
"Caridad Cemetery","Cabatoan","2013",3.03869204915848,149,215,241056,0.000891908934023629
"Magbangon","Wangag","2012",1.88974564473697,124,215,242048,0.000888253569539926
"Sitio Tugas","San Agustin","2013",4.52288186298911,252,214,241056,0.000887760520377008
"Caridad Cemetery","San Agustin","2014",8.48939965705146,239,176,198400,0.000887096774193548
"Caridad Proper","San Agustin","2014",7.72994839109529,242,176,198400,0.000887096774193548
"Gabas","Caridad Proper","2013",12.3313979398098,71,213,241056,0.000883612106730386
"Sitio Tugas","Cabatoan","2012",6.97778704506868,133,212,242048,0.00087585933368588
"SF6","SF3","2014",NA,NA,173,198400,0.000871975806451613
"Wangag","SF3","2014",NA,NA,173,198400,0.000871975806451613
"Sitio Tugas","Sitio Lonas","2012",3.95401082044188,245,211,242048,0.000871727921734532
"SF3","Sitio Lonas","2014",NA,NA,863,992000,0.000869959677419355
"Sitio Baybayon","SF2","2011",NA,NA,418,482112,0.0008670184521439
"SF1","Wangag","2012",NA,NA,838,968192,0.000865530803807509
"Palanas","Cabatoan","2012",2.66084320590822,196,209,242048,0.000863465097831835
"SF4","Poroc Rose","2013",NA,NA,415,482112,0.000860795831673968
"San Agustin","CAI","2011",38.7489692903279,6,207,241056,0.000858721624850657
"SF1","San Agustin","2014",NA,NA,681,793600,0.000858114919354839
"SF1","Sitio Baybayon","2013",NA,NA,825,964224,0.000855610314615691
"SF2","San Agustin","2012",NA,NA,621,726144,0.000855202273929138
"Sitio Lonas","Cabatoan","2012",10.8872204466828,120,207,242048,0.000855202273929138
"Cabatoan","Caridad Cemetery","2013",3.03869204915848,186,206,241056,0.000854573211204036
"Pangasugan","Sitio Tugas","2013",NA,NA,205,241056,0.000850424797557414
"SF1","Magbangon","2013",NA,NA,819,964224,0.000849387694145759
"Sitio Baybayon","Palanas","2013",27.2919430069393,28,409,482112,0.000848350590734103
"Caridad Cemetery","Sitio Baybayon","2013",22.4353813748238,296,203,241056,0.000842127970264171
"SF5","Elementary School","2013",NA,NA,2435,2892672,0.000841782269126953
"Hicgop South","Haina","2014",19.3126421844879,307,334,396800,0.000841733870967742
"Sitio Tugas","Sitio Tugas","2013",9.49352979660034e-05,62,202,241056,0.000837979556617549
"Sitio Lonas","Caridad Cemetery","2012",7.93235105602247,101,202,242048,0.000834545214172396
"Gabas","Hicgop South","2011",10.0841152266487,63,200,241056,0.000829682729324306
"SF2","CAI","2011",NA,NA,600,723168,0.000829682729324306
"Caridad Proper","San Agustin","2013",7.72994839109529,242,199,241056,0.000825534315677685
"SF3","Sitio Baybayon","2012",NA,NA,997,1210240,0.000823803543098889
"Caridad Cemetery","San Agustin","2012",8.48939965705146,239,199,242048,0.00082215097831835
"Magbangon","Cabatoan","2014",0.249569604975458,184,163,198400,0.000821572580645161
"SF6","SF3","2013",NA,NA,198,241056,0.000821385902031063
"SF3","Sitio Lonas","2013",NA,NA,989,1205280,0.000820556219301739
"Visca","Caridad Proper","2012",10.3684742357159,70,198,242048,0.000818019566367002
"SF5","CAI","2013",NA,NA,2364,2892672,0.000817237488384442
"Hicgop South","Pangasugan","2014",NA,NA,323,396800,0.000814012096774194
"Magbangon","Cabatoan","2013",0.249569604975458,184,196,241056,0.00081308907473782
"Pangasugan","SF1","2013",NA,NA,196,241056,0.00081308907473782
"Sitio Tugas","Hicgop South","2014",0.912910872621498,68,161,198400,0.000811491935483871
"Pangasugan","Visca","2013",NA,NA,195,241056,0.000808940661091199
"Palanas","SF2","2013",NA,NA,194,241056,0.000804792247444577
"Cabatoan","Hicgop South","2014",6.11477685668207,194,159,198400,0.000801411290322581
"Cabatoan","Sitio Lonas","2014",10.8872204466828,214,159,198400,0.000801411290322581
"Poroc Rose","Visca","2013",1.26450294037349,303,193,241056,0.000800643833797956
"Elementary School","Sitio Baybayon","2012",18.0747093449379,313,193,242048,0.000797362506610259
"Caridad Proper","Sitio Baybayon","2013",21.7509719512898,297,191,241056,0.000792347006504713
"SF5","Haina","2012",NA,NA,2301,2904576,0.000792198241671073
"SF5","Poroc San Flower","2012",NA,NA,2298,2904576,0.000791165388683236
"Sitio Lonas","Sitio Baybayon","2012",15.3556606444419,47,191,242048,0.000789099682707562
"Cabatoan","Elementary School","2013",7.74042122042586,209,190,241056,0.000788198592858091
"Elementary School","Sitio Baybayon","2013",18.0747093449379,313,190,241056,0.000788198592858091
"Poroc San Flower","Sitio Baybayon","2013",14.2288188911802,45,190,241056,0.000788198592858091
"SF4","SF5","2011",NA,NA,379,482112,0.00078612438603478
"Palanas","Caridad Proper","2012",6.44791835925525,191,190,242048,0.000784968270756214
"SF2","Cabatoan","2014",NA,NA,466,595200,0.000782930107526882
"Gabas","SF1","2011",NA,NA,188,241056,0.000779901765564848
"Pangasugan","Hicgop South","2014",NA,NA,154,198400,0.000776209677419355
"Caridad Proper","Magbangon","2013",4.03826759766962,148,187,241056,0.000775753351918226
"Sitio Baybayon","Caridad Cemetery","2011",22.4353813748238,165,374,482112,0.000775753351918226
"Tamakin Dacot","CAI","2013",37.8962819720814,168,372,482112,0.000771604938271605
"SF1","Sitio Lonas","2012",NA,NA,747,968192,0.000771541181914331
"San Agustin","SF1","2012",NA,NA,186,242048,0.00076844262295082
"Cabatoan","San Agustin","2013",11.4243171337323,221,185,241056,0.000767456524624983
"Hicgop South","Sitio Baybayon","2013",19.747308872455,310,370,482112,0.000767456524624983
"Elementary School","Cabatoan","2014",7.74042122042586,125,152,198400,0.000766129032258065
"SF5","SF6","2012",NA,NA,2221,2904576,0.00076465549532875
"Elementary School","Cabatoan","2012",7.74042122042586,125,185,242048,0.000764311210999471
"Sitio Tugas","Hicgop South","2011",0.912910872621498,68,184,241056,0.000763308110978362
"Sitio Tugas","SF1","2011",NA,NA,184,241056,0.000763308110978362
"Magbangon","Palanas","2014",2.41391771324467,136,151,198400,0.000761088709677419
"SF2","Caridad Proper","2013",NA,NA,542,723168,0.000749480065489623
"Gabas","Poroc San Flower","2011",4.12137215375566,17,180,241056,0.000746714456391876
"Caridad Proper","Elementary School","2014",4.01495979265945,237,148,198400,0.000745967741935484
"Poroc Rose","Caridad Cemetery","2012",9.9107454183565,80,180,242048,0.000743654151242729
"Elementary School","Sitio Baybayon","2014",18.0747093449379,313,147,198400,0.000740927419354839
"Magbangon","Magbangon","2014",0,62,147,198400,0.000740927419354839
"San Agustin","Poroc San Flower","2014",0.575632693433525,268,147,198400,0.000740927419354839
"Poroc Rose","Hicgop South","2012",6.89197129622291,67,179,242048,0.00073952273929138
"SF3","Sitio Tugas","2013",NA,NA,883,1205280,0.000732609849993363
"Magbangon","Palanas","2012",2.41391771324467,136,177,242048,0.000731259915388683
"Sitio Lonas","Caridad Proper","2014",7.17087278024704,97,145,198400,0.000730846774193548
