term,estimate,std.error,statistic,p.value
(Intercept),-5.88113804715409,0.847432144892774,-6.93995157322979,3.92234375040855e-12
YearSampled2013,2.02345523734071,0.773417914853489,2.61625079854017,0.00889012317457787
YearSampled2014,1.85537480862968,0.786206836842884,2.35990673406018,0.0182795300837815
directionself,3.12365443183398,0.59316150431231,5.26611118409551,1.39343911550477e-07
directionsouth,1.0523506093999,0.598774736840135,1.75750669601289,0.078831481524319
SourcePropSamp,-1.34476409608075,0.675138997531102,-1.99183294254721,0.0463893904829511
