"season","k","theta","mdd","med","dist90","iteration"
"SWM",-2.60481226047258,1.59934051288358,8.55031501811677,6.87,18.23,1
"SWM",-2.64810268889869,1.60191294813573,8.91965295315644,7.17,19.01,2
"SWM",-2.66368809800733,1.67646308188894,8.81728687681854,7.17,18.66,3
"SWM",-2.62778620746344,1.67123637486462,8.52157387289688,6.92,18.04,4
"SWM",-2.16264673578013,0.983745161757158,8.90206254969067,6.13,20.55,5
"SWM",-2.45957044455499,1.3731672344823,8.25303096180422,6.37,18.03,6
"SWM",-2.29167872405137,1.21476979462762,7.81127658516341,5.8,17.41,7
"SWM",-2.6321595267807,1.58615002490624,8.8332606501516,7.09,18.86,8
"SWM",-2.45555794933584,1.34642935613021,8.35677945219888,6.41,18.32,9
"SWM",-2.54536680575671,1.45757408362196,8.58251605069207,6.73,18.57,10
"SWM",-2.6237104513265,1.57754256291746,8.78935758700631,7.04,18.78,11
"SWM",-2.73675918277023,1.94673915686675,8.80759946302434,7.4,18.23,12
"SWM",-2.28159255722867,1.07660333226116,8.87088995985834,6.32,20.18,13
"SWM",-2.67089365892214,1.73891409572447,8.70363981608302,7.14,18.32,14
"SWM",-2.45260728854059,1.4005810913742,8.06553756052091,6.26,17.56,15
"SWM",-2.61254846322447,1.5351204747548,8.84880752381436,7.04,18.99,16
"SWM",-2.46251357513122,1.37985401024172,8.24440452664445,6.37,18,17
"SWM",-2.18417093324654,1.08084170834446,8.00789614116153,5.72,18.2,18
"SWM",-2.71052500328371,1.85191333870293,8.77405026523203,7.3,18.29,19
"SWM",-2.27643572908078,1.15792632943322,8.09666893779047,5.92,18.19,20
"SWM",-2.49793474226551,1.3402363426209,8.75306533543671,6.71,19.2,21
"SWM",-2.5350504572584,1.39633378106984,8.77992322467582,6.81,19.13,22
"SWM",-2.54300144309934,1.65131776074043,7.88359313048881,6.39,16.72,23
"SWM",-2.49098397004325,1.32292909192088,8.79142561759292,6.71,19.32,24
"SWM",-1.99584527388983,0.926669728524489,8.25893215948301,5.55,19.26,25
"SWM",-2.63813660799203,1.82520523360131,8.21824290528132,6.81,17.17,26
"SWM",-2.38836423251202,1.20142573907011,8.70298385518994,6.44,19.44,27
"SWM",-2.56135636352478,1.60992754263902,8.15327589591166,6.57,17.36,28
"SWM",-2.67676788985262,1.69810519864744,8.86895158851313,7.23,18.73,29
"SWM",-2.54949969634718,1.42658165729776,8.75908494786227,6.83,19.02,30
"SWM",-2.04637231728685,0.969913350692095,8.09262115306901,5.54,18.73,31
"SWM",-2.56715113555653,1.65527512160066,8.06496911519847,6.54,17.1,32
"SWM",-2.47420488046474,1.22580372957439,9.28976917081612,6.92,20.68,33
"SWM",-2.46814762015343,1.27953796206565,8.85704808928977,6.69,19.58,34
"SWM",-2.48330335838605,1.32603707329167,8.70617523069611,6.65,19.13,35
"SWM",-2.61531309220376,1.49345141702042,9.04360961654104,7.14,19.49,36
"SWM",-2.09682527940916,1.01508368028934,7.97081716038312,5.56,18.31,37
"SWM",-2.47551418916814,1.33299970311232,8.5991946352209,6.58,18.88,38
"SWM",-2.55806754733527,1.51278331470943,8.46388250748586,6.71,18.2,39
"SWM",-2.45534554506671,1.29231390429518,8.66425394230983,6.57,19.12,40
"SWM",-2.12112152347136,0.989623452419307,8.46627940711693,5.84,19.53,41
"SWM",-2.47143530750568,1.40735117048605,8.1874840542347,6.36,17.82,42
