TimeID,DataType,Stat,variable,value
2012,Sim,mean,k,-1.42008969552052
2013,Sim,mean,k,-2.54480851443976
2014,Sim,mean,k,-3.44599310942393
2012-4,Sim,mean,k,-0.620143118554171
NEM,Sim,mean,k,-0.651660910095476
SWM,Sim,mean,k,0.360639477145492
2012,Sim,min,k,-2.75803265951368
2013,Sim,min,k,-3.42825250453968
2014,Sim,min,k,-3.4721430055592
2012-4,Sim,min,k,-3.42444550992002
NEM,Sim,min,k,-3.41197389827292
SWM,Sim,min,k,-3.49946786680948
2012,Sim,max,k,2.27687001687183
2013,Sim,max,k,-1.0829326060977
2014,Sim,max,k,-3.32866024144837
2012-4,Sim,max,k,0.321999170698358
NEM,Sim,max,k,0.301806701439687
SWM,Sim,max,k,7.09548324495271
2012,Sim,cv_within,k,
2013,Sim,cv_within,k,
2014,Sim,cv_within,k,
2012-4,Sim,cv_within,k,
NEM,Sim,cv_within,k,
SWM,Sim,cv_within,k,
2012,Sim,mean,theta,0.829002439149059
2013,Sim,mean,theta,3.24071550616931
2014,Sim,mean,theta,7.64271786812305
2012-4,Sim,mean,theta,1.24086458089225
NEM,Sim,mean,theta,1.24924486402451
SWM,Sim,mean,theta,1.2562266443325
2012,Sim,min,theta,0.263419624808501
2013,Sim,min,theta,0.632595755330699
2014,Sim,min,theta,4.42717868123053
2012-4,Sim,min,theta,0.421939715347326
NEM,Sim,min,theta,0.430944708827446
SWM,Sim,min,theta,0.15
2012,Sim,max,theta,1.47741472549999
2013,Sim,max,theta,8
2014,Sim,max,theta,8
2012-4,Sim,max,theta,8
NEM,Sim,max,theta,8
SWM,Sim,max,theta,3.84481035433629
2012,Sim,cv_within,theta,0.470518301996966
2013,Sim,cv_within,theta,1.01821180922874
2014,Sim,cv_within,theta,0.147830303761988
2012-4,Sim,cv_within,theta,1.9143230951233
NEM,Sim,cv_within,theta,1.89918184760231
SWM,Sim,cv_within,theta,1.14616138395039
2012,Sim,mean,mdd,14.4824831730361
2013,Sim,mean,mdd,10.217348374281
2014,Sim,mean,mdd,15.1225171912077
2012-4,Sim,mean,mdd,9.93015587157
NEM,Sim,mean,mdd,9.59048763201149
SWM,Sim,mean,mdd,427.451309468496
2012,Sim,min,mdd,9.80009314939954
2013,Sim,min,mdd,7.50994102858185
2014,Sim,min,mdd,13.5516416511742
2012-4,Sim,min,mdd,8.90236269156128
NEM,Sim,min,mdd,8.29946996385848
SWM,Sim,min,mdd,8.22166059742762
2012,Sim,max,mdd,49.2187171413085
2013,Sim,max,mdd,14.8330332757405
2014,Sim,max,mdd,15.4985608732504
2012-4,Sim,max,mdd,14.7766713507433
NEM,Sim,max,mdd,14.593526871309
SWM,Sim,max,mdd,2379.06692633722
2012,Sim,cv_within,mdd,0.846930696245846
2013,Sim,cv_within,mdd,0.314098818550061
2014,Sim,cv_within,mdd,0.0372306666824163
2012-4,Sim,cv_within,mdd,0.177489775284159
NEM,Sim,cv_within,mdd,0.19028718460443
SWM,Sim,cv_within,mdd,2.04953477943436
2012,Sim,mean,med,7.097
2013,Sim,mean,med,8.539
2014,Sim,mean,med,14.753
2012-4,Sim,mean,med,5.334
NEM,Sim,mean,med,5.22
SWM,Sim,mean,med,40.495
2012,Sim,min,med,5.72
2013,Sim,min,med,4.27
2014,Sim,min,med,12.79
2012-4,Sim,min,med,3.83
NEM,Sim,min,med,3.68
SWM,Sim,min,med,3
2012,Sim,max,med,11.53
2013,Sim,max,med,14.52
2014,Sim,max,med,15.17
2012-4,Sim,max,med,14.46
NEM,Sim,max,med,14.28
SWM,Sim,max,med,183.7
2012,Sim,cv_within,med,0.253608331373545
2013,Sim,cv_within,med,0.493752199815769
2014,Sim,cv_within,med,0.0473338459233698
2012-4,Sim,cv_within,med,0.605934004458198
NEM,Sim,cv_within,med,0.614737263644046
SWM,Sim,cv_within,med,1.62259674783484
2012,Sim,mean,dist90,34.492
2013,Sim,mean,dist90,21.086
2014,Sim,mean,dist90,27.719
2012-4,Sim,mean,dist90,24.019
NEM,Sim,mean,dist90,23.15
SWM,Sim,mean,dist90,760.789
2012,Sim,min,dist90,22.37
2013,Sim,min,dist90,17.24
2014,Sim,min,dist90,25.59
2012-4,Sim,min,dist90,22.39
NEM,Sim,min,dist90,20.7
SWM,Sim,min,dist90,20.84
2012,Sim,max,dist90,118.51
2013,Sim,max,dist90,27.11
2014,Sim,max,dist90,28.32
2012-4,Sim,max,dist90,27.01
NEM,Sim,max,dist90,26.67
SWM,Sim,max,dist90,4152.39
2012,Sim,cv_within,dist90,0.863249619255857
2013,Sim,cv_within,dist90,0.197376606316481
2014,Sim,cv_within,dist90,0.0279453612438128
2012-4,Sim,cv_within,dist90,0.0645975577749571
NEM,Sim,cv_within,dist90,0.0759429702180062
SWM,Sim,cv_within,dist90,2.01967621231618
