"season","k","theta","mdd","med","dist90","iteration"
"NEM",-0.976888181835004,0.538596367711781,11.8738620858243,5.89,29.77,1
"NEM",-2.42369471112806,1.08107248915614,10.1724709744315,7.26,23.12,2
"NEM",-2.81467770907289,1.77313253597094,9.94766604336989,8.2,20.87,3
"NEM",-0.195969875033848,0.416202281094321,17.57558603408,7.06,44.63,4
"NEM",-2.69737910101444,1.47212790831561,9.91895447718229,7.8,21.43,5
"NEM",-2.35586998676527,1.18126599017255,8.57699097301032,6.32,19.21,6
"NEM",-3.30827458200557,8,13.1560107987304,12.88,24.04,7
"NEM",-2.11103635554997,0.914134503585294,9.47534894730289,6.33,22.14,8
"NEM",-0.283867278927059,0.446737427537826,13.2937545700031,5.69,33.71,9
"NEM",-2.21289629885625,0.990143220570753,9.27299267861841,6.4,21.39,10
"NEM",-2.34170982742641,1.08613227603987,9.31746991143515,6.66,21.16,11
"NEM",-2.69480345438297,1.86128147223316,8.61676820437941,7.18,17.95,12
"NEM",-2.27164849888077,1.01638217613853,9.47671646560485,6.61,21.76,13
"NEM",-2.80408684094972,1.58974041372101,10.4753138767161,8.41,22.35,14
"NEM",-2.47405159651778,1.22423915723054,9.30031687695459,6.93,20.71,15
"NEM",-2.57594150932251,1.43205679746131,8.96738247785396,7,19.46,16
"NEM",-2.33639769345835,1.08334399907712,9.29773847940796,6.64,21.13,17
"NEM",-2.42360959429878,1.13621272784404,9.58318623299865,6.96,21.6,18
"NEM",-2.61413750060091,1.47294631010198,9.12302927618312,7.18,19.71,19
"NEM",-2.68432439287293,1.45990841667652,9.85029412406651,7.73,21.31,20
"NEM",-2.31563910185902,1.03679485449068,9.63826196869016,6.77,22.06,21
"NEM",-1.6951054510344,0.742236781277594,9.39824886242914,5.69,22.68,22
"NEM",-2.13194788317469,0.987933437258913,8.57966757127849,5.92,19.79,23
"NEM",-2.36937538315902,1.09583353489801,9.47464980985445,6.8,21.49,24
"NEM",-1.1432571424223,0.617088294026893,8.84431486998254,4.81,21.87,25
"NEM",-2.69031841454006,1.49954227681976,9.72005271910905,7.69,20.94,26
"NEM",-1.76180289552682,0.811539194275568,8.29655910077953,5.25,19.75,27
"NEM",-2.14769602851989,0.98351485841694,8.77296325874799,6.04,20.26,28
"NEM",-2.39720582751517,1.17954064447607,8.9530185330334,6.59,20.06,29
"NEM",-0.833138581188104,0.504275014762229,13.3236645572884,6.3,33.58,30
"NEM",-2.40408774848739,1.13547637465452,9.40491947547577,6.83,21.2,31
"NEM",-2.82351574722458,1.68513900643517,10.3150926413669,8.4,21.81,32
"NEM",-1.88329305721142,0.752004079354517,11.0118852353631,6.71,26.52,33
"NEM",-3.31521962316581,8,13.247697851924,12.97,24.21,34
"NEM",-2.09948352306778,0.927523040841026,9.14722428777903,6.15,21.32,35
"NEM",-1.92219736162389,0.83111045749828,9.29571467409128,5.95,22.05,36
"NEM",-1.31954394724916,0.607960409014472,11.0460919446569,5.95,27.36,37
"NEM",-2.23491932539763,1.05241553021974,8.71664513325821,6.16,19.9,38
"NEM",-1.81430443518519,0.77537434807564,9.60914660725358,5.95,23.04,39
"NEM",-2.27467539283324,1.04908968610365,9.10785646726083,6.43,20.81,40
"NEM",-2.54174033771869,1.39409779727981,8.85021744303413,6.86,19.29,41
"NEM",-0.0853583568597826,0.422163488574536,14.5723408643391,5.93,37,42
"NEM",-0.694216682613556,0.489672996541541,13.1252880784411,6.06,33.14,43
"NEM",-2.11235625925149,0.941461171047933,9.04848954075524,6.12,21.04,44
"NEM",-0.512573258448421,0.486881084085925,11.2193320465343,5.16,28.34,45
"NEM",-2.13921800084128,0.980906069978646,8.73282968659316,6.01,20.17,46
"NEM",-1.12729296603075,0.580980732133928,10.554357494993,5.52,26.27,47
"NEM",-2.46747084745436,1.28744614770318,8.80050278720699,6.66,19.43,48
"NEM",-1.54548084623519,0.672957912022599,10.3202213381668,5.92,25.24,49
"NEM",-1.81822298408233,0.818358985845179,8.63363397187083,5.49,20.53,50
"NEM",-2.57238016040013,1.31133799013199,9.61177954593279,7.32,21.16,51
"NEM",-0.284410996034124,0.44410498659461,13.6955235994717,5.83,34.74,52
"NEM",-2.71781081426137,1.44333518891095,10.2728719687398,8.04,22.26,53
"NEM",-2.35957933548692,1.08915764989969,9.45290216852801,6.77,21.46,54
"NEM",-2.69199404035138,1.65212969840091,9.14756404087369,7.41,19.4,55
"NEM",-2.40482068465463,1.14626268235911,9.31091718451212,6.79,20.96,56
"NEM",-2.0991459866215,0.863900959423458,10.3231135875832,6.73,24.34,57
"NEM",-0.192340497848566,0.436819348560413,13.573942434434,5.7,34.44,58
"NEM",-2.35014292816394,1.10516965183374,9.19909689091132,6.62,20.83,59
"NEM",-2.19319344119397,1.02293647229402,8.68439789051124,6.07,19.92,60
"NEM",-1.9441635683666,0.900928789986794,8.21611475996053,5.45,19.24,61
"NEM",-1.95272380668947,0.818915968051121,9.86335873353905,6.27,23.45,62
"NEM",-2.53057022181014,1.29787692159759,9.30451770637976,7.06,20.52,63
"NEM",-0.449001401813136,0.450539469404736,15.043510778054,6.49,38.14,64
"NEM",-1.10684822629927,0.570468279101082,11.001105960425,5.68,27.43,65
"NEM",-2.42570095876238,1.23227006183902,8.80336229062232,6.57,19.58,66
"NEM",-2.7283497064669,1.61814770158255,9.60504559231299,7.74,20.44,67
"NEM",-2.40195939328075,1.2022540591225,8.81577411694852,6.53,19.69,68
"NEM",-2.29263324800342,1.00742802525976,9.79790081211151,6.81,22.53,69
"NEM",-0.284512212048423,0.451228975112561,12.6673314922309,5.47,32.11,70
"NEM",-1.95742174119247,0.843986248506498,9.35199888010833,6.03,22.13,71
"NEM",-2.1186730921819,0.948472694417166,9.000912576515,6.11,20.91,72
"NEM",-2.4140311155989,1.13699717041998,9.48431933099297,6.89,21.38,73
"NEM",-2.76194191015528,1.63624893067865,9.8666344901733,7.98,20.96,74
"NEM",-2.35985618461611,1.06877105123237,9.68210069111024,6.88,22.05,75
"NEM",-1.13147190984864,0.58813421717303,10.1774219960836,5.37,25.3,76
"NEM",-2.45761580360506,1.19629319749264,9.36893726368981,6.93,20.94,77
"NEM",-2.68556264364435,1.64798356025575,9.10237276349397,7.37,19.32,78
"NEM",-2.698415187192,1.54222926625723,9.61237323740038,7.66,20.61,79
"NEM",-2.33641574946165,1.12305732127137,8.90238079530522,6.44,20.11,80
"NEM",-1.80459990281046,0.799979238925745,8.91386214615722,5.6,21.27,81
"NEM",-1.70353573302843,0.744303617069998,9.41757659973504,5.71,22.71,82
"NEM",-2.62874533013169,1.42088569692193,9.51080825189554,7.41,20.66,83
"NEM",-1.89050252319604,0.829304121862615,9.04351325193715,5.78,21.46,84
"NEM",-1.02817223575717,0.54321624384822,12.107752376135,6.05,30.33,85
"NEM",-1.2512826047728,0.587596179837338,11.5073860335104,6.07,28.61,86
"NEM",-2.3384991941276,1.03603164235197,9.87087111249729,6.94,22.6,87
"NEM",-2.36120005967178,1.11491812899195,9.20432185520587,6.64,20.81,88
"NEM",-0.9396843437879,0.545634317502407,10.9024961460427,5.46,27.3,89
"NEM",-2.34875902268693,1.14355464105485,8.82691955824843,6.43,19.88,90
"NEM",-0.261977016432923,0.42362972953158,17.0689841120141,6.97,43.33,91
"NEM",-2.09881663290681,0.930153469154153,9.09963555054653,6.12,21.2,92
"NEM",-2.36134009689073,1.12847203197848,9.07600396628943,6.58,20.48,93
"NEM",-2.32406560682859,1.13037285927706,8.7268776772898,6.33,19.69,94
"NEM",-2.63536935738268,1.50978752200772,9.15668182450982,7.25,19.7,95
"NEM",-2.73471460935035,1.52901025378874,10.0256293272608,7.97,21.53,96
"NEM",-2.70738807429094,1.67755592810148,9.20771964877613,7.49,19.49,97
"NEM",-2.18637000432096,0.994634432636929,8.97155315973572,6.21,20.68,98
"NEM",-1.04169356500706,0.557202342715578,11.1913536826166,5.69,27.97,99
"NEM",-2.93680690881679,1.97501539775926,10.6930321390634,9.02,22.08,100
