comparison,time_scale,data_source,log_like,iteration
gen_total_bio_total,total_years,simulation,-49606.1194950287,50
gen_annual_bio_annual,annual,simulation,-40329.2068443563,50
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13098.5436498428,50
gen_monsoonal_bio_total,monsoonal,simulation,-31892.0336609235,50
gen_total_bio_total,total_years,simulation_subsample,-14247.963070027,50
gen_annual_bio_annual,annual,simulation_subsample,-6189.04863245036,50
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1552.01953069004,50
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8966.99324783071,50
gen_total_bio_total,total_years,simulation,-43477.4381012456,51
gen_annual_bio_annual,annual,simulation,-40119.2330413577,51
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13127.8588418084,51
gen_monsoonal_bio_total,monsoonal,simulation,-29791.2161351469,51
gen_total_bio_total,total_years,simulation_subsample,-15697.7436517737,51
gen_annual_bio_annual,annual,simulation_subsample,-5788.75483445744,51
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2340.91620188905,51
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-10597.4416417716,51
gen_total_bio_total,total_years,simulation,-45130.7998034278,52
