comparison,time_scale,data_source,log_like,iteration
gen_annual_bio_annual,annual,simulation_subsample,-4579.58792903998,7
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1126.4354710027,7
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6954.58591164624,7
gen_total_bio_total,total_years,simulation,-48178.1241411792,8
gen_annual_bio_annual,annual,simulation,-38023.3917811182,8
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12732.5690455847,8
gen_monsoonal_bio_total,monsoonal,simulation,-31752.7013920655,8
gen_total_bio_total,total_years,simulation_subsample,-12110.1138967517,8
gen_annual_bio_annual,annual,simulation_subsample,-5879.1066734216,8
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1376.53183964726,8
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7852.10411448649,8
gen_total_bio_total,total_years,simulation,-49800.566031635,9
gen_annual_bio_annual,annual,simulation,-41449.8218307333,9
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-15517.1741682793,9
gen_monsoonal_bio_total,monsoonal,simulation,-34903.125536327,9
gen_total_bio_total,total_years,simulation_subsample,-11755.62784835,9
gen_annual_bio_annual,annual,simulation_subsample,-5738.84358732539,9
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1421.13544160237,9
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8208.41022779196,9
gen_total_bio_total,total_years,simulation,-47640.1307701325,10
gen_annual_bio_annual,annual,simulation,-42780.6760862429,10
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14548.931855641,10
gen_monsoonal_bio_total,monsoonal,simulation,-33071.5791943849,10
gen_total_bio_total,total_years,simulation_subsample,-11217.2900558934,10
gen_annual_bio_annual,annual,simulation_subsample,-5989.08929009458,10
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1510.68280991063,10
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7900.38247670448,10
gen_total_bio_total,total_years,simulation,-47058.7610730216,11
gen_annual_bio_annual,annual,simulation,-40541.215912381,11
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14175.534951768,11
gen_monsoonal_bio_total,monsoonal,simulation,-32230.5375418814,11
gen_total_bio_total,total_years,simulation_subsample,-8769.22236405128,11
gen_annual_bio_annual,annual,simulation_subsample,-4682.67287890474,11
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1071.09847952181,11
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6101.05736993349,11
gen_total_bio_total,total_years,simulation,-52123.9565659105,12
gen_annual_bio_annual,annual,simulation,-43340.1192283489,12
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13460.8738005467,12
gen_monsoonal_bio_total,monsoonal,simulation,-35542.6212674254,12
gen_total_bio_total,total_years,simulation_subsample,-8334.25792214654,12
gen_annual_bio_annual,annual,simulation_subsample,-4519.12996840735,12
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1113.70876278317,12
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-5973.02670521332,12
gen_total_bio_total,total_years,simulation,-44890.1376196195,13
gen_annual_bio_annual,annual,simulation,-38623.9269103385,13
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13735.6714532334,13
gen_monsoonal_bio_total,monsoonal,simulation,-31410.9408493951,13
gen_total_bio_total,total_years,simulation_subsample,-13756.868847241,13
gen_annual_bio_annual,annual,simulation_subsample,-7598.53641105663,13
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1288.27515356395,13
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9814.20888582737,13
gen_total_bio_total,total_years,simulation,-47335.7036049556,14
gen_annual_bio_annual,annual,simulation,-38992.5528534577,14
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13571.4628219706,14
gen_monsoonal_bio_total,monsoonal,simulation,-32026.0944957717,14
gen_total_bio_total,total_years,simulation_subsample,-8434.0648159998,14
gen_annual_bio_annual,annual,simulation_subsample,-4366.4127055153,14
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1126.84738419672,14
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-5730.24850925952,14
gen_total_bio_total,total_years,simulation,-49628.2140441627,15
gen_annual_bio_annual,annual,simulation,-41317.0828371114,15
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13801.2287407185,15
gen_monsoonal_bio_total,monsoonal,simulation,-35472.2915920662,15
gen_total_bio_total,total_years,simulation_subsample,-10953.643487941,15
gen_annual_bio_annual,annual,simulation_subsample,-5284.08083962583,15
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1669.87241772517,15
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8321.42295884741,15
gen_total_bio_total,total_years,simulation,-45807.6065553861,16
gen_annual_bio_annual,annual,simulation,-39888.0621424339,16
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13814.1694003301,16
gen_monsoonal_bio_total,monsoonal,simulation,-30781.8179894627,16
gen_total_bio_total,total_years,simulation_subsample,-11657.0454706695,16
gen_annual_bio_annual,annual,simulation_subsample,-5349.83694120985,16
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1486.35633544812,16
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7634.98040689474,16
gen_total_bio_total,total_years,simulation,-47436.0750248775,17
gen_annual_bio_annual,annual,simulation,-40833.3589944002,17
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13938.6685622449,17
gen_monsoonal_bio_total,monsoonal,simulation,-31971.1703787501,17
gen_total_bio_total,total_years,simulation_subsample,-6209.20601219131,17
gen_annual_bio_annual,annual,simulation_subsample,-3598.92060116637,17
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1020.42396202093,17
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-4459.97812900578,17
gen_total_bio_total,total_years,simulation,-46617.558200415,18
gen_annual_bio_annual,annual,simulation,-39969.4687050149,18
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14245.7807453541,18
gen_monsoonal_bio_total,monsoonal,simulation,-30757.9300188616,18
gen_total_bio_total,total_years,simulation_subsample,-10932.2485544188,18
gen_annual_bio_annual,annual,simulation_subsample,-5231.74014841856,18
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1525.33717546912,18
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6844.61741685838,18
gen_total_bio_total,total_years,simulation,-47172.3812866356,19
gen_annual_bio_annual,annual,simulation,-41353.5365225678,19
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12557.6645735681,19
gen_monsoonal_bio_total,monsoonal,simulation,-29429.0533443319,19
gen_total_bio_total,total_years,simulation_subsample,-13495.641850412,19
gen_annual_bio_annual,annual,simulation_subsample,-6214.98453962998,19
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1873.04413641112,19
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8345.68610877081,19
gen_total_bio_total,total_years,simulation,-45430.3942072585,20
gen_annual_bio_annual,annual,simulation,-40528.841332642,20
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14416.1169464719,20
gen_monsoonal_bio_total,monsoonal,simulation,-32217.3157826079,20
gen_total_bio_total,total_years,simulation_subsample,-13489.1282975231,20
gen_annual_bio_annual,annual,simulation_subsample,-6708.13070176405,20
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1973.8534077178,20
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9358.34183677007,20
gen_total_bio_total,total_years,simulation,-40028.4170929349,21
gen_annual_bio_annual,annual,simulation,-40321.3153160556,21
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13170.3565935728,21
gen_monsoonal_bio_total,monsoonal,simulation,-27230.4988097168,21
gen_total_bio_total,total_years,simulation_subsample,-12589.1386959922,21
gen_annual_bio_annual,annual,simulation_subsample,-6639.42088428835,21
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1468.99030879326,21
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8435.68954495954,21
gen_total_bio_total,total_years,simulation,-50576.009225269,22
gen_annual_bio_annual,annual,simulation,-43612.2548151608,22
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14118.3888956129,22
gen_monsoonal_bio_total,monsoonal,simulation,-33156.8739723563,22
gen_total_bio_total,total_years,simulation_subsample,-12438.4513881926,22
gen_annual_bio_annual,annual,simulation_subsample,-5663.7342953705,22
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1933.5499906856,22
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8508.76080708858,22
gen_total_bio_total,total_years,simulation,-48907.718538999,23
gen_annual_bio_annual,annual,simulation,-40849.8416803277,23
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-15450.8255171326,23
gen_monsoonal_bio_total,monsoonal,simulation,-34331.1608940666,23
gen_total_bio_total,total_years,simulation_subsample,-10203.4539118322,23
gen_annual_bio_annual,annual,simulation_subsample,-5230.66170350026,23
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1057.43581544344,23
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6538.82273224364,23
gen_total_bio_total,total_years,simulation,-49078.3022239435,24
gen_annual_bio_annual,annual,simulation,-42168.1287328402,24
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12106.368866538,24
gen_monsoonal_bio_total,monsoonal,simulation,-31764.0984276117,24
gen_total_bio_total,total_years,simulation_subsample,-11983.3315024881,24
gen_annual_bio_annual,annual,simulation_subsample,-5992.77673409621,24
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1609.49640615581,24
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7989.60977763516,24
gen_total_bio_total,total_years,simulation,-47821.7178286427,25
gen_annual_bio_annual,annual,simulation,-37813.327472657,25
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13204.8543371008,25
gen_monsoonal_bio_total,monsoonal,simulation,-30536.0001565525,25
gen_total_bio_total,total_years,simulation_subsample,-11813.4845895037,25
gen_annual_bio_annual,annual,simulation_subsample,-5675.99378396099,25
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1327.39190363574,25
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8050.50446491576,25
gen_total_bio_total,total_years,simulation,-47836.0311183554,26
gen_annual_bio_annual,annual,simulation,-41102.7343245849,26
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13671.9598275149,26
gen_monsoonal_bio_total,monsoonal,simulation,-32385.5634320654,26
gen_total_bio_total,total_years,simulation_subsample,-13649.7218230998,26
gen_annual_bio_annual,annual,simulation_subsample,-5896.83659471912,26
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1566.68997841895,26
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9190.9522517002,26
gen_total_bio_total,total_years,simulation,-44612.4022898579,27
gen_annual_bio_annual,annual,simulation,-42396.7512754757,27
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12657.1481958466,27
gen_monsoonal_bio_total,monsoonal,simulation,-28951.1468954899,27
gen_total_bio_total,total_years,simulation_subsample,-12614.8315090561,27
gen_annual_bio_annual,annual,simulation_subsample,-6255.9702200176,27
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1470.89692896982,27
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-8071.30189747681,27
gen_total_bio_total,total_years,simulation,-48249.588150016,28
gen_annual_bio_annual,annual,simulation,-42308.4331748637,28
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12861.5785816138,28
gen_monsoonal_bio_total,monsoonal,simulation,-30699.014621774,28
gen_total_bio_total,total_years,simulation_subsample,-10886.1059651238,28
gen_annual_bio_annual,annual,simulation_subsample,-4944.18943492148,28
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1294.9124053712,28
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6912.39924891381,28
gen_total_bio_total,total_years,simulation,-46878.1167112004,29
gen_annual_bio_annual,annual,simulation,-43176.710450636,29
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12094.5550029229,29
gen_monsoonal_bio_total,monsoonal,simulation,-28824.3851215043,29
gen_total_bio_total,total_years,simulation_subsample,-12240.1731818718,29
gen_annual_bio_annual,annual,simulation_subsample,-4919.2015100023,29
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1471.69975597845,29
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7277.13472642344,29
gen_total_bio_total,total_years,simulation,-48763.3514519834,30
gen_annual_bio_annual,annual,simulation,-41779.6937120701,30
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14486.1284396102,30
gen_monsoonal_bio_total,monsoonal,simulation,-31614.5198400997,30
gen_total_bio_total,total_years,simulation_subsample,-14070.6229540408,30
gen_annual_bio_annual,annual,simulation_subsample,-7345.65693826908,30
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-2195.1987641398,30
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-9230.54349943562,30
gen_total_bio_total,total_years,simulation,-40708.292861734,31
gen_annual_bio_annual,annual,simulation,-38302.3050010071,31
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-12350.8781532426,31
gen_monsoonal_bio_total,monsoonal,simulation,-28795.192329516,31
gen_total_bio_total,total_years,simulation_subsample,-9614.2588463227,31
gen_annual_bio_annual,annual,simulation_subsample,-4734.34121319163,31
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1120.75481763789,31
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-6780.98000500191,31
gen_total_bio_total,total_years,simulation,-46783.3423753821,32
gen_annual_bio_annual,annual,simulation,-41701.7728160446,32
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-13495.0170683381,32
gen_monsoonal_bio_total,monsoonal,simulation,-31650.1365823413,32
gen_total_bio_total,total_years,simulation_subsample,-11470.6483173946,32
gen_annual_bio_annual,annual,simulation_subsample,-5932.11432633178,32
gen_monsoonal_bio_monsoonal,total_monsoons,simulation_subsample,-1404.12091099227,32
gen_monsoonal_bio_total,monsoonal,simulation_subsample,-7841.65019095168,32
gen_total_bio_total,total_years,simulation,-47441.0234953596,33
gen_annual_bio_annual,annual,simulation,-37567.6809440033,33
gen_monsoonal_bio_monsoonal,total_monsoons,simulation,-14975.4291739845,33
gen_monsoonal_bio_total,monsoonal,simulation,-32632.6084766857,33
gen_total_bio_total,total_years,simulation_subsample,-10856.8674261706,33
