"year","k","theta","mdd","med","dist90","iteration"
2014,-1.02645986070314,1.10180947785691,2.45738027183665,1.77,5.57,1
2014,-1.08095258562812,1.17158135948873,2.41831227676127,1.78,5.42,2
2014,-1.07760500309717,1.17016239577275,2.41341743822201,1.77,5.41,3
2014,-1.37431835561776,1.39150915810923,2.75802358782273,2.14,6.01,4
2014,-1.14110210217663,1.18619073948658,2.53416226619087,1.87,5.67,5
2014,-1.07678699004388,1.09757419829025,2.59632374241914,1.86,5.89,6
2014,-1.11530334984043,1.15396195997775,2.54503200383739,1.86,5.72,7
2014,-1.09428656248527,1.14064421051309,2.52498047513164,1.84,5.69,8
2014,-1.10545658809205,1.14687601610173,2.53760032732434,1.85,5.71,9
2014,-1.09218101266938,1.16267739573501,2.46616195062471,1.81,5.54,10
2014,-1.10198474010544,1.13301584798754,2.56415130696436,1.86,5.78,11
2014,-1.08868439552504,1.13577696243979,2.52319370210285,1.83,5.69,12
2014,-1.17261352692912,1.19758977802349,2.58897013516745,1.91,5.79,13
2014,-1.19380864486215,1.23207837226503,2.56869176348227,1.92,5.71,14
2014,-1.03370645198807,1.17840326153238,2.29224324770338,1.69,5.14,15
2014,-1.00494644460047,1.08304450007662,2.45631962007431,1.75,5.58,16
2014,-1.20603413195727,1.25970820415455,2.54441408826828,1.91,5.64,17
2014,-0.882943471253621,1.02468092111723,2.33718396330652,1.64,5.36,18
2014,-1.18772582461426,1.21569476926428,2.58787510601447,1.92,5.77,19
2014,-1.03972084689165,1.12837061289925,2.42085105593497,1.75,5.46,20
2014,-1.04091220784529,1.1150073367151,2.45785852611221,1.77,5.56,21
2014,-1.18896779046107,1.21039150798416,2.60273805338283,1.93,5.81,22
2014,-1.02257298764856,1.10362465216122,2.44298524471158,1.76,5.53,23
2014,-1.17596540893306,1.25470270522535,2.47853991875994,1.86,5.5,24
2014,-1.25827474817979,1.28648812209923,2.6282060093535,1.99,5.8,25
2014,-0.998861240136472,1.08798662993842,2.42766942402134,1.74,5.51,26
2014,-0.991257709248321,1.06404538406449,2.47773273260342,1.76,5.65,27
