"season","k","theta","mdd","med","dist90","iteration"
"NEM",-2.47890879798408,1.33496824774983,8.61738525256486,6.59,18.91,1
"NEM",-1.88484798236828,0.787612963432122,9.97486165525097,6.22,23.86,2
"NEM",-2.73371744734164,1.59901974970028,9.72790461568272,7.82,20.74,3
"NEM",-2.4468616420965,1.32216981336518,8.41621971960855,6.42,18.5,4
"NEM",-2.45841565137494,1.31165860112942,8.57461504353675,6.53,18.87,5
"NEM",-2.42043706725463,1.21510299650109,8.88217237746777,6.6,19.8,6
"NEM",-0.302200091615742,0.446545127482446,13.568463104494,5.81,34.41,7
"NEM",-2.83303161203756,1.67618804135129,10.4452930450497,8.49,22.11,8
"NEM",-0.770103480928612,0.50476980501855,12.4592385029534,5.89,31.4,9
"NEM",-2.8390510658567,1.60819857883584,10.7701406533324,8.67,22.94,10
"NEM",-2.50122409125513,1.22017914941675,9.58869222545948,7.14,21.36,11
"NEM",-1.28880012010566,0.592329569900526,11.638165426851,6.17,28.91,12
"NEM",-2.2922060899568,1.05250742143207,9.22952069440677,6.52,21.07,13
"NEM",-2.33766237512313,1.08345961494133,9.30826834404134,6.65,21.15,14
"NEM",-2.22614889625485,1.0285661449745,8.9084274457733,6.24,20.42,15
"NEM",-2.3550483238606,1.11862427499213,9.11205425801749,6.59,20.59,16
"NEM",-2.60998683463089,1.52759227450392,8.85557309185713,7.04,19.02,17
"NEM",-0.225725825160566,0.435680588684417,14.2227379267651,5.95,36.09,18
"NEM",-0.749951314980299,0.506341742889525,12.0555610026568,5.72,30.37,19
"NEM",-2.39164150477054,1.1855110884407,8.85528054768807,6.53,19.82,20
"NEM",-2.58533178487192,1.43008554723636,9.06153707960023,7.07,19.67,21
"NEM",-2.34192796465488,1.19021981606204,8.39036317046054,6.19,18.77,22
"NEM",-1.44092985917591,0.669319169789004,9.43208008208415,5.39,23.08,23
"NEM",-1.01426298771988,0.561990486782209,10.5639428436556,5.4,26.38,24
"NEM",-2.46407246653649,1.30648655912161,8.65390175228101,6.58,19.06,25
"NEM",-2.16168232302421,1.00201126481572,8.66098413446131,6.01,19.94,26
"NEM",-2.59042824603871,1.51551485964362,8.73137217258702,6.92,18.77,27
"NEM",-2.48363500472264,1.2829808336503,8.97277755684854,6.78,19.82,28
"NEM",-1.32660988082173,0.642140210352941,9.44260205150526,5.26,23.23,29
"NEM",-2.23650700335079,1.02096982779502,9.09279771301258,6.35,20.87,30
"NEM",-2.6480181977178,1.46677810474603,9.46634904776621,7.44,20.46,31
"NEM",0.060663007198322,0.400206162762562,16.9409628282904,6.56,43.01,32
