"year","k","theta","mdd","med","dist90","iteration"
2012,-2.67685413679888,2.18796815471819,7.93501719248066,6.83,16.15,1
2012,-2.74490336203103,2.50267209995886,8.16629856355464,7.19,16.34,2
2012,-2.20683326626379,1.12345237496706,7.81718530670054,5.66,17.66,3
2012,-2.02530931317044,0.931434615561035,8.43612928525566,5.68,19.65,4
2012,7.25751694392776,0.15,2023.18833473413,156.22,3531.24,5
2012,-2.72511275944384,2.40082158395071,8.09452152320835,7.08,16.28,6
2012,-2.74749065005061,2.52479063329208,8.16949945993812,7.2,16.32,7
2012,-2.64350182700949,1.68045156441021,8.62938981356986,7.02,18.26,8
2012,-2.72877890821536,2.42608140156379,8.10107905171312,7.1,16.27,9
2012,-2.69861202548135,2.28006871797921,8.00251077823597,6.93,16.2,10
2012,-2.04823267941562,0.950468539621388,8.36141766002468,5.68,19.41,11
2012,-2.8712538513119,2.86669347269614,8.99727806887465,8.09,17.71,12
2012,-0.886126870837234,0.543516609831842,10.4830299109128,5.24,26.26,13
2012,-2.73913468494117,2.46562027752314,8.15040631571304,7.16,16.33,14
2012,-2.52789559633929,1.60219388740603,7.90852143270159,6.36,16.86,15
2012,-2.70105797584361,2.28249755741664,8.01947755665262,6.95,16.23,16
2012,-1.78473322290864,0.832831249323817,8.06973473059509,5.17,19.14,17
2012,-2.56294871949965,1.69694700278439,7.91783623126126,6.46,16.73,18
2012,-2.74184083486845,2.49681261566932,8.14614934729733,7.17,16.3,19
2012,-2.74442757938389,2.50957798121842,8.15676642525691,7.18,16.31,20
2012,-1.7988368535183,0.804693372910417,8.75741461271013,5.52,20.88,21
2012,-2.7623158243644,2.60120861467804,8.23263705154533,7.29,16.39,22
2012,-2.74984476415341,2.53664268323451,8.17933370860676,7.22,16.33,23
2012,-2.36657020661094,1.31799862001399,7.7886275178521,5.94,17.13,24
2012,-1.48961557662341,0.706095694542741,8.62200058291261,5.08,20.95,25
2012,-1.51489577099415,0.717350045679572,8.50626558985465,5.05,20.62,26
2012,1.91507753058322,0.283403292997633,34.4232140066209,8.94,84.34,27
2012,-0.72679171326869,0.516208568676854,10.8951042504369,5.24,27.41,28
2012,-2.84838899964618,2.75304346582103,8.8629962351096,7.92,17.52,29
2012,-2.75164218457236,2.54575900258385,8.18689336550275,7.23,16.34,30
2012,-2.49733546233925,1.53623822317786,7.88198552692968,6.27,16.91,31
2012,-2.70400597803926,2.30946619935697,8.01449212112867,6.96,16.2,32
2012,-2.75220132830292,2.54858707229362,8.1892694290362,7.23,16.34,33
2012,2.23404739229669,0.266122418659601,46.2610300720985,11,111.68,34
2012,-1.77618220801341,0.82285657618024,8.1896800210004,5.22,19.46,35
2012,-1.19767323696996,0.622867036053444,9.07872490049146,4.97,22.42,36
2012,-2.49220301989816,1.53236831295741,7.85498027811695,6.25,16.86,37
2012,-1.78773179959662,0.810121537579367,8.54430514334599,5.4,20.35,38
2012,-1.64890857980882,0.751519786932258,8.72368503472662,5.31,21.01,39
2012,-2.51740395363779,1.57936719456041,7.89710128968806,6.33,16.87,40
2012,-3.05157728921134,8,10.177520914385,9.96,18.6,41
2012,-2.85871210101474,2.76226198362262,8.94891718016789,8,17.69,42
2012,1.94801143592039,0.282072584294135,34.811814723133,8.98,85.21,43
2012,-2.6784618229395,2.19400251906737,7.9404446301777,6.83,16.16,44
2012,1.92781337847637,0.282424137421482,35.1084052945386,9.08,85.96,45
2012,-2.77457050588963,2.67861492614566,8.27969632171209,7.37,16.42,46
2012,-2.74410080204257,2.49871988378782,8.16300274822938,7.18,16.33,47
2012,-2.52475980985726,1.59531510669534,7.90497406732995,6.35,16.86,48
2012,-2.77010111594503,2.65357768129787,8.25970242890454,7.34,16.4,49
2012,-2.57568885153121,1.70029993304641,8.01054262890984,6.54,16.92,50
2012,-2.30232660862522,1.22841068252169,7.80605098259558,5.82,17.37,51
2012,-2.84844905328088,2.7534111795028,8.8632884233104,7.92,17.53,52
2012,-1.84988602563267,0.866586897832331,8.00072133350834,5.22,18.85,53
2012,-1.86521134693127,0.875217478491984,7.98197175817153,5.23,18.78,54
