"year","k","theta","mdd","med","dist90","iteration"
2013,-2.67847856774543,1.80881047854787,8.59441982679499,7.11,17.98,1
2013,-2.3602122468151,1.68611051492235,6.48815908991879,5.28,13.72,2
2013,-2.11229932129278,1.22964512757156,6.44861052925815,4.81,14.35,3
2013,-1.93372385275364,1.06841951687488,6.32535112475681,4.5,14.41,4
2013,-2.32652740935706,1.37625400411901,7.21158953832656,5.57,15.75,5
2013,-2.43431207579291,1.57586778548826,7.27776660039929,5.83,15.55,6
2013,-1.99358403485361,1.02517024635869,7.09177232847011,4.96,16.26,7
2013,-2.58979028492964,1.75458365992788,7.98768254643955,6.57,16.79,8
2013,-2.65783296463084,1.48895393072258,9.45667483965056,7.46,20.39,9
2013,2.08231202171824,0.300277407271264,17.3151568674801,4.86,42.89,10
2013,-2.06729027506146,1.14222786736128,6.67024599109282,4.86,15.02,11
2013,-2.44301586947836,1.43350958885905,7.84513441488193,6.13,17.02,12
2013,-2.70816580229595,1.83892778671475,8.7826605580128,7.29,18.33,13
2013,-1.93284431127289,1.01662678035325,6.751066639818,4.71,15.5,14
2013,-1.41157194506275,0.770659754178037,6.50865034797961,4.02,15.62,15
2013,-2.05392574766696,1.16632704953935,6.42989489358836,4.71,14.43,16
2013,-1.07795197145354,0.696916875064006,5.90311795217291,3.45,14.37,17
2013,-2.00470098814044,1.04420177331164,6.99588245843703,4.93,15.99,18
2013,-2.49096662990214,1.53253106109886,7.84471154703388,6.24,16.84,19
2013,-1.4947423929393,0.785983642988774,6.7822193203254,4.23,16.23,20
2013,-2.13680898668588,1.17449226651532,6.9325588031433,5.09,15.54,21
2013,-0.884391367576973,0.615886991459275,6.86796019479871,3.73,16.98,22
2013,-2.21624950253624,1.15934648110125,7.61336818676268,5.57,17.11,23
2013,-1.86136058289394,0.980796385812532,6.61537380904625,4.55,15.28,24
2013,-1.24246813346165,0.694674928368075,7.0159289097767,4.1,17.09,25
2013,-1.75950568700826,0.998571960768984,5.82140324322132,4.03,13.41,26
2013,-1.45651968088663,0.767700464283067,6.86502545625238,4.23,16.48,27
2013,-1.81221154143096,0.890737208732354,7.34139362786548,4.85,17.23,28
2013,-1.94215175902456,1.03217121371817,6.67429801318384,4.68,15.29,29
2013,-1.38011553789687,0.742852516196257,6.8457584954185,4.14,16.52,30
2013,-2.16496969368559,1.16760964236514,7.17639230514434,5.26,16.1,31
2013,-2.83586222172981,1.92658259508888,9.76895160696741,8.2,20.25,32
2013,-1.48987245883543,0.765696980119524,7.13847759708451,4.39,17.15,33
2013,-2.03637473572806,1.0324066547083,7.33149320730413,5.14,16.79,34
2013,-2.36829479740406,1.43360468172494,7.27993415343982,5.69,15.79,35
2013,-2.63780321070985,1.59365290430407,8.85683891088395,7.11,18.89,36
2013,-2.06831554921356,1.1294029605213,6.76425698906008,4.9,15.26,37
2013,-2.15040361226793,1.20492881586291,6.83923588534763,5.07,15.27,38
2013,-2.20527292801426,1.23363288521578,7.05406034221925,5.27,15.69,39
2013,-2.01381035308587,1.05328444749927,6.97999218164631,4.94,15.93,40
2013,-1.56347194101833,0.806178453095201,6.89509684075969,4.35,16.43,41
2013,-0.0865659374774773,0.480171599877751,7.78766651199968,3.54,19.69,42
2013,-2.15927597902023,1.1570902381035,7.20731351921577,5.27,16.2,43
2013,-2.31548476747456,1.39881060919171,7.03913880200925,5.46,15.33,44
2013,-1.25697655053386,0.720353837695091,6.50642788544055,3.87,15.77,45
2013,-1.78111789251804,0.896701307525638,7.03587418547751,4.66,16.49,46
2013,-2.25931340605446,1.32729169109159,6.95327898378746,5.31,15.28,47
2013,-0.588455899541676,0.55674134418868,7.13385611354317,3.62,17.83,48
2013,-2.21822487301594,1.10734300484522,8.04320125105111,5.79,18.21,49
2013,-2.40024755143598,1.88451818865995,6.38169217705616,5.33,13.27,50
2013,-2.1733888575718,1.26397953179618,6.6726233098893,5.02,14.78,51
2013,-2.13252561870959,1.05055949356602,7.88648568840052,5.57,18.01,52
2013,-2.27311963734013,1.44985397203727,6.56289594298933,5.14,14.21,53
2013,-2.24656617451235,1.2489159431743,7.26276171996227,5.45,16.12,54
2013,-0.882875640005827,0.616776100944598,6.82736590163841,3.71,16.88,55
2013,-2.69416723297968,2.26897045227996,7.9790818620815,6.91,16.16,56
2013,-2.49290436583437,1.65692936430424,7.48348996555727,6.07,15.87,57
2013,-2.13899636401438,1.2061364532159,6.75464229528946,5.01,15.08,58
2013,-0.651796350849774,0.567534108523771,7.10454114341372,3.66,17.72,59
2013,0.191156801661456,0.434576905724213,9.49661555086328,3.97,24.1,60
2013,-2.3188012111711,1.32073663737777,7.4116865630219,5.65,16.3,61
2013,-2.30150649417325,1.33921203656064,7.19678647298009,5.51,15.79,62
2013,-2.2860192895049,1.29879233378888,7.28128101731,5.53,16.05,63
2013,-2.31867687268451,1.61432596551552,6.3857102199765,5.15,13.59,64
2013,-2.5758509614874,1.71752532442611,7.96749069160984,6.52,16.8,65
2013,-1.85945223589845,0.986322437447134,6.54873454514852,4.51,15.11,66
2013,-1.90098830991365,1.01899613852217,6.51839435923811,4.55,14.96,67
2013,-1.14741697340726,0.70075254052007,6.24071351625163,3.66,15.18,68
2013,-1.46360369081685,0.735638340538724,7.61161660629045,4.58,18.39,69
2013,-2.32574222940927,1.26267433101112,7.77842546574265,5.85,17.23,70
2013,-2.06990470197354,1.15339659806415,6.61468812512276,4.83,14.87,71
2013,-0.533194297773913,0.53797028271718,7.65228555131575,3.79,19.19,72
2013,-2.65020295688599,1.60001131687793,8.94502240861408,7.19,19.07,73
2013,-2.22110070738273,1.2288791092039,7.19431237921672,5.37,16.01,74
2013,-1.70702758818291,0.805467443130535,7.97369119984928,5.03,19.01,75
2013,-1.37947235077287,0.675973295019345,8.63807287389379,4.96,21.11,76
2013,-2.24597884700024,1.41197199244388,6.51802326594972,5.07,14.18,77
2013,-2.474941320033,1.50474080148391,7.81768252412287,6.19,16.83,78
2013,-0.0995046810450293,0.489238218574135,7.26929089895846,3.35,18.36,79
2013,-1.97560023276997,1.02975848555474,6.92319659120928,4.85,15.86,80
2013,-0.0790194801436889,0.482113696820361,7.59241149874475,3.46,19.19,81
2013,-2.17972846206267,1.21088187601209,7.0069864021288,5.2,15.63,82
2013,-1.04704345566087,0.66185341295137,6.55839323364674,3.72,16.07,83
2013,-2.53467215859463,1.70129738322421,7.68611850537844,6.27,16.23,84
2013,-2.6776900410934,1.77569888261916,8.66775062036464,7.14,18.18,85
2013,-2.29838706457026,1.2854314033886,7.44226420642425,5.63,16.44,86
2013,-2.60533668403927,1.59779569200696,8.55996600014518,6.88,18.25,87
2013,-2.12630555273751,1.2436416616215,6.4665433562765,4.84,14.36,88
2013,-3.03107919637096,2.51878134885348,10.8545733777762,9.57,21.7,89
2013,-2.4467957122227,1.42190620035203,7.9242110006155,6.18,17.21,90
2013,-2.24537469898484,1.35566209396559,6.73345280491259,5.18,14.74,91
2013,-2.25945573008745,1.22087256483456,7.52506552059347,5.6,16.76,92
2013,-1.19193982175393,0.705739426588052,6.41023067632625,3.77,15.58,93
2013,-2.59502524749111,1.91997733992006,7.68964556673763,6.45,15.95,94
2013,-0.555440100029471,0.544700901806976,7.47111125046463,3.74,18.71,95
2013,-2.42623497145222,1.36879246700785,8.00354223959137,6.17,17.49,96
2013,-2.50264341837686,1.64470877046931,7.5896964629882,6.14,16.11,97
2013,-0.960371817416997,0.605391766690535,7.81596516639467,4.2,19.37,98
2013,-1.92944602014536,0.994917277030157,6.93601056695087,4.8,15.98,99
2013,-2.14977468053684,1.16026607020142,7.11746827161155,5.21,15.99,100
2013,-2.42864031576085,1.69339434997707,6.93084376655343,5.65,14.65,101
2013,-2.47123531466787,1.59941427396581,7.48096952314879,6.01,15.95,102
2013,-2.3360805527587,1.43113808260584,7.05843879037702,5.51,15.32,103
2013,-2.10931054539673,1.09210979672673,7.33547432130488,5.26,16.65,104
2013,-0.952115918868162,0.61906050208124,7.23489031825244,3.94,17.88,105
2013,-1.16185427387423,0.659159078917663,7.43935858892498,4.21,18.24,106
2013,-2.44648432262079,1.58911359446308,7.32774561456183,5.88,15.64,107
2013,-1.09889684904611,0.675698496018366,6.53181234444591,3.75,15.97,108
2013,-2.12824575630071,1.17635952098355,6.86163024198335,5.05,15.38,109
2013,-1.98615929174012,1.06708010105411,6.67654610613541,4.74,15.21,110
2013,-0.497596367552498,0.523460728552849,8.19941343139607,3.99,20.61,111
2013,-1.92869908576162,1.02993003522881,6.60449682144731,4.63,15.13,112
2013,-1.58913041542434,0.858195366116513,6.27393716877446,4.08,14.81,113
2013,-2.21047531544647,1.2620348633369,6.93493618442875,5.22,15.36,114
2013,-1.62234628783946,0.799678244064045,7.43443650496315,4.67,17.74,115
2013,-2.23270384984145,1.21803143630861,7.34379670504352,5.46,16.36,116
2013,-2.0130995787301,1.19729313210002,6.00148001984825,4.44,13.41,117
2013,-2.21994324463459,1.22484171810733,7.20981666245828,5.37,16.05,118
2013,-2.17842716514585,1.21649869119812,6.96476070939395,5.18,15.52,119
2013,-2.04996093864162,1.06961566185384,7.09491604133097,5.05,16.16,120
2013,-0.75368418785773,0.581188259757995,7.25532841721441,3.8,18.06,121
2013,-2.23262484794621,1.35012051963133,6.67125012570813,5.12,14.62,122
2013,-0.79539097479717,0.587639985363643,7.29254367003534,3.84,18.13,123
2013,-2.11606908867779,1.13575259013526,7.04934547655039,5.12,15.89,124
2013,-2.26119265680718,1.50062365354045,6.32530793437927,5,13.62,125
2013,-1.73799564290155,0.886736250043238,6.86943576116099,4.53,16.13,126
2013,-2.40218938801624,1.42802122857864,7.55345599713545,5.89,16.4,127
2013,-2.31427797147919,1.31136328475238,7.42512803162605,5.65,16.34,128
2013,-1.72004427300862,0.886130253263609,6.75521874433549,4.45,15.86,129
2013,-2.40651665929231,1.41251674236066,7.65077138402227,5.95,16.64,130
2013,-1.33452793202528,0.701665463888341,7.50025615992256,4.4,18.24,131
2013,-1.96468163614393,0.977216839332778,7.37506882580227,5.07,17.05,132
2013,-2.25522521815337,1.09469397482394,8.46331396025172,6.07,19.2,133
2013,-1.04729358251145,0.684026866088764,6.00639099069416,3.48,14.66,134
2013,-1.14875805019994,0.682814749582897,6.6786853462618,3.86,16.3,135
2013,-2.08264155624598,1.14640716778974,6.74543485670511,4.92,15.18,136
2013,-2.15754234931595,1.22133165511524,6.79335451787603,5.06,15.13,137
2013,-2.21143506919667,1.148853287561,7.65419653627481,5.58,17.22,138
2013,-2.26506340276615,1.41070895831929,6.64828082724108,5.17,14.46,139
2013,-1.89080510759812,0.896373474695931,7.85642249019421,5.2,18.42,140
2013,-0.440062327580698,0.530053925039223,7.37496357026911,3.62,18.52,141
2013,-2.23580632966805,1.21340876814224,7.39529730429676,5.49,16.49,142
2013,-0.879907679248773,0.631879482829953,6.33058953236561,3.5,15.61,143
2013,-2.52170398829761,1.71287376444384,7.55874848858354,6.18,15.94,144
2013,-2.28016638652432,1.19911611400218,7.82621169635971,5.79,17.49,145
2013,-1.36240050384613,0.755713963190669,6.46915838225586,3.95,15.57,146
2013,-1.80205982612603,0.963463438815437,6.40244245556879,4.37,14.83,147
2013,-2.17643819996318,1.30810965041903,6.4834877967425,4.93,14.28,148
2013,-2.37776424661116,1.56582538528815,6.90607979389716,5.52,14.77,149
2013,-1.57172950450716,0.808117119802314,6.91872631156006,4.37,16.48,150
2013,-2.49873162619198,1.83500569069521,7.13040328817016,5.92,14.89,151
2013,-1.55523671640232,0.784304691406208,7.23765454884858,4.5,17.32,152
2013,-2.05474310863625,1.13369152373421,6.64389624874878,4.82,14.98,153
2013,-2.18364249071117,1.19699323136244,7.11931805683992,5.27,15.91,154
2013,-2.20015629182255,1.21907596499789,7.10242269520802,5.28,15.82,155
2013,-2.40323979630695,1.32385193682237,8.04795916423637,6.14,17.69,156
2013,-2.51625534195455,1.53433049351205,8.03925498123155,6.39,17.25,157
2013,-1.54834040480949,0.848702225012261,6.14786906161728,3.97,14.54,158
2013,-2.03249772164981,1.0298365389316,7.32777838614396,5.14,16.79,159
2013,-2.29547778825988,1.4150888241524,6.83696413817613,5.32,14.86,160
2013,-2.61881930263137,1.50624503537978,9.02112134505389,7.14,19.42,161
2013,-2.57684059116686,1.66208105408252,8.12404326486272,6.59,17.22,162
2013,-2.23911211650861,1.47116979384645,6.27550730129068,4.94,13.56,163
2013,-1.78198826811502,0.922850191507431,6.71350369475047,4.5,15.66,164
2013,-1.15874149086772,0.651915706483113,7.64797636622816,4.3,18.78,165
2013,-2.52720351808066,1.56022510542183,8.03796019785374,6.42,17.2,166
2013,-1.47281682798898,0.791542706407807,6.53818485198657,4.09,15.63,167
2013,-1.2734313078038,0.719112684183822,6.64193118417018,3.95,16.1,168
2013,-2.02106969467376,1.00195362805511,7.52550036644048,5.22,17.32,169
2013,-1.8965325375195,0.973171295601444,6.93172494261303,4.75,16.03,170
2013,-2.32984219307195,1.41771637789609,7.06576403462092,5.5,15.36,171
2013,-2.62901103920267,1.97524616035465,7.85969647204481,6.63,16.23,172
2013,-2.27916223411906,1.50683591697113,6.42141263524147,5.08,13.82,173
2013,-2.56715817053646,1.5953008656064,8.24738473647908,6.63,17.59,174
2013,-1.81099261329702,0.928658659468495,6.84139323449016,4.6,15.94,175
2013,-2.0930668378508,1.16319263882169,6.70638539256319,4.91,15.06,176
2013,-2.33562259585665,1.36700569107366,7.3181424936138,5.64,16,177
2013,-1.56135774457638,0.855798649401343,6.13339867658232,3.98,14.48,178
2013,-2.40731067445976,1.43863112086368,7.54945145810479,5.9,16.37,179
2013,-2.22495011875728,1.27253423082248,6.98085177455669,5.26,15.44,180
2013,-2.01678655180198,1.0456647134713,7.06784723040783,4.98,16.15,181
2013,-1.68369901561193,0.83646109039975,7.23394232183733,4.64,17.14,182
2013,-2.28424872697946,1.26274400847454,7.46188188544551,5.61,16.53,183
2013,-1.89856563796809,1.05351016870618,6.21846769724216,4.4,14.2,184
2013,-2.51139577739842,1.94588916085477,7.03176755596452,5.91,14.55,185
2013,-2.12945548161899,1.20025499091583,6.72461705937282,4.98,15.02,186
2013,-2.52003880267025,1.78157031317548,7.39108573011843,6.1,15.5,187
2013,-2.28598974870349,1.27954782371114,7.38202846443317,5.58,16.32,188
2013,0.0187568331016583,0.450205220665661,9.45743261586558,4.08,23.98,189
2013,-2.3186610104079,1.33045643523258,7.36308314469843,5.63,16.17,190
2013,-0.831549391195884,0.579259572347251,7.93067434795547,4.14,19.74,191
2013,-1.82361294840153,0.922186696211709,7.0070300233102,4.7,16.35,192
2013,-2.15389577724528,1.22712133851634,6.73638446746807,5.02,14.99,193
2013,-1.91684526583642,1.01817064916378,6.62999059667389,4.63,15.22,194
2013,-1.80828178377307,0.887724217553984,7.35544699416609,4.85,17.27,195
2013,-2.29775671155686,1.11779460831064,8.61221704475145,6.22,19.47,196
2013,-2.2853697234063,1.46933756415997,6.57858980539173,5.17,14.22,197
2013,-1.85870135948112,0.974353349266695,6.66235364381439,4.57,15.41,198
2013,-2.29420700142195,1.43809005503419,6.7440228433585,5.27,14.62,199
2013,-1.67132600937806,0.877429143684898,6.54593721333241,4.3,15.4,200
2013,-1.85631619232455,0.951334066662771,6.89160784157768,4.68,16,201
2013,-2.26726510883471,1.38789357656136,6.75012634421163,5.22,14.72,202
2013,-2.30235066894382,1.35789830759192,7.11834525269134,5.47,15.58,203
2013,-2.25842063849646,1.35284508370553,6.83387952321972,5.25,14.97,204
2013,-1.38826256281701,0.776084743684966,6.26331777666962,3.88,15.01,205
2013,-2.31881230288113,1.34847571161327,7.27928046656591,5.59,15.95,206
2013,-2.030985030174,1.12014957127533,6.57931357103,4.76,14.87,207
2013,-2.26560542205231,1.3244721656691,7.01024084093984,5.35,15.41,208
2013,-1.34430998560587,0.73919746079257,6.68045990192595,4.03,16.13,209
2013,-2.30377530196834,1.33960710578123,7.21129910406706,5.52,15.82,210
2013,-1.27247811706032,0.728752457423095,6.42781276962225,3.85,15.55,211
2013,-1.19549888547682,0.705081914653725,6.4480172054801,3.8,15.67,212
