"fish_indiv","size","color","sex","gen_id","sample_id","site","date","anem_obs_time","anem_obs","gps","dive_type","year","input","par_fish_indiv","offs_site","par_site","year_match","matched_offs"
"762",5.1,"Y","J",762,"APCL12_256","Wangag",2012-05-14,"09:45:00",NA,1,"E",2012,"offspring",236,"Wangag","Palanas",2012,"Y"
"2318",4.1,"Y","J",2318,"APCL12_275","Wangag",2012-05-14,"11:35:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"409",4.5,"Y","J",409,"APCL12_276","Wangag",2012-05-14,"11:44:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2317",5.1,"W","J",2317,"APCL12_168","S.Magbangon",2012-05-10,"14:08:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"2072",4.1,NA,NA,2072,"APCL12_090","Palanas",2012-05-09,"13:01:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"92",5.4,NA,NA,92,"APCL12_094","Palanas",2012-05-09,"12:46:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"267",5.5,"Y","J",267,"APCL12_102","Wangag",2012-05-09,"14:27:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"148",4.8,"W","J",148,"APCL12_115","Wangag",2012-05-09,"15:14:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"199",5.3,NA,NA,199,"APCL12_119","Wangag",2012-05-09,"15:42:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"121",5.3,"W","J",121,"APCL12_122","Wangag",2012-05-09,"15:25:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"758",5.6,"Y","J",758,"APCL12_167","S.Magbangon",2012-05-10,"14:06:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"193",4.5,NA,NA,193,"APCL12_103","Wangag",2012-05-09,"14:33:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"115",4.6,"W","J",115,"APCL12_152","S.Magbangon",2012-05-10,"11:37:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"249",4.5,"Y","J",249,"APCL12_166","S.Magbangon",2012-05-10,"14:02:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"227",5.6,"W","J",227,"APCL12_199","Poroc Rose",2012-05-11,"10:41:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"116",4.2,"W","J",116,"APCL12_206","Poroc San Flower",2012-05-11,"12:07:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"259",3.8,"Y","J",259,"APCL12_207","Poroc San Flower",2012-05-11,"12:16:00",NA,1,"E",2012,"offspring",NA,NA,NA,NA,"N"
"237",5.8,"Y","J",237,"APCL12_212","Poroc San Flower",2012-05-11,"12:29:00",NA,1,"E",2012,"offspring",862,"Poroc San Flower","Wangag",2012,"Y"
