fish_indiv year size color sex gen_id ligation_id sample_id
1647 2018 9.9 YP F 1647 L5640 APCL18_731
1648 2018 8.4 YP F 1648 L5639 APCL18_730
2200 2018 6.6 O M 2200 L5638 APCL18_729
2267 2018 7.9 YP F 2267 L5637 APCL18_719
1649 2018 9.3 O M 1649 L5622 APCL18_728
1650 2018 8.4 YP F 1650 L5621 APCL18_727
2638 2018 7.4 O M 2638 L4003 APCL18_497
2712 2018 6.6 YP F 2712 L3864 APCL18_300
2582 2018 8.1 O M 2582 L3938 APCL18_393
2650 2018 6.4 YR J 2650 L4116 APCL18_632
2523 2018 9.4 YP F 2523 L4104 APCL18_613
2635 2018 8.4 O M 2635 L3933 APCL18_386
2733 2018 7.8 YR J 2733 L4022 APCL18_518
1642 2018 9.6 O M 1642 L4118 APCL18_634
1641 2018 8.2 O M 1641 L4117 APCL18_633
1640 2018 7.8 O M 1640 L4113 APCL18_623
1639 2018 10.2 YP F 1639 L4112 APCL18_622
1638 2018 9.2 YP F 1638 L4111 APCL18_620
2153 2018 7.1 YR J 2153 L4109 APCL18_618
1637 2018 7 O M 1637 L4107 APCL18_616
1636 2018 8.1 YP F 1636 L4106 APCL18_615
1635 2018 9.4 O M 1635 L4105 APCL18_614
2152 2018 7.4 YR J 2152 L4102 APCL18_610
1634 2018 9.3 O M 1634 L4101 APCL18_609
1633 2018 11.1 YP F 1633 L4098 APCL18_605
955 2018 6.2 YR J 955 L4097 APCL18_604
1632 2018 9.9 YP F 1632 L4096 APCL18_603
1786 2018 7.3 YP J 1786 L4095 APCL18_602
1631 2018 6.8 YR J 1631 L4092 APCL18_599
1785 2018 7.7 YP J 1785 L4090 APCL18_597
1630 2018 8.5 O M 1630 L4089 APCL18_595
1629 2018 9.4 YP F 1629 L4088 APCL18_594
1628 2018 7.8 O M 1628 L4087 APCL18_593
2762 2018 7.9 O M 2762 L4086 APCL18_590
1627 2018 8.5 O M 1627 L4084 APCL18_588
1626 2018 8 O M 1626 L4082 APCL18_586
1625 2018 8.4 O M 1625 L4081 APCL18_585
1624 2018 9.1 YP F 1624 L4080 APCL18_584
1623 2018 6.9 YR J 1623 L4075 APCL18_579
1622 2018 7.8 O M 1622 L4074 APCL18_578
1621 2018 8.3 O M 1621 L4072 APCL18_575
950 2018 6 W J 950 L4071 APCL18_574
1859 2018 7.5 YP F 1859 L4070 APCL18_573
1858 2018 7 YP F 1858 L4069 APCL18_572
1857 2018 7.6 YP F 1857 L4068 APCL18_571
1643 2018 6.4 YR J 1643 L4067 APCL18_570
1644 2018 8.2 YP F 1644 L4065 APCL18_568
1645 2018 6.9 YR J 1645 L4064 APCL18_567
1646 2018 8.1 YP F 1646 L4062 APCL18_565
1531 2018 7.8 O M 1531 L4061 APCL18_563
1530 2018 7 O M 1530 L4059 APCL18_561
1529 2018 8.8 O M 1529 L4058 APCL18_560
2150 2018 7.2 YR J 2150 L4057 APCL18_559
1528 2018 9.8 YP F 1528 L4055 APCL18_556
1527 2018 7.5 O M 1527 L4054 APCL18_555
935 2018 8.3 YP F 935 L4052 APCL18_553
2040 2018 6.6 O J 2040 L4051 APCL18_552
1832 2018 7.9 YP F 1832 L4050 APCL18_551
934 2018 10.2 YP F 934 L4049 APCL18_550
933 2018 9.6 O M 933 L4048 APCL18_549
2177 2018 6.6 O M 2177 L4046 APCL18_547
931 2018 8.2 YP F 931 L4045 APCL18_546
1831 2018 6.3 YP F 1831 L4043 APCL18_544
2176 2018 6.7 O M 2176 L4042 APCL18_543
929 2018 8.7 YP F 929 L4041 APCL18_542
928 2018 6.7 YR J 928 L4040 APCL18_541
1763 2018 7.7 YP J 1763 L4039 APCL18_539
927 2018 8.2 O M 927 L4038 APCL18_538
926 2018 6 W J 926 L4037 APCL18_537
925 2018 9.3 YP F 925 L4036 APCL18_536
2571 2018 9.5 O M 2571 L4034 APCL18_534
923 2018 9.1 YP F 923 L4033 APCL18_533
922 2018 6.2 YR J 922 L4032 APCL18_532
921 2018 6.1 W J 921 L4031 APCL18_531
919 2018 6.6 W J 919 L4029 APCL18_526
918 2018 10.5 YP F 918 L4028 APCL18_525
917 2018 9.6 O M 917 L4027 APCL18_524
916 2018 6 W J 916 L4025 APCL18_522
2043 2018 6.5 O J 2043 L4017 APCL18_513
1526 2018 8.5 YP F 1526 L4016 APCL18_512
2198 2018 6.5 O M 2198 L4015 APCL18_511
1525 2018 7.8 O M 1525 L4014 APCL18_510
1524 2018 7.4 O M NA NA NA
1523 2018 8.6 O M 1523 L4012 APCL18_508
1522 2018 6.8 YR J 1522 L4011 APCL18_507
2265 2018 6.7 YP F 2265 L4010 APCL18_506
2427 2018 9.1 YP F 2427 L4009 APCL18_505
2273 2018 7.3 YP F NA NA NA
915 2018 6 YR J 915 L4005 APCL18_501
913 2018 6.6 YR J 913 L4001 APCL18_494
1521 2018 8.3 O M 1521 L3999 APCL18_492
1830 2018 5.7 YP F 1830 L3997 APCL18_490
1520 2018 8.5 YP F 1520 L3995 APCL18_488
2197 2018 6.7 O M 2197 L3994 APCL18_487
909 2018 6.4 YR J 909 L3992 APCL18_485
2042 2018 7 O J 2042 L3990 APCL18_483
1519 2018 6.1 YR J 1519 L3987 APCL18_479
2175 2018 6.2 O M 2175 L3985 APCL18_477
907 2018 8 O M 907 L3983 APCL18_475
1518 2018 9.9 YP F 1518 L3982 APCL18_473
1517 2018 8.6 O M 1517 L3981 APCL18_472
1516 2018 6.6 YR J 1516 L3980 APCL18_471
1515 2018 7.3 O M 1515 L3979 APCL18_466
1514 2018 9.6 YP F 1514 L3978 APCL18_465
1513 2018 9.6 O M 1513 L3977 APCL18_464
1512 2018 8.6 O M 1512 L3975 APCL18_462
1511 2018 7.8 O M 1511 L3974 APCL18_461
1510 2018 9.7 O M 1510 L3973 APCL18_460
1509 2018 8.2 O M 1509 L3972 APCL18_459
1508 2018 8.7 YP F 1508 L3971 APCL18_458
1507 2018 9.4 O M 1507 L3970 APCL18_457
1506 2018 10 YP F 1506 L3968 APCL18_455
1505 2018 9.6 O M 1505 L3967 APCL18_454
1504 2018 8.8 O M 1504 L3966 APCL18_451
1503 2018 7 YR J 1503 L3964 APCL18_447
1502 2018 6 YR J 1502 L3963 APCL18_438
1501 2018 8.2 O M 1501 L3962 APCL18_437
1500 2018 9.2 O M 1500 L3961 APCL18_436
1499 2018 8.7 O M 1499 L3960 APCL18_434
1498 2018 9.5 YP F 1498 L3959 APCL18_433
1497 2018 9.6 YP F 1497 L3958 APCL18_432
1496 2018 9.3 O M 1496 L3957 APCL18_431
1495 2018 6.6 YR J 1495 L3956 APCL18_430
1494 2018 9.5 O M 1494 L3955 APCL18_429
1493 2018 10 YP F 1493 L3954 APCL18_428
2232 2018 7.8 YR F 2232 L3953 APCL18_425
1492 2018 9.6 YP F 1492 L3951 APCL18_416
1491 2018 9.1 O M 1491 L3950 APCL18_415
1489 2018 10 O M 1489 L3948 APCL18_413
1488 2018 8.8 O M 1488 L3947 APCL18_412
2272 2018 7.5 O M NA NA NA
1487 2018 8.6 O M 1487 L3942 APCL18_401
1486 2018 8.1 O F NA NA NA
2149 2018 7.3 YR J 2149 L3939 APCL18_397
2231 2018 7.3 YR F 2231 L3937 APCL18_392
898 2018 6.1 YR J 898 L3936 APCL18_391
2428 2018 8.3 O M 2428 L3935 APCL18_390
1485 2018 7.2 O M 1485 L3930 APCL18_381
1620 2018 9.7 O M 1620 L3928 APCL18_375
1619 2018 10.5 YP F 1619 L3927 APCL18_374
1618 2018 9.1 O M 1618 L3926 APCL18_373
1617 2018 8.1 O M 1617 L3924 APCL18_371
1616 2018 9 O M 1616 L3922 APCL18_368
2242 2018 7.8 YR F 2242 L3919 APCL18_361
1615 2018 6.4 YR J 1615 L3917 APCL18_359
1614 2018 6.9 YR J 1614 L3916 APCL18_358
1613 2018 8.4 O M 1613 L3915 APCL18_357
1612 2018 8.3 O M 1612 L3912 APCL18_354
1611 2018 6.3 W J 1611 L3910 APCL18_352
2241 2018 8.9 YR F 2241 L3908 APCL18_350
1610 2018 10 O M 1610 L3907 APCL18_348
2240 2018 7.2 YR F 2240 L3906 APCL18_347
1609 2018 8.9 O M 1609 L3905 APCL18_346
1608 2018 9.4 YP F 1608 L3903 APCL18_344
1607 2018 9.7 O M 1607 L3901 APCL18_342
1606 2018 9.9 YP F 1606 L3900 APCL18_341
1605 2018 11 YP F 1605 L3899 APCL18_340
1604 2018 9.9 O M 1604 L3898 APCL18_339
1603 2018 9.6 O M 1603 L3897 APCL18_338
1602 2018 9 YP F 1602 L3896 APCL18_337
1601 2018 8.7 O M 1601 L3895 APCL18_336
1600 2018 6.1 YR J 1600 L3894 APCL18_335
1599 2018 9.7 YP F 1599 L3893 APCL18_334
1598 2018 8.8 O M 1598 L3890 APCL18_329
1597 2018 10.3 O M 1597 L3889 APCL18_328
1596 2018 10 YP F 1596 L3888 APCL18_327
1595 2018 9.8 O M 1595 L3887 APCL18_326
1594 2018 9 O M 1594 L3886 APCL18_324
2239 2018 9.2 YR F 2239 L3885 APCL18_323
1593 2018 9.4 O M 1593 L3883 APCL18_321
1592 2018 10.4 YP F 1592 L3882 APCL18_320
1591 2018 9.6 O M 1591 L3881 APCL18_319
1590 2018 10.2 YP F 1590 L3880 APCL18_318
1588 2018 9.2 O M 1588 L3878 APCL18_315
1587 2018 10.1 O M 1587 L3877 APCL18_313
2238 2018 7.1 W F 2238 L3871 APCL18_307
2647 2018 7.4 O M 2647 L3869 APCL18_305
2117 2018 6.4 YP J 2117 L3868 APCL18_304
1586 2018 6.4 YR J 1586 L3867 APCL18_303
2646 2018 7.9 O M 2646 L3866 APCL18_302
1585 2018 8.6 YP F 1585 L3865 APCL18_301
1584 2018 8.4 O M 1584 L3863 APCL18_299
1583 2018 8.2 O M NA NA NA
2237 2018 7.5 YR F 2237 L3860 APCL18_296
1582 2018 7.7 O M 1582 L3859 APCL18_295
1581 2018 7.6 O M 1581 L3857 APCL18_293
1580 2018 9.5 YP F 1580 L3856 APCL18_292
1747 2018 8.2 O M 1747 L3855 APCL18_291
1579 2018 10 O M 1579 L3854 APCL18_188
1578 2018 9.1 O M 1578 L3853 APCL18_187
1577 2018 9.9 YP F 1577 L3852 APCL18_186
1576 2018 10.1 YP F 1576 L3850 APCL18_184
1575 2018 6.9 YR J 1575 L3849 APCL18_183
1574 2018 6.9 YR J 1574 L3848 APCL18_182
1573 2018 9.1 YP F 1573 L3847 APCL18_181
1572 2018 8.4 O M 1572 L3846 APCL18_177
1571 2018 9.2 YP F 1571 L3843 APCL18_149
2151 2018 7.5 YR J 2151 L3840 APCL18_277
2199 2018 6 O M 2199 L3839 APCL18_274
1570 2018 9.4 YP F 1570 L3838 APCL18_272
1569 2018 8.2 O M 1569 L3837 APCL18_271
1568 2018 7.6 O M 1568 L3836 APCL18_270
1784 2018 7.9 YP J 1784 L3835 APCL18_268
1567 2018 7.1 O M 1567 L3834 APCL18_265
1566 2018 9.8 YP F 1566 L3832 APCL18_260
1565 2018 9.6 O M 1565 L3831 APCL18_258
1564 2018 8.5 O M 1564 L3830 APCL18_256
1563 2018 8.2 O M 1563 L3829 APCL18_253
1562 2018 9 O M 1562 L3828 APCL18_252
1561 2018 8.9 YP F 1561 L3827 APCL18_251
2266 2018 7.9 YP F 2266 L3826 APCL18_250
1856 2018 7.1 YP F 1856 L3825 APCL18_249
2236 2018 8.1 YR F 2236 L3824 APCL18_248
1560 2018 9.2 YP F 1560 L3823 APCL18_246
1559 2018 8.7 YP F 1559 L3822 APCL18_244
1558 2018 9.1 YP F 1558 L3821 APCL18_243
2235 2018 7.8 YR F 2235 L3820 APCL18_242
1557 2018 6.1 YR J 1557 L3819 APCL18_240
1556 2018 8.6 O M 1556 L3818 APCL18_239
1555 2018 9.1 YP F 1555 L3817 APCL18_238
1554 2018 7.5 O M 1554 L3816 APCL18_237
1855 2018 6.6 YP F 1855 L3815 APCL18_236
1553 2018 8 O M 1553 L3814 APCL18_233
1552 2018 9.1 YP F 1552 L3813 APCL18_232
1551 2018 8.1 YP F 1551 L3812 APCL18_226
1550 2018 8.5 YP F 1550 L3811 APCL18_225
1549 2018 8.3 YP F 1549 L3810 APCL18_219
1548 2018 7.4 O M 1548 L3809 APCL18_214
1547 2018 9.9 O M 1547 L3807 APCL18_211
1546 2018 8.9 O M 1546 L3806 APCL18_210
1545 2018 6.4 YR J 1545 L3803 APCL18_207
1544 2018 9.5 O M 1544 L3802 APCL18_206
2234 2018 7.4 YR F 2234 L3800 APCL18_204
1543 2018 8.2 O M 1543 L3799 APCL18_203
1542 2018 9 O M 1542 L3798 APCL18_201
1541 2018 8.2 O M 1541 L3797 APCL18_200
1540 2018 9.4 O M 1540 L3796 APCL18_198
1538 2018 8.8 YP F 1538 L3794 APCL18_196
1537 2018 8.5 O M 1537 L3793 APCL18_195
1536 2018 8.2 O M 1536 L3792 APCL18_194
937 2018 6.2 W J 937 L3791 APCL18_193
1535 2018 10.2 YP F 1535 L3790 APCL18_192
1534 2018 9.6 O M 1534 L3789 APCL18_191
1533 2018 9 O M 1533 L3788 APCL18_190
1532 2018 10.8 YP F 1532 L3787 APCL18_189
1064 2018 6.3 YR J 1064 L3785 APCL18_088
1063 2018 8.5 O M 1063 L3781 APCL18_083
1062 2018 7.3 O M 1062 L3780 APCL18_082
1061 2018 9.2 O M 1061 L3778 APCL18_080
1060 2018 8.3 O M 1060 L3777 APCL18_079
2157 2018 6.6 O J 2157 L3776 APCL18_078
1059 2018 8.6 O M 1059 L3775 APCL18_076
1837 2018 6.2 YP F 1837 L3774 APCL18_075
2270 2018 8 YP F NA NA NA
1058 2018 7.2 O M 1058 L3772 APCL18_073
1057 2018 6.5 YR J 1057 L3767 APCL18_066
1056 2018 7.7 O M 1056 L3766 APCL18_065
1055 2018 7.1 O M 1055 L3765 APCL18_064
1054 2018 8.8 YP F 1054 L3764 APCL18_063
1765 2018 6.6 YP J 1765 L3763 APCL18_062
1053 2018 10.4 YP F 1053 L3762 APCL18_060
1052 2018 8.6 O M 1052 L3761 APCL18_056
2178 2018 6.9 O M 2178 L3759 APCL18_037
1051 2018 8.8 O M 1051 L3756 APCL18_032
1050 2018 9.7 YP F 1050 L3755 APCL18_022
1049 2018 7.8 O M 1049 L3754 APCL18_021
2704 2018 7.7 O M 2704 L3753 APCL18_020
1048 2018 9.7 O M 1048 L3752 APCL18_016
28 2018 7.6 O M 28 L3750 APCL18_014
2041 2018 9.4 YP M 2041 L3748 APCL18_012
2578 2018 7.5 YP F 2578 L3991 APCL18_484
1913 2018 7.3 YR F 1913 L3986 APCL18_478
2577 2018 9.5 O M 2577 L3989 APCL18_482
2765 2018 8.4 YP F NA NA NA
2288 2018 9.1 O M NA NA NA
2286 2018 11.1 O M 2286 L3650 APCL18_004
1938 2017 8 O M 1938 L5600 APCL17_397
2636 2017 8.5 YP F 2636 L5598 APCL17_390
1932 2017 9.2 O M 1932 L5596 APCL17_385
2035 2017 7.7 YP J 2035 L5595 APCL17_380
2021 2017 7.9 O M 2021 L5594 APCL17_367
2019 2017 8.1 YP F 2019 L5593 APCL17_365
2013 2017 7.7 O M 2013 L5591 APCL17_347
2269 2017 6.8 YP F 2269 L5590 APCL17_338
2008 2017 8 O M 2008 L5589 APCL17_333
2005 2017 8.1 O M 2005 L5588 APCL17_325
2033 2017 8.3 O M 2033 L5586 APCL17_562
2032 2017 9.6 YP F 2032 L5585 APCL17_561
2039 2017 6.5 YP F 2039 L5582 APCL17_558
2031 2017 8.4 YP F 2031 L5580 APCL17_555
2030 2017 7.5 O M 2030 L5577 APCL17_551
2024 2017 9.5 O M 2024 L5576 APCL17_530
2017 2017 8.2 O M 2017 L5563 APCL17_353
2011 2017 6.2 YR J 2011 L5561 APCL17_342
2038 2017 7.4 YP F 2038 L5558 APCL17_545
2029 2017 10 O M 2029 L5555 APCL17_540
2037 2017 7.3 YP F 2037 L5554 APCL17_537
2028 2017 10.5 YP F 2028 L5553 APCL17_536
2027 2017 11.3 YP F 2027 L5552 APCL17_535
2026 2017 10.9 O M 2026 L5551 APCL17_534
2025 2017 11.3 O M 2025 L5550 APCL17_533
2023 2017 9 O M 2023 L5549 APCL17_527
2022 2017 9.3 YP F 2022 L5542 APCL17_518
1946 2017 6.2 YR J 1946 L5539 APCL17_512
2634 2017 7.7 O M 2634 L5502 APCL17_395
1935 2017 9.7 YP F 1935 L5501 APCL17_392
1862 2017 9.9 YP F 1862 L5494 APCL17_375
2020 2017 7.4 O M 2020 L5490 APCL17_366
2018 2017 7.4 O M 2018 L5487 APCL17_355
2016 2017 8.8 YP F 2016 L5486 APCL17_352
2015 2017 6.8 YR J 2015 L5485 APCL17_351
2014 2017 6.8 YR J 2014 L5484 APCL17_349
2154 2017 7.6 YR J 2154 L5483 APCL17_346
2012 2017 9.4 YP F 2012 L5482 APCL17_345
2010 2017 8.4 O M 2010 L5479 APCL17_339
2009 2017 7.8 O M 2009 L5476 APCL17_335
2007 2017 8.3 O M 2007 L5473 APCL17_330
2006 2017 9.4 YP F 2006 L5471 APCL17_327
2245 2017 7.1 YR F 2245 L5470 APCL17_326
2004 2017 6.9 YR J 2004 L5469 APCL17_324
2003 2017 9.4 YP F 2003 L5468 APCL17_322
2002 2017 8.6 YP F 2002 L5467 APCL17_318
2001 2017 8.9 O M 2001 L5466 APCL17_317
2000 2017 9.8 YP F 2000 L5465 APCL17_316
2633 2017 7.3 O M 2633 L5464 APCL17_314
1102 2017 9.3 YP F NA NA NA
2556 2017 8.1 O M 2556 L5578 APCL17_552
2557 2017 7.6 O M 2557 L5579 APCL17_554
1454 2017 9.3 YP F NA NA NA
1384 2017 7.2 YP F NA NA NA
1861 2017 6.8 YP F 1861 L4961 APCL17_499
1716 2017 8.2 YP F 1716 L4960 APCL17_497
1715 2017 8.8 YP F 1715 L4959 APCL17_496
1714 2017 8.7 O M 1714 L4958 APCL17_495
