"site_i","site_j","dist_km"
"Magbangon","Sitio Baybayon",25.1134608596041
"Palanas","Sitio Baybayon",27.2919430069393
"Poroc Rose","Sitio Baybayon",13.2745735162831
"Poroc San Flower","Sitio Baybayon",14.2288188911802
"San Agustin","Sitio Baybayon",14.7598845132621
"Sitio Baybayon","Sitio Baybayon",9.49352979660034e-05
"Sitio Lonas","Sitio Baybayon",15.3556606444419
"Sitio Tugas","Sitio Baybayon",18.8737442004117
"Tamakin Dacot","Sitio Baybayon",2.00690512091702
"Visca","Sitio Baybayon",12.0358563168247
"Wangag","Sitio Baybayon",26.8620654279672
"CAI","Sitio Baybayon",37.2246259586305
"SF1","Sitio Baybayon",25.9840933547687
"SF2","Sitio Baybayon",23.2020146328171
"SF3","Sitio Baybayon",20.5661724359369
"SF4","Sitio Baybayon",16.3028816696349
"SF5","Sitio Baybayon",10.7481626327945
"SF6","Sitio Baybayon",4.37008822515937
"Cabatoan","Sitio Lonas",10.8872204466828
"Caridad Cemetery","Sitio Lonas",7.93235105602247
"Caridad Proper","Sitio Lonas",7.17087278024704
"Elementary School","Sitio Lonas",3.15672946924723
"Gabas","Sitio Lonas",5.29391347715393
"Haina","Sitio Lonas",14.8456846831604
"Hicgop South","Sitio Lonas",4.86139751953595
"Magbangon","Sitio Lonas",11.1296663262947
"Palanas","Sitio Lonas",13.5366192341433
"Poroc Rose","Sitio Lonas",2.11528043332987
"Poroc San Flower","Sitio Lonas",1.17254142021535
"San Agustin","Sitio Lonas",0.604019027624227
"Sitio Baybayon","Sitio Lonas",15.3556606444419
"Sitio Lonas","Sitio Lonas",0
"Sitio Tugas","Sitio Lonas",3.95401082044188
"Tamakin Dacot","Sitio Lonas",13.5438241042835
"Visca","Sitio Lonas",3.3797826959065
"Wangag","Sitio Lonas",13.0190499073661
"CAI","Sitio Lonas",38.8302576868779
"SF1","Sitio Lonas",12.2581166898386
"SF2","Sitio Lonas",9.02866871824612
"SF3","Sitio Lonas",6.0349896420294
"SF4","Sitio Lonas",1.5468581559545
"SF5","Sitio Lonas",4.70047119839293
"SF6","Sitio Lonas",12.9892879138939
"Cabatoan","Sitio Tugas",6.97778704506868
"Caridad Cemetery","Sitio Tugas",3.98589537085982
"Caridad Proper","Sitio Tugas",3.22263263749314
"Elementary School","Sitio Tugas",0.819148876610196
"Gabas","Sitio Tugas",9.17150421430282
"Haina","Sitio Tugas",18.4303145606387
"Hicgop South","Sitio Tugas",0.912910872621498
"Magbangon","Sitio Tugas",7.22370627990875
"Palanas","Sitio Tugas",9.63741335627491
"Poroc Rose","Sitio Tugas",5.97906582562741
"Poroc San Flower","Sitio Tugas",5.09597019923732
"San Agustin","Sitio Tugas",4.52288186298911
"Sitio Baybayon","Sitio Tugas",18.8737442004117
"Sitio Lonas","Sitio Tugas",3.95401082044188
"Sitio Tugas","Sitio Tugas",9.49352979660034e-05
"Tamakin Dacot","Sitio Tugas",17.1629023372764
"Visca","Sitio Tugas",7.21408228716616
"Wangag","Sitio Tugas",9.11177076508712
"CAI","Sitio Tugas",38.1435748645998
"SF1","Sitio Tugas",8.38334016179686
"SF2","Sitio Tugas",5.12380818933713
"SF3","Sitio Tugas",2.12802845755469
"SF4","Sitio Tugas",2.61986696765755
"SF5","Sitio Tugas",8.51297843150278
"SF6","Sitio Tugas",16.0189763626173
"Cabatoan","Tamakin Dacot",23.3884325137891
"Caridad Cemetery","Tamakin Dacot",20.820481733943
"Caridad Proper","Tamakin Dacot",20.1183459764472
"Elementary School","Tamakin Dacot",16.3545910610978
"Gabas","Tamakin Dacot",8.43842668542606
"Haina","Tamakin Dacot",1.32935692208799
"Hicgop South","Tamakin Dacot",18.0502649349819
"Magbangon","Tamakin Dacot",23.5988979639063
"Palanas","Tamakin Dacot",25.829348683192
"Poroc Rose","Tamakin Dacot",11.4429803725633
"Poroc San Flower","Tamakin Dacot",12.3993174604494
"San Agustin","Tamakin Dacot",12.9431079071849
"Sitio Baybayon","Tamakin Dacot",2.00690512091702
"Sitio Lonas","Tamakin Dacot",13.5438241042835
"Sitio Tugas","Tamakin Dacot",17.1629023372764
"Tamakin Dacot","Tamakin Dacot",9.49352979660034e-05
"Visca","Tamakin Dacot",10.1897266320616
"Wangag","Tamakin Dacot",25.3830246400065
"CAI","Tamakin Dacot",37.8962819720814
"SF1","Tamakin Dacot",24.5145687480848
"SF2","Tamakin Dacot",21.6420706685126
"SF3","Tamakin Dacot",18.9280249721515
"SF4","Tamakin Dacot",14.5658362166854
"SF5","Tamakin Dacot",8.88395156870809
"SF6","Tamakin Dacot",4.27206458478638
"Cabatoan","Visca",13.9687512766746
"Caridad Cemetery","Visca",11.1170499867974
"Caridad Proper","Visca",10.3684742357159
"Elementary School","Visca",6.39564840604425
"Gabas","Visca",1.9629852193109
"Haina","Visca",11.500479636222
"Hicgop South","Visca",8.12617156228781
"Magbangon","Visca",14.2030383569093
"Palanas","Visca",16.5775204258635
"Poroc Rose","Visca",1.26450294037349
"Poroc San Flower","Visca",2.21665869501555
"San Agustin","Visca",2.77577160643729
"Sitio Baybayon","Visca",12.0358563168247
"Sitio Lonas","Visca",3.3797826959065
"Sitio Tugas","Visca",7.21408228716616
"Tamakin Dacot","Visca",10.1897266320616
"Visca","Visca",0
"Wangag","Visca",16.078031642585
"CAI","Visca",38.5109343904408
"SF1","Visca",15.2723782919366
"SF2","Visca",12.1255597617204
"SF3","Visca",9.19257462056812
"SF4","Visca",4.6062957340816
"SF5","Visca",1.32069028024012
"SF6","Visca",10.0124909858108
"Cabatoan","Wangag",2.13420254257553
"Caridad Cemetery","Wangag",5.15903752298336
"Caridad Proper","Wangag",5.91579724335279
"Elementary School","Wangag",9.87412896656161
"Gabas","Wangag",18.0301766971931
"Haina","Wangag",26.5532626762551
"Hicgop South","Wangag",8.24594483032354
"Magbangon","Wangag",1.88974564473697
"Palanas","Wangag",0.540970717463239
"Poroc Rose","Wangag",14.9177755744702
"Poroc San Flower","Wangag",14.1110169804677
"San Agustin","Wangag",13.5532790749203
"Sitio Baybayon","Wangag",26.8620654279672
"Sitio Lonas","Wangag",13.0190499073661
"Sitio Tugas","Wangag",9.11177076508712
"Tamakin Dacot","Wangag",25.3830246400065
"Visca","Wangag",16.078031642585
"Wangag","Wangag",9.49352979660034e-05
"CAI","Wangag",36.4319242119535
"SF1","Wangag",0.891755028198368
"SF2","Wangag",3.99184804809706
"SF3","Wangag",6.99192917195559
"SF4","Wangag",11.5466070395871
"SF5","Wangag",17.3049180071651
"SF6","Wangag",23.3095272094725
"Cabatoan","CAI",36.6107468025567
"Caridad Cemetery","CAI",37.5119107683828
"Caridad Proper","CAI",37.6221874340169
"Elementary School","CAI",38.0846165851528
"Gabas","CAI",39.004881087824
"Haina","CAI",37.78096281888
"Hicgop South","CAI",38.1530161399208
"Magbangon","CAI",36.5369117565946
"Palanas","CAI",36.2691073087654
"Poroc Rose","CAI",38.5971089154612
"Poroc San Flower","CAI",38.8063694633589
"San Agustin","CAI",38.7489692903279
"Sitio Baybayon","CAI",37.2246259586305
"Sitio Lonas","CAI",38.8302576868779
"Sitio Tugas","CAI",38.1435748645998
"Tamakin Dacot","CAI",37.8962819720814
"Visca","CAI",38.5109343904408
"Wangag","CAI",36.4319242119535
"CAI","CAI",0
"SF1","CAI",35.9981016461332
"SF2","CAI",36.7853243234563
"SF3","CAI",37.3969140510318
"SF4","CAI",37.9189565190796
"SF5","CAI",38.4636529380995
"SF6","CAI",33.7017111454697
"Cabatoan","SF1",1.4672081131654
"Caridad Cemetery","SF1",4.48855220702956
"Caridad Proper","SF1",5.22916715858043
"Elementary School","SF1",9.1280492912273
"Gabas","SF1",17.2193508278488
"Haina","SF1",25.6800370480472
"Hicgop South","SF1",7.53767339014655
"Magbangon","SF1",1.22080929536053
"Palanas","SF1",1.31828931853634
"Poroc Rose","SF1",14.1257243267553
"Poroc San Flower","SF1",13.3347743317101
"San Agustin","SF1",12.782037944629
"Sitio Baybayon","SF1",25.9840933547687
"Sitio Lonas","SF1",12.2581166898386
"Sitio Tugas","SF1",8.38334016179686
"Tamakin Dacot","SF1",24.5145687480848
"Visca","SF1",15.2723782919366
"Wangag","SF1",0.891755028198368
"CAI","SF1",35.9981016461332
"SF1","SF1",0
"SF2","SF1",3.26673996757178
"SF3","SF1",6.25577215661108
"SF4","SF1",10.7687423933588
"SF5","SF1",16.4878368787559
"SF6","SF1",22.4201320188277
"Cabatoan","SF2",1.85861357658764
"Caridad Cemetery","SF2",1.26570775042398
"Caridad Proper","SF2",1.97239079648527
"Elementary School","SF2",5.88228830146056
"Gabas","SF2",14.0842511428347
"Haina","SF2",22.847966425562
"Hicgop South","SF2",4.27114954690434
"Magbangon","SF2",2.10213835266453
"Palanas","SF2",4.51440944124256
"Poroc Rose","SF2",10.9477148516881
"Poroc San Flower","SF2",10.1273073183555
"San Agustin","SF2",9.56685475025995
"Sitio Baybayon","SF2",23.2020146328171
"Sitio Lonas","SF2",9.02866871824612
"Sitio Tugas","SF2",5.12380818933713
"Tamakin Dacot","SF2",21.6420706685126
"Visca","SF2",12.1255597617204
"Wangag","SF2",3.99184804809706
"CAI","SF2",36.7853243234563
"SF1","SF2",3.26673996757178
"SF2","SF2",0
"SF3","SF2",3.00052028835081
"SF4","SF2",7.56618674450741
"SF5","SF2",13.3721857789625
"SF6","SF2",19.8580093414283
"Cabatoan","SF3",4.85790687088775
"Caridad Cemetery","SF3",1.92540468295468
"Caridad Proper","SF3",1.19195429710466
"Elementary School","SF3",2.88301135139498
