"site_i","site_j","bearing","direction"
"Cabatoan","Cabatoan",-180,-1
"Cabatoan","Caridad Cemetery",134.153516624325,134.153516624325
"Cabatoan","Caridad Proper",136.506607956546,136.506607956546
"Cabatoan","Elementary School",144.077342191628,144.077342191628
"Cabatoan","Gabas",152.749797448597,152.749797448597
"Cabatoan","Haina",165.941235246517,165.941235246517
"Cabatoan","Hicgop South",139.127392614459,139.127392614459
"Cabatoan","Magbangon",-48.2467959258639,311.753204074136
"Cabatoan","Palanas",-40.2972072002161,319.702792799784
"Cabatoan","Poroc Rose",150.05370656246,150.05370656246
"Cabatoan","Poroc San Flower",147.730237502816,147.730237502816
"Cabatoan","San Agustin",147.06569730581,147.06569730581
"Cabatoan","Sitio Baybayon",167.637630940272,167.637630940272
"Cabatoan","Sitio Lonas",145.642370589779,145.642370589779
"Cabatoan","Sitio Tugas",141.742052213441,141.742052213441
"Cabatoan","Tamakin Dacot",164.514629259158,164.514629259158
"Cabatoan","Visca",152.115016634039,152.115016634039
"Cabatoan","Wangag",-37.3187875086943,322.681212491306
"Cabatoan","CAI",-120.504385917649,239.495614082351
"Cabatoan","SF1",-56.5662833138212,303.433716686179
"Cabatoan","SF2",145.21574493803,145.21574493803
"Cabatoan","SF3",143.576189984443,143.576189984443
"Cabatoan","SF4",148.4412534496,148.4412534496
"Cabatoan","SF5",153.932794332925,153.932794332925
"Cabatoan","SF6",174.338135322985,174.338135322985
"Caridad Cemetery","Cabatoan",-45.8427388460445,314.157261153956
"Caridad Cemetery","Caridad Cemetery",-180,-1
"Caridad Cemetery","Caridad Proper",145.925788206176,145.925788206176
"Caridad Cemetery","Elementary School",150.387453273624,150.387453273624
"Caridad Cemetery","Gabas",157.012180368359,157.012180368359
"Caridad Cemetery","Haina",170.121070089305,170.121070089305
"Caridad Cemetery","Hicgop South",144.013780212461,144.013780212461
"Caridad Cemetery","Magbangon",-46.0249196157901,313.97508038421
"Caridad Cemetery","Palanas",-43.2530495724859,316.746950427514
"Caridad Cemetery","Poroc Rose",154.886358449077,154.886358449077
"Caridad Cemetery","Poroc San Flower",152.259556601648,152.259556601648
"Caridad Cemetery","San Agustin",151.665726268525,151.665726268525
"Caridad Cemetery","Sitio Baybayon",171.940509523306,171.940509523306
"Caridad Cemetery","Sitio Lonas",150.029573037347,150.029573037347
"Caridad Cemetery","Sitio Tugas",147.532405753125,147.532405753125
"Caridad Cemetery","Tamakin Dacot",168.761941653628,168.761941653628
"Caridad Cemetery","Visca",156.965363685512,156.965363685512
"Caridad Cemetery","Wangag",-42.3277397200538,317.672260279946
"Caridad Cemetery","CAI",-116.028723868849,243.971276131151
"Caridad Cemetery","SF1",-49.3312917852697,310.66870821473
"Caridad Cemetery","SF2",-62.1580983167738,297.841901683226
"Caridad Cemetery","SF3",158.591678728756,158.591678728756
"Caridad Cemetery","SF4",155.064873047217,155.064873047217
"Caridad Cemetery","SF5",158.709408344959,158.709408344959
"Caridad Cemetery","SF6",-179.788357733411,180.211642266589
"Caridad Proper","Cabatoan",-43.4889148239369,316.511085176063
"Caridad Proper","Caridad Cemetery",-34.0734787702811,325.926521229719
"Caridad Proper","Caridad Proper",-180,-1
"Caridad Proper","Elementary School",151.236405918655,151.236405918655
"Caridad Proper","Gabas",157.695937923541,157.695937923541
"Caridad Proper","Haina",170.963105985298,170.963105985298
"Caridad Proper","Hicgop South",143.389663863296,143.389663863296
"Caridad Proper","Magbangon",-43.7824931806984,316.217506819302
"Caridad Proper","Palanas",-42.1707984423407,317.829201557659
"Caridad Proper","Poroc Rose",155.632002207554,155.632002207554
"Caridad Proper","Poroc San Flower",152.842292137352,152.842292137352
"Caridad Proper","San Agustin",152.232917174843,152.232917174843
"Caridad Proper","Sitio Baybayon",172.825243971682,172.825243971682
"Caridad Proper","Sitio Lonas",150.467152942488,150.467152942488
"Caridad Proper","Sitio Tugas",147.913872718048,147.913872718048
"Caridad Proper","Tamakin Dacot",169.608265738347,169.608265738347
"Caridad Proper","Visca",157.775053991255,157.775053991255
"Caridad Proper","Wangag",-41.2660653129107,318.733934687089
"Caridad Proper","CAI",-114.880210073211,245.119789926789
"Caridad Proper","SF1",-47.1313989752877,312.868601024712
"Caridad Proper","SF2",-51.6765971182224,308.323402881778
"Caridad Proper","SF3",166.681363685458,166.681363685458
"Caridad Proper","SF4",156.271981115151,156.271981115151
"Caridad Proper","SF5",159.54253733663,159.54253733663
"Caridad Proper","SF6",-178.46036429095,181.53963570905
"Elementary School","Cabatoan",-35.9148809513492,324.085119048651
"Elementary School","Caridad Cemetery",-29.6085115406954,330.391488459305
"Elementary School","Caridad Proper",-28.7602917195455,331.239708280455
"Elementary School","Elementary School",-180,-1
"Elementary School","Gabas",160.801188659698,160.801188659698
"Elementary School","Haina",175.382599762361,175.382599762361
"Elementary School","Hicgop South",-18.1240858579954,341.875914142005
"Elementary School","Magbangon",-36.2976474838469,323.702352516153
"Elementary School","Palanas",-37.033981123292,322.966018876708
"Elementary School","Poroc Rose",159.054467662235,159.054467662235
"Elementary School","Poroc San Flower",154.349855925314,154.349855925314
"Elementary School","San Agustin",153.313049838672,153.313049838672
"Elementary School","Sitio Baybayon",177.5236382489,177.5236382489
"Elementary School","Sitio Lonas",149.492209067726,149.492209067726
"Elementary School","Sitio Tugas",-15.5622090669565,344.437790933044
"Elementary School","Tamakin Dacot",174.0556501822,174.0556501822
"Elementary School","Visca",161.881260889963,161.881260889963
"Elementary School","Wangag",-36.2166495438823,323.783350456118
"Elementary School","CAI",-108.86545556504,251.13454443496
"Elementary School","SF1",-39.1697544634477,320.830245536552
"Elementary School","SF2",-36.2745014331185,323.725498566881
"Elementary School","SF3",-35.0702908409958,324.929709159004
"Elementary School","SF4",167.569613478828,167.569613478828
"Elementary School","SF5",163.873565598258,163.873565598258
"Elementary School","SF6",-170.823227991119,189.176772008881
"Gabas","Cabatoan",-27.2377699285666,332.762230071433
"Gabas","Caridad Cemetery",-22.979120666496,337.020879333504
"Gabas","Caridad Proper",-22.2960947839788,337.703905216021
"Gabas","Elementary School",-19.1941424943148,340.805857505685
"Gabas","Gabas",-180,-1
"Gabas","Haina",-172.166500970015,187.833499029985
