id_number one_lon two_lon three_lon four_lon one_lat two_lat three_lat four_lat
19854 124.678571791461 124.681560156801 124.681277885912 124.684267702793 10.4810540926491 10.4831657252961 10.4773491882574 10.4794605966298
19855 124.681560156801 124.68454871185 124.684267702793 124.687257723512 10.4831657252961 10.4852784756722 10.4794605966298 10.4815731340983
20155 124.672878637797 124.675865381093 124.675583624906 124.678571791461 10.482646427243 10.4847571711503 10.4789435668409 10.4810540926491
20156 124.675865381093 124.67885230931 124.678571791461 124.681560156801 10.4847571711503 10.4868690107231 10.4810540926491 10.4831657252961
20157 124.67885230931 124.681839413369 124.681560156801 124.68454871185 10.4868690107231 10.4889819566533 10.4831657252961 10.4852784756722
20158 124.681839413369 124.684826684033 124.68454871185 124.68753744737 10.4889819566533 10.4910960196308 10.4852784756722 10.4873923546708
20455 124.664203223662 124.667188188642 124.666905741504 124.669892088344 10.4821288180579 10.4842376255624 10.4784281836687 10.4805367683109
20456 124.667188188642 124.670173342627 124.669892088344 124.672878637797 10.4842376255624 10.4863474965515 10.4805367683109 10.482646427243
20457 124.670173342627 124.673158676839 124.672878637797 124.675865381093 10.4863474965515 10.4884584415277 10.482646427243 10.4847571711503
20458 124.673158676839 124.676144182356 124.675865381093 124.67885230931 10.4884584415277 10.4905704709935 10.4847571711503 10.4868690107231
20459 124.676144182356 124.679129850101 124.67885230931 124.681839413369 10.4905704709935 10.4926835954484 10.4868690107231 10.4889819566533
20460 124.679129850101 124.682115670847 124.681839413369 124.684826684033 10.4926835954484 10.4947978253849 10.4889819566533 10.4910960196308
20461 124.682115670847 124.685101635204 124.684826684033 124.687814111901 10.4947978253849 10.4969131712847 10.4910960196308 10.4932112103392
20755 124.655533759345 124.658516979158 124.658233895106 124.661218456319 10.4816128017176 10.4837197409873 10.4779143515153 10.4800210635394
20756 124.658516979158 124.661500391733 124.661218456319 124.664203223662 10.4837197409873 10.4858277122815 10.4800210635394 10.4821288180579
20757 124.661500391733 124.664483988569 124.664203223662 124.667188188642 10.4858277122815 10.4879367259235 10.4821288180579 10.4842376255624
20758 124.664483988569 124.667467761029 124.667188188642 124.670173342627 10.4879367259235 10.4900467922388 10.4842376255624 10.4863474965515
20759 124.667467761029 124.670451700336 124.670173342627 124.673158676839 10.4900467922388 10.4921579215524 10.4863474965515 10.4884584415277
20760 124.670451700336 124.673435797571 124.673158676839 124.676144182356 10.4921579215524 10.4942701241848 10.4884584415277 10.4905704709935
20761 124.673435797571 124.676420043668 124.676144182356 124.679129850101 10.4942701241848 10.496383410449 10.4905704709935 10.4926835954484
20762 124.676420043668 124.679404429411 124.679129850101 124.682115670847 10.496383410449 10.4984977906464 10.4926835954484 10.4947978253849
20763 124.679404429411 124.682388945432 124.682115670847 124.685101635204 10.4984977906464 10.5006132750631 10.4947978253849 10.4969131712847
20764 124.682388945432 124.685373582203 124.685101635204 124.688087733621 10.5006132750631 10.5027298739658 10.4969131712847 10.4990296436144
21055 124.646870092719 124.649851600219 124.649567931354 124.652550740664 10.4810982854028 10.4832034228608 10.4774019779883 10.4795068841544
21056 124.649851600219 124.652833303949 124.652550740664 124.655533759345 10.4832034228608 10.4853095615518 10.4795068841544 10.4816128017176
21057 124.652833303949 124.655815195659 124.655533759345 124.658516979158 10.4853095615518 10.4874167116302 10.4816128017176 10.4837197409873
21058 124.655815195659 124.658797266974 124.658516979158 124.661500391733 10.4874167116302 10.4895248832545 10.4837197409873 10.4858277122815
21059 124.658797266974 124.661779509389 124.661500391733 124.664483988569 10.4895248832545 10.4916340865845 10.4858277122815 10.4879367259235
21060 124.661779509389 124.664761914268 124.664483988569 124.667467761029 10.4916340865845 10.4937443317779 10.4879367259235 10.4900467922388
21061 124.664761914268 124.667744472841 124.667467761029 124.670451700336 10.4937443317779 10.4958556289873 10.4900467922388 10.4921579215524
21062 124.667744472841 124.670727176199 124.670451700336 124.673435797571 10.4958556289873 10.4979679883571 10.4921579215524 10.4942701241848
21063 124.670727176199 124.673710015289 124.673435797571 124.676420043668 10.4979679883571 10.5000814200195 10.4942701241848 10.496383410449
21064 124.673710015289 124.676692980916 124.676420043668 124.679404429411 10.5000814200195 10.502195934091 10.496383410449 10.4984977906464
21065 124.676692980916 124.679676063736 124.679404429411 124.682388945432 10.502195934091 10.5043115406686 10.4984977906464 10.5006132750631
21066 124.679676063736 124.68265925425 124.682388945432 124.685373582203 10.5043115406686 10.5064282498259 10.5006132750631 10.5027298739658
21067 124.68265925425 124.685642542809 124.685373582203 124.688358330037 10.5064282498259 10.5085460716085 10.5027298739658 10.5048475975976
21356 124.641191902138 124.644171929323 124.643888789578 124.646870092719 10.4826885796711 10.4847929511983 10.4789941390302 10.4810982854028
21357 124.644171929323 124.647152147928 124.646870092719 124.649851600219 10.4847929511983 10.4868983037824 10.4810982854028 10.4832034228608
21358 124.647152147928 124.650132549816 124.649851600219 124.652833303949 10.4868983037824 10.4890046474246 10.4832034228608 10.4853095615518
21359 124.650132549816 124.65311312673 124.652833303949 124.655815195659 10.4890046474246 10.4911119921286 10.4853095615518 10.4874167116302
21360 124.65311312673 124.656093870296 124.655815195659 124.658797266974 10.4911119921286 10.493220347898 10.4874167116302 10.4895248832545
21361 124.656093870296 124.659074772011 124.658797266974 124.661779509389 10.493220347898 10.4953297247339 10.4895248832545 10.4916340865845
21362 124.659074772011 124.662055823246 124.661779509389 124.664761914268 10.4953297247339 10.4974401326313 10.4916340865845 10.4937443317779
21363 124.662055823246 124.66503701524 124.664761914268 124.667744472841 10.4974401326313 10.4995515815761 10.4937443317779 10.4958556289873
