site id_number one_lon two_lon three_lon four_lon one_lat two_lat three_lat four_lat
Palanas 25064 124.706093277221 124.708971000291 124.708850737906 124.711729585449 10.8728602361832 10.875008490007 10.8692967217614 10.8714458521213
Wangag 24826 124.708850737906 124.711729585449 124.711609289172 124.714489261706 10.8692967217614 10.8714458521213 10.8657317734766 10.8678817783851
Magbangon 24078 124.717129653364 124.720011878459 124.719891461868 124.722774815048 10.858597571266 10.8607493200849 10.8550283145213 10.8571809330877
Cabatoan 23834 124.719891461868 124.722774815048 124.722654352107 124.725538834918 10.8550283145213 10.8571809330877 10.8514576182738 10.8536111053719
Caridad_Cemetery 22363 124.739375145263 124.742264629551 124.742145645307 124.745036273915 10.835740274148 10.8378989671977 10.8321617484554 10.8343213092128
Caridad_Proper 21877 124.744917224405 124.747809000572 124.747689882928 124.750582810163 10.8285817611085 10.8307421898953 10.8250003077977 10.8271616051264
Hicgop 20757 124.756014342423 124.758910746665 124.758791327244 124.761688899351 10.8142471039048 10.8164110118481 10.8106597368465 10.8128245172982
Hicgop_South 20461 124.758791327244 124.761688899351 124.761569397015 124.76446814189 10.8106597368465 10.8128245172982 10.8070708771509 10.809236531585
Sitio_Tugas 20165 124.7586699682 124.761569397015 124.761447945488 124.764348553579 10.804906123444 10.8070708771509 10.8013148932989 10.8034805184337
Elementary_School 19575 124.764227006021 124.767128799027 124.767007151844 124.769910135701 10.7977221557533 10.7998886539511 10.7941279035058 10.7962952765955
Sitio_Lonas 17863 124.775104096649 124.778014517469 124.777888338278 124.780799996608 10.771792907091 10.7739628011637 10.7681876311588 10.7703584025516
San_Agustin 17574 124.77497599408 124.777888338278 124.77776007746 124.780673669761 10.7660178126405 10.7681876311588 10.7624100813268 10.7645807730771
Poroc_San_Flowers 17285 124.77776007746 124.780673669761 124.780545245132 124.783460094492 10.7624100813268 10.7645807730771 10.7588007544095 10.7609723220222
Poroc_Rose 16994 124.77762971133 124.780545245132 124.780414698002 124.783331500392 10.7566301553029 10.7588007544095 10.7530183501068 10.7551898204477
Pangasugan 16413 124.777362562964 124.780282002556 124.780147131875 124.783067864414 10.7450631929157 10.7472335644778 10.7414464026135 10.7436176346898
Visca 16124 124.780147131875 124.783067864414 124.782932767658 124.785854803984 10.7414464026135 10.7436176346898 10.7378279598181 10.7400000549434
Gabas 14969 124.78836941209 124.79129610885 124.791157995519 124.794086045868 10.7247889083875 10.7269625761469 10.7211628477704 10.7233373806254
Tamakin_Dacot 11567 124.780620520817 124.783573258877 124.783400454782 124.786354755824 10.650702811555 10.6528704287419 10.6470435577449 10.6492118777671
Haina 11290 124.777490246419 124.78044561413 124.780267875418 124.783224823626 10.6427105482482 10.6448764482106 10.6390479462307 10.6412145164265
Haina 11026 124.783224823626 124.786181246169 124.78600486838 124.788962893311 10.6412145164265 10.64338231196 10.6375505690561 10.6397190490833
Sitio_Baybayon 11288 124.771577979958 124.774534364188 124.774352453507 124.777310414426 10.6383823720563 10.6405458566772 10.6347184767734 10.63688260017
Sitio_Baybayon 11025 124.771394005488 124.774352453507 124.774167658397 124.777127701029 10.6325555743061 10.6347184767734 10.6288890506249 10.631052572992
