site	id_number
north	40158
north	40159
north	40460
north	40460
north	40461
north	40762
north	40763
north	40764
north	41064
north	41065
north	40764
north	40765
north	41066
north	41067
north	41368
north	41369
north	41368
north	41670
north	41671
north	41370
north	41671
north	41672
north	41673
north	41974
north	41672
north	41673
north	41974
north	41974
north	41975
north	42276
north	42277
north	42277
north	42578
north	42579
north	42880
north	42881
north	43182
north	43183
north	43184
north	43485
north	43787
north	43788
north	43789
north	44090
north	44091
north	44392
north	44393
north	44694
north	44695
north	44996
north	45297
north	45298
north	45296
north	45297
north	45598
north	45599
north	45597
north	45598
north	45900
north	45899
north	45898
north	46200
north	46201
south	24126
south	24127
south	24428
south	24429
south	24125
south	24126
south	24427
south	23821
south	23822
south	24123
south	24124
south	24426
south	24427
south	23821
south	23822
south	23518
south	23519
south	23820
south	23821
south	23214
south	23215
south	23516
south	23517
south	22911
south	22912
south	23213
south	23214
south	22608
south	22609
south	22910
south	22911
south	22305
south	22306
south	22607
south	22608
south	22002
south	21396
south	21397
south	21698
south	21699
south	21093
south	21094
south	21395
south	21396
south	20790
south	20791
south	21092
south	21093
south	20487
south	20488
south	20789
south	20790
south	20184
south	20185
south	20486
south	20487
south	19881
south	19882
south	20183
south	20184
camotes_nw	46400
camotes_sw	36122
camotes_se	33772
camotes_ne	43139
cuatro_islas_nw	24985
cuatro_islas_sw	20453
cuatro_islas_se	20161
cuatro_islas_ne	24393

