"year","k","theta","mdd","med","dist90","iteration"
NA,-2.4775447704165,1.29349048644719,8.85134886055469,6.71,19.53,1
NA,-2.84273550040036,1.95088498908412,9.7833765407668,8.23,20.24,2
NA,-2.57564179809833,1.43550860283454,8.94824227042397,6.99,19.41,3
NA,-2.44558980505456,1.3694663272207,8.15662927314838,6.29,17.83,4
NA,-2.38361551736766,1.30953951931119,7.9681687902464,6.06,17.54,5
NA,-2.43350642880306,1.3045100180987,8.40486069178859,6.39,18.52,6
NA,-2.92682503321594,1.92075944990512,10.7134053526395,8.98,22.22,7
NA,-1.44331036765957,0.670298688298951,9.41738408413962,5.39,23.04,8
NA,-2.54761088011676,1.50934672679728,8.38905788953772,6.64,18.05,9
NA,-3.03933448018384,2.6911057910891,10.7786802680582,9.6,21.37,10
NA,0.535467021160859,0.366271404939054,18.1678941316228,6.43,45.99,11
NA,-2.63668566627933,1.60521539984946,8.80712473493848,7.09,18.77,12
NA,-2.70234924596613,1.64170681508213,9.27739826599464,7.51,19.7,13
NA,-2.13371121349481,0.970125731427177,8.82831349888158,6.05,20.43,14
NA,-2.44836483475608,1.29092255980782,8.61250702385482,6.52,19.01,15
NA,-2.13684664234716,1.0264914575686,8.16977575123146,5.72,18.73,16
NA,-2.53921920348535,1.32851964260815,9.19177991410285,7.02,20.19,17
NA,-2.86004125481611,2.46393940976578,9.1995269396868,8.08,18.44,18
NA,-2.83586299733347,2.34087282685196,9.10763097434589,7.93,18.38,19
NA,-2.13930924454926,0.978855539465676,8.76055989616307,6.02,20.24,20
NA,-2.73088894276191,1.73650813438161,9.24862643089694,7.58,19.47,21
NA,-2.73277710514978,1.9165602756978,8.83225105830196,7.4,18.32,22
NA,-2.58138876494554,1.66211720708385,8.16097392717744,6.62,17.29,23
NA,-2.62023928383495,1.55687282478505,8.83410375173752,7.05,18.91,24
NA,-2.95775800066548,2.09588189643063,10.6687775206735,9.1,21.85,25
NA,-2.6652770334425,1.59315222130417,9.10534141764957,7.31,19.42,26
NA,-2.74023599827267,1.92594206976018,8.87934646041463,7.45,18.4,27
NA,0.101235912729167,0.397590164517621,16.8975597010297,6.5,42.89,28
NA,-2.52517931957406,1.44651109664266,8.45891872569411,6.62,18.32,29
NA,-2.53737336356426,1.4025305152832,8.76933245434084,6.81,19.09,30
NA,-2.55325594765098,1.41751039206277,8.83559171046905,6.88,19.2,31
NA,-3.32077996861764,8,13.3215648010182,13.04,24.35,32
NA,-1.79836763612051,0.770815869568197,9.57819420436577,5.91,22.98,33
NA,-2.73496974101293,1.83080916695399,9.04043434249682,7.5,18.88,34
NA,-2.61635136044104,1.61321166467052,8.60343001659692,6.93,18.32,35
NA,-2.6552257548666,1.42788750742063,9.72902372841263,7.59,21.12,36
NA,-2.61868014620111,1.63481416607676,8.5541969979543,6.91,18.17,37
NA,-2.75105118656429,1.66084005851759,9.67429624216068,7.85,20.5,38
NA,-0.702660342551996,0.485030620628542,13.7951521981206,6.32,34.85,39
NA,-2.675714815147,1.74064345720064,8.74107793773775,7.17,18.39,40
NA,-2.64262003790147,1.57565195041573,8.96402979078539,7.18,19.16,41
NA,-1.18399558710875,0.601009276566137,10.0016647364506,5.35,24.8,42
NA,-2.73087420681662,1.91065251431556,8.82749474946583,7.39,18.32,43
NA,-1.70811054774743,0.779573183684502,8.54189564213284,5.3,20.46,44
NA,-2.62057833760782,1.52691550797589,8.95256219135765,7.11,19.23,45
NA,-2.78184835954074,1.87324179742314,9.37253916069618,7.82,19.51,46
NA,-2.42216234976821,1.2487453154153,8.65805053186497,6.49,19.21,47
NA,-0.0684086203941408,0.420017809239299,14.7243698934524,5.96,37.38,48
NA,-2.30101602520679,1.14489159560598,8.40425196104124,6.12,18.92,49
NA,-2.27700158782241,1.09761779096708,8.62153157818025,6.19,19.55,50
NA,-2.98381370406394,2.36329511964125,10.5308841599469,9.18,21.22,51
NA,-2.59503919602089,1.60112590400861,8.46127158063202,6.8,18.04,52
NA,-1.48272243023997,0.663248202421903,10.0810499474366,5.73,24.7,53
NA,-1.47783632978056,0.677399353589607,9.4778201142045,5.45,23.16,54
NA,-2.81388525925703,2.14073624936975,9.1690009204473,7.85,18.72,55
NA,-2.53433939047803,1.58249250337343,8.02186125651682,6.43,17.13,56
NA,-2.28020902795145,1.10109213460355,8.61610543296248,6.19,19.53,57
NA,-2.14625533988314,0.924133676514574,9.64205586580138,6.47,22.49,58
NA,-1.71323894582204,0.761639886502816,9.02989929398361,5.54,21.71,59
NA,-2.64203863833847,1.65358320997267,8.6973317429002,7.05,18.45,60
NA,-2.64224471130621,1.62816369950671,8.77965836501721,7.09,18.67,61
NA,-2.70726028905272,1.72980289228137,9.05140733774843,7.42,19.06,62
NA,-2.57665897798905,1.48340513460818,8.74266971773458,6.89,18.86,63
NA,-2.34906815201915,1.15617566992905,8.72130552777401,6.38,19.6,64
NA,-3.26554630105102,8,12.6057173401421,12.34,23.04,65
NA,-2.42071025527994,1.27213206868033,8.49289093315496,6.4,18.79,66
NA,-2.69117461782389,1.57979678525151,9.39420221369764,7.53,20.07,67
NA,-2.72038764915211,1.56672849936617,9.72452857484017,7.78,20.8,68
NA,-2.67226450623495,1.6820725966012,8.87633522554616,7.22,18.78,69
