time_scale,time_id,k,theta,mdd,med,dist90,log_like,data_source
annual,2012,-2.16436,4.99069,4.21,4.01,7.88,-148583.152833248,simulation
annual,2013,-0.46126,0.62972,4.21,2.32,10.38,-549040.28389457,simulation
annual,2014,0.28309,0.52751,3.65,1.78,9.16,-527734.313487466,simulation
interannual,2012-4,-0.10384,0.57614,3.9,2.03,9.72,-1682004.74931028,simulation
season,NEM,-0.22543,0.60735,3.71,2,9.19,-1566546.33708116,simulation
season,SWM,0.60233,0.41644,7.89,3.17,20.02,-90949.1391239381,simulation
