time_scale,time_id,k,theta,mdd,med,dist90,log_like,iteration
annual,2012,-2.16488648749799,4.99437996442563,4.21031713780812,4.01,7.88,-148293.359645366,1
annual,2013,-0.453055235111702,0.628213926834512,4.20280369251896,2.31,10.37,-548016.297415313,1
annual,2014,0.284186993245239,0.527123911015125,3.65165984298893,1.78,9.17,-527870.782152065,1
interannual,2012-4,-0.101486008363568,0.575555821827197,3.90525503989223,2.03,9.73,-1682701.9159677,1
season,NEM,-0.223187259275052,0.606734293033892,3.71371900380063,2,9.2,-1568041.67099627,1
season,SWM,0.618704298652491,0.414409918194435,7.96810789004817,3.19,20.23,-90085.6791109141,1
annual,2012,-2.16464745453988,5,4.20915304211696,4.01,7.88,-147838.025142651,2
annual,2013,-0.475453940910103,0.632692141560284,4.20871743861006,2.33,10.37,-551213.272229971,2
annual,2014,0.275558116818626,0.528523879450826,3.64580680043199,1.78,9.16,-528355.292246228,2
interannual,2012-4,-0.111912654298332,0.577364275196531,3.90452429847588,2.03,9.72,-1685005.64088292,2
season,NEM,-0.23328336169098,0.608682329573199,3.71401525713632,2,9.2,-1569013.35279695,2
season,SWM,0.585471411930245,0.417987428360889,7.86009630247308,3.17,19.96,-91477.2368075295,2
annual,2012,-2.15791373834548,4.80750586092019,4.18685379449705,3.98,7.86,-149423.034665617,3
annual,2013,-0.468261957366181,0.631002837632068,4.21159248330513,2.32,10.38,-549036.821223071,3
annual,2014,0.295896388660857,0.525672408864908,3.64790682235709,1.78,9.16,-526192.010045085,3
interannual,2012-4,-0.103774261861186,0.576028577605888,3.90332481965604,2.03,9.72,-1680917.73291552,3
season,NEM,-0.223534656651859,0.60703774424501,3.70919775917716,2,9.19,-1566240.28004821,3
season,SWM,0.558007201766395,0.419066236414706,7.9670715942859,3.22,20.23,-89663.5806997412,3
annual,2012,-2.16575200809736,4.99618422721612,4.21391200624129,4.02,7.89,-148612.929904099,4
annual,2013,-0.460163213587983,0.629364066160992,4.20987247335751,2.32,10.38,-549425.982115455,4
annual,2014,0.284838339421276,0.527164412374471,3.64819848362325,1.78,9.16,-528111.921033681,4
interannual,2012-4,-0.102577592995464,0.57575727125114,3.90488466779962,2.03,9.73,-1683151.65970141,4
season,NEM,-0.225668519208479,0.607208364257364,3.71385369317814,2,9.2,-1568252.93731416,4
season,SWM,0.629607724181115,0.413614642135174,7.96533865050814,3.18,20.22,-90319.8002533951,4
annual,2012,-2.15874161122885,4.85868077891032,4.1886168675446,3.98,7.86,-149988.581829219,5
annual,2013,-0.472534543431824,0.63191691839673,4.21161317427785,2.33,10.38,-548340.68518211,5
annual,2014,0.286572378179368,0.52707941377142,3.64414870647943,1.78,9.15,-527150.994902748,5
interannual,2012-4,-0.109867912987418,0.577176986994538,3.90081906881767,2.03,9.72,-1684952.8186997,5
season,NEM,-0.232843317772526,0.60878585729831,3.71041401632733,2,9.19,-1569006.33252251,5
season,SWM,0.588745449275734,0.417807650230871,7.85269977972401,3.17,19.94,-91353.7723085825,5
annual,2012,-2.16072187463642,5,4.1926620650258,4,7.85,-148583.098589987,6
annual,2013,-0.460612929693357,0.629695258543618,4.20520825461838,2.32,10.37,-551079.743996005,6
annual,2014,0.296903436767486,0.525683202419101,3.64394463422378,1.78,9.15,-525268.611490594,6
interannual,2012-4,-0.100130733007391,0.575591855042813,3.89913808345786,2.03,9.71,-1679838.24222501,6
season,NEM,-0.221420838975479,0.606639023726997,3.70898889996784,2,9.19,-1563552.52897131,6
season,SWM,0.582341112900776,0.419069309334532,7.77523440517909,3.14,19.74,-92123.8409069105,6
annual,2012,-2.15529578580575,4.77713020129988,4.17696000126879,3.97,7.84,-149204.972081644,7
annual,2013,-0.472413488336832,0.631967959405174,4.21010190867424,2.32,10.38,-548623.283446506,7
annual,2014,0.283923068792623,0.527169069594954,3.65141441406538,1.78,9.17,-527312.14359422,7
interannual,2012-4,-0.105707195815659,0.576387899462407,3.9026292420767,2.03,9.72,-1680893.36390989,7
season,NEM,-0.226251582622819,0.607452039002337,3.71135953052965,2,9.19,-1565090.80988875,7
season,SWM,0.572777006929522,0.419488940562556,7.80767093152361,3.16,19.82,-91449.6081538542,7
annual,2012,-2.15600150808619,4.78802442163947,4.17952703335842,3.97,7.85,-149974.199097159,8
annual,2013,-0.462668042769873,0.62961620121426,4.21542622088085,2.32,10.4,-547072.334005845,8
annual,2014,0.283335128199796,0.527224686460301,3.6520725029273,1.78,9.17,-526665.579729979,8
