comparison,time_scale,log_like,iteration
gen_total_bio_total,total_years,-39635.0770348221,12
gen_monsoonal_bio_total,monsoonal,-11118.3675206999,13
gen_monsoonal_bio_monsoonal,total_monsoons,-20505.6791637393,13
gen_total_bio_total,total_years,-26157.9435046193,13
gen_annual_bio_annual,annual,-28388.5916066963,13
gen_monsoonal_bio_total,monsoonal,-14013.6785966729,14
gen_monsoonal_bio_monsoonal,total_monsoons,-25514.3500245217,14
gen_annual_bio_annual,annual,-28048.3058316787,14
gen_total_bio_total,total_years,-40571.5413592214,14
gen_monsoonal_bio_total,monsoonal,-12179.5304806414,15
gen_monsoonal_bio_monsoonal,total_monsoons,-21690.95876343,15
gen_total_bio_total,total_years,-26785.7224525087,15
gen_annual_bio_annual,annual,-32358.567304958,15
gen_monsoonal_bio_total,monsoonal,-13624.383006397,16
gen_monsoonal_bio_monsoonal,total_monsoons,-23170.2343705734,16
gen_annual_bio_annual,annual,-30105.9137554596,16
gen_total_bio_total,total_years,-36765.4118340487,16
gen_monsoonal_bio_total,monsoonal,-13968.2596757795,17
gen_monsoonal_bio_monsoonal,total_monsoons,-26121.084739611,17
gen_annual_bio_annual,annual,-27522.4224003687,17
gen_total_bio_total,total_years,-27970.7494347819,17
gen_monsoonal_bio_total,monsoonal,-12862.5131228891,18
gen_monsoonal_bio_monsoonal,total_monsoons,-23102.6671661542,18
gen_annual_bio_annual,annual,-24914.993026944,18
gen_total_bio_total,total_years,-28694.507489803,18
gen_monsoonal_bio_total,monsoonal,-16003.2122053356,19
gen_monsoonal_bio_monsoonal,total_monsoons,-25981.6522468715,19
gen_annual_bio_annual,annual,-28061.1075869826,19
gen_total_bio_total,total_years,-41486.5751837641,19
gen_monsoonal_bio_total,monsoonal,-13834.3864444148,20
gen_monsoonal_bio_monsoonal,total_monsoons,-24024.3861561842,20
gen_annual_bio_annual,annual,-28550.9369928595,20
gen_total_bio_total,total_years,-39655.4253172718,20
gen_monsoonal_bio_total,monsoonal,-14511.4648942356,21
gen_monsoonal_bio_monsoonal,total_monsoons,-25715.0349496812,21
gen_total_bio_total,total_years,-30951.0040444519,21
gen_annual_bio_annual,annual,-31110.6598519869,21
gen_monsoonal_bio_total,monsoonal,-14669.5638130647,22
gen_monsoonal_bio_monsoonal,total_monsoons,-24068.9886273277,22
gen_annual_bio_annual,annual,-24693.6852900341,22
gen_total_bio_total,total_years,-38427.7769827194,22
gen_monsoonal_bio_total,monsoonal,-16815.8057133962,23
gen_annual_bio_annual,annual,-27019.8070969883,23
gen_monsoonal_bio_monsoonal,total_monsoons,-29176.6821295094,23
gen_total_bio_total,total_years,-39567.8457373031,23
gen_monsoonal_bio_total,monsoonal,-15832.2943954963,24
gen_monsoonal_bio_monsoonal,total_monsoons,-25332.0205130881,24
gen_total_bio_total,total_years,-28000.9230760311,24
gen_annual_bio_annual,annual,-29970.5926793445,24
gen_monsoonal_bio_total,monsoonal,-14938.0764124193,25
gen_monsoonal_bio_monsoonal,total_monsoons,-25878.1292117702,25
gen_annual_bio_annual,annual,-28645.3317454391,25
gen_total_bio_total,total_years,-29310.693503253,25
gen_monsoonal_bio_total,monsoonal,-13673.5376119047,26
gen_monsoonal_bio_monsoonal,total_monsoons,-24058.5670208337,26
gen_total_bio_total,total_years,-27709.4710253368,26
gen_annual_bio_annual,annual,-29056.0907131206,26
