comparison,time_scale,log_like,iteration
gen_monsoonal_bio_total,monsoonal,-11887.9844906013,217
gen_monsoonal_bio_monsoonal,total_monsoons,-21369.7144212315,217
gen_annual_bio_annual,annual,-28566.2555560702,217
gen_total_bio_total,total_years,-39119.3839627519,217
gen_monsoonal_bio_total,monsoonal,-12645.5863720378,218
gen_monsoonal_bio_monsoonal,total_monsoons,-23026.605235006,218
gen_annual_bio_annual,annual,-25564.3585779133,218
gen_total_bio_total,total_years,-33043.6061254469,218
gen_monsoonal_bio_total,monsoonal,-15040.2707524883,219
gen_monsoonal_bio_monsoonal,total_monsoons,-24845.5059307083,219
gen_annual_bio_annual,annual,-33092.6983569257,219
gen_total_bio_total,total_years,-40021.6573501503,219
gen_monsoonal_bio_total,monsoonal,-15232.656048676,220
gen_monsoonal_bio_monsoonal,total_monsoons,-27581.4293617903,220
gen_total_bio_total,total_years,-27901.2309470966,220
gen_annual_bio_annual,annual,-29972.6689138604,220
gen_monsoonal_bio_total,monsoonal,-15092.8057736872,221
gen_monsoonal_bio_monsoonal,total_monsoons,-26179.578306545,221
gen_annual_bio_annual,annual,-28108.4167598531,221
gen_total_bio_total,total_years,-38811.3635041806,221
gen_monsoonal_bio_total,monsoonal,-14084.2783589159,222
gen_monsoonal_bio_monsoonal,total_monsoons,-24638.2650595418,222
gen_annual_bio_annual,annual,-25971.1119315188,222
gen_total_bio_total,total_years,-30762.9224208622,222
gen_monsoonal_bio_total,monsoonal,-13254.415045152,223
gen_monsoonal_bio_monsoonal,total_monsoons,-25012.4305570402,223
gen_annual_bio_annual,annual,-29823.7741178656,223
gen_total_bio_total,total_years,-31173.0652370082,223
gen_monsoonal_bio_total,monsoonal,-14249.1673312963,224
gen_monsoonal_bio_monsoonal,total_monsoons,-24087.4913433327,224
gen_annual_bio_annual,annual,-26532.85616005,224
gen_total_bio_total,total_years,-38823.5332725453,224
gen_monsoonal_bio_total,monsoonal,-12937.1503424385,225
gen_monsoonal_bio_monsoonal,total_monsoons,-24296.9843910438,225
gen_annual_bio_annual,annual,-25561.0526651776,225
gen_total_bio_total,total_years,-29152.0705170926,225
gen_monsoonal_bio_total,monsoonal,-15236.8622897645,226
gen_monsoonal_bio_monsoonal,total_monsoons,-26376.7159288142,226
gen_total_bio_total,total_years,-29251.4567849691,226
gen_annual_bio_annual,annual,-32725.5501146483,226
gen_monsoonal_bio_total,monsoonal,-13259.5895505562,227
gen_monsoonal_bio_monsoonal,total_monsoons,-23617.5664228061,227
gen_annual_bio_annual,annual,-26243.8734641484,227
gen_total_bio_total,total_years,-27179.2220314277,227
gen_monsoonal_bio_total,monsoonal,-11925.2167965202,228
gen_monsoonal_bio_monsoonal,total_monsoons,-23354.6564193716,228
gen_annual_bio_annual,annual,-29693.5385879637,228
gen_total_bio_total,total_years,-34279.6526863578,228
gen_monsoonal_bio_total,monsoonal,-13856.8359767376,229
gen_monsoonal_bio_monsoonal,total_monsoons,-24554.5990790694,229
gen_annual_bio_annual,annual,-29032.6433767579,229
gen_total_bio_total,total_years,-40162.8745299699,229
gen_monsoonal_bio_total,monsoonal,-16158.0295865275,230
gen_annual_bio_annual,annual,-26191.0348697403,230
gen_monsoonal_bio_monsoonal,total_monsoons,-26343.2058392724,230
gen_total_bio_total,total_years,-39315.7726892074,230
gen_monsoonal_bio_total,monsoonal,-14088.2298486753,231
gen_monsoonal_bio_monsoonal,total_monsoons,-23809.5957774443,231
gen_annual_bio_annual,annual,-27358.4958053019,231
gen_total_bio_total,total_years,-39724.2600851073,231
gen_monsoonal_bio_total,monsoonal,-14432.8369976263,232
gen_monsoonal_bio_monsoonal,total_monsoons,-25411.4550610869,232
gen_annual_bio_annual,annual,-25956.5610202818,232
gen_total_bio_total,total_years,-33866.5594097052,232
gen_monsoonal_bio_total,monsoonal,-14298.9286046961,233
gen_monsoonal_bio_monsoonal,total_monsoons,-24953.3990020262,233
gen_annual_bio_annual,annual,-27674.4983477435,233
gen_total_bio_total,total_years,-39629.59030966,233
gen_monsoonal_bio_total,monsoonal,-12357.8287835349,234
gen_monsoonal_bio_monsoonal,total_monsoons,-21311.7942756023,234
gen_total_bio_total,total_years,-27272.2754637384,234
gen_annual_bio_annual,annual,-28942.1925486058,234
gen_monsoonal_bio_total,monsoonal,-15296.4841854717,235
gen_monsoonal_bio_monsoonal,total_monsoons,-26969.2226357609,235
gen_annual_bio_annual,annual,-28767.4802385546,235
gen_total_bio_total,total_years,-39279.1488987565,235
gen_monsoonal_bio_total,monsoonal,-12867.2142885143,236
gen_monsoonal_bio_monsoonal,total_monsoons,-23099.1252693783,236
gen_total_bio_total,total_years,-28042.0103070706,236
gen_annual_bio_annual,annual,-32324.9679787568,236
gen_monsoonal_bio_total,monsoonal,-13111.4568197096,237
gen_monsoonal_bio_monsoonal,total_monsoons,-23318.1174500836,237
gen_annual_bio_annual,annual,-29147.1889612053,237
gen_total_bio_total,total_years,-29575.9610910565,237
gen_monsoonal_bio_total,monsoonal,-12838.6267847475,238
gen_monsoonal_bio_monsoonal,total_monsoons,-24549.3221448602,238
gen_annual_bio_annual,annual,-26974.0623179376,238
gen_total_bio_total,total_years,-29296.0776135838,238
gen_monsoonal_bio_total,monsoonal,-13211.0151102124,239
gen_monsoonal_bio_monsoonal,total_monsoons,-23696.6341668051,239
gen_annual_bio_annual,annual,-26465.7087560157,239
gen_total_bio_total,total_years,-28532.6195295165,239
gen_monsoonal_bio_total,monsoonal,-14316.6132003747,240
gen_monsoonal_bio_monsoonal,total_monsoons,-24660.936315223,240
gen_annual_bio_annual,annual,-25463.9588539838,240
gen_total_bio_total,total_years,-38808.7134315558,240
gen_monsoonal_bio_total,monsoonal,-13997.3612944565,241
gen_monsoonal_bio_monsoonal,total_monsoons,-24258.2676224077,241
gen_annual_bio_annual,annual,-26851.5237756004,241
gen_total_bio_total,total_years,-39358.3747665766,241
gen_monsoonal_bio_total,monsoonal,-13394.1241766207,242
gen_monsoonal_bio_monsoonal,total_monsoons,-22852.7571130778,242
gen_total_bio_total,total_years,-27822.1671522341,242
gen_annual_bio_annual,annual,-29782.5019168389,242
gen_monsoonal_bio_total,monsoonal,-12196.4953371862,243
gen_monsoonal_bio_monsoonal,total_monsoons,-23257.0545034075,243
gen_annual_bio_annual,annual,-28448.5292788072,243
gen_total_bio_total,total_years,-35291.183240528,243
gen_monsoonal_bio_total,monsoonal,-17924.7910621023,244
gen_annual_bio_annual,annual,-25438.7748215401,244
gen_monsoonal_bio_monsoonal,total_monsoons,-28187.4905733804,244
gen_total_bio_total,total_years,-29323.0762411103,244
gen_monsoonal_bio_total,monsoonal,-13373.210124403,245
gen_monsoonal_bio_monsoonal,total_monsoons,-23500.9109440136,245
gen_total_bio_total,total_years,-26846.6818335022,245
gen_annual_bio_annual,annual,-29796.6783507907,245
gen_monsoonal_bio_total,monsoonal,-14965.0795453617,246
gen_monsoonal_bio_monsoonal,total_monsoons,-25457.1368727195,246
gen_total_bio_total,total_years,-28073.974693718,246
gen_annual_bio_annual,annual,-28658.1823404143,246
gen_monsoonal_bio_total,monsoonal,-14558.5148332538,247
gen_monsoonal_bio_monsoonal,total_monsoons,-24524.1784061202,247
gen_annual_bio_annual,annual,-27874.5145046262,247
gen_total_bio_total,total_years,-38398.534213633,247
gen_monsoonal_bio_total,monsoonal,-13626.1800385502,248
gen_monsoonal_bio_monsoonal,total_monsoons,-26164.7532615016,248
gen_annual_bio_annual,annual,-31735.0360008518,248
gen_total_bio_total,total_years,-38841.2492498643,248
gen_monsoonal_bio_total,monsoonal,-13725.096758678,249
gen_monsoonal_bio_monsoonal,total_monsoons,-25590.5129766538,249
gen_annual_bio_annual,annual,-32460.7245771294,249
gen_total_bio_total,total_years,-39570.8242034161,249
gen_monsoonal_bio_total,monsoonal,-14481.3667042445,250
gen_monsoonal_bio_monsoonal,total_monsoons,-24466.0518693376,250
gen_annual_bio_annual,annual,-27579.6524668503,250
gen_total_bio_total,total_years,-27999.6137138359,250
gen_monsoonal_bio_total,monsoonal,-13606.1553162419,251
gen_monsoonal_bio_monsoonal,total_monsoons,-23806.0537991998,251
gen_annual_bio_annual,annual,-26772.1708361601,251
gen_total_bio_total,total_years,-27129.5290629169,251
gen_monsoonal_bio_total,monsoonal,-12568.5876168515,252
gen_monsoonal_bio_monsoonal,total_monsoons,-22862.1325329751,252
gen_annual_bio_annual,annual,-26709.2638201063,252
gen_total_bio_total,total_years,-28858.1344499112,252
gen_monsoonal_bio_total,monsoonal,-16739.0688903358,253
gen_monsoonal_bio_monsoonal,total_monsoons,-26823.7654044973,253
gen_total_bio_total,total_years,-29069.8717847845,253
gen_annual_bio_annual,annual,-30645.1608537157,253
gen_monsoonal_bio_total,monsoonal,-13284.7474204176,254
gen_monsoonal_bio_monsoonal,total_monsoons,-23718.6942254384,254
gen_annual_bio_annual,annual,-27290.9556248544,254
gen_total_bio_total,total_years,-38605.784610475,254
gen_monsoonal_bio_total,monsoonal,-12141.2405172033,255
gen_monsoonal_bio_monsoonal,total_monsoons,-22353.1703860949,255
gen_total_bio_total,total_years,-29219.3238470356,255
gen_annual_bio_annual,annual,-30574.277256797,255
gen_monsoonal_bio_total,monsoonal,-16624.1802830317,256
gen_annual_bio_annual,annual,-26755.5371314209,256
gen_monsoonal_bio_monsoonal,total_monsoons,-27637.9554769563,256
gen_total_bio_total,total_years,-37930.9347756035,256
gen_monsoonal_bio_total,monsoonal,-13050.3880563689,257
gen_monsoonal_bio_monsoonal,total_monsoons,-23591.2913829955,257
gen_annual_bio_annual,annual,-29048.0894889107,257
gen_total_bio_total,total_years,-41220.8913614237,257
gen_monsoonal_bio_total,monsoonal,-14227.7023006462,258
gen_monsoonal_bio_monsoonal,total_monsoons,-24726.6239509262,258
gen_annual_bio_annual,annual,-31311.3432881102,258
gen_total_bio_total,total_years,-39843.7903727059,258
gen_monsoonal_bio_total,monsoonal,-12487.2406045774,259
gen_monsoonal_bio_monsoonal,total_monsoons,-22341.6496720141,259
gen_annual_bio_annual,annual,-27789.7011950647,259
gen_total_bio_total,total_years,-37551.4384713852,259
gen_monsoonal_bio_total,monsoonal,-14417.9719092983,260
gen_monsoonal_bio_monsoonal,total_monsoons,-24573.8856208288,260
gen_annual_bio_annual,annual,-26517.6771809111,260
gen_total_bio_total,total_years,-29485.3532233344,260
gen_monsoonal_bio_total,monsoonal,-14337.7101866082,261
gen_monsoonal_bio_monsoonal,total_monsoons,-24790.8730515223,261
gen_annual_bio_annual,annual,-30393.1972760062,261
gen_total_bio_total,total_years,-39544.0777470044,261
gen_monsoonal_bio_total,monsoonal,-14526.5307380861,262
gen_monsoonal_bio_monsoonal,total_monsoons,-24844.311102288,262
gen_annual_bio_annual,annual,-26872.980737202,262
gen_total_bio_total,total_years,-27919.6519625349,262
gen_monsoonal_bio_total,monsoonal,-13766.0087977494,263
gen_monsoonal_bio_monsoonal,total_monsoons,-24604.1282581046,263
gen_annual_bio_annual,annual,-25622.1003812951,263
gen_total_bio_total,total_years,-28952.0071963572,263
gen_monsoonal_bio_total,monsoonal,-11754.126997076,264
gen_monsoonal_bio_monsoonal,total_monsoons,-21786.0660088582,264
gen_annual_bio_annual,annual,-26565.3766988245,264
gen_total_bio_total,total_years,-26591.4423938535,264
gen_monsoonal_bio_total,monsoonal,-12883.7933384466,265
gen_monsoonal_bio_monsoonal,total_monsoons,-22762.3192806217,265
gen_annual_bio_annual,annual,-27357.6889859282,265
gen_total_bio_total,total_years,-31282.9609074576,265
gen_monsoonal_bio_total,monsoonal,-14696.6304223937,266
gen_annual_bio_annual,annual,-24663.0391573582,266
gen_monsoonal_bio_monsoonal,total_monsoons,-25309.7484939635,266
gen_total_bio_total,total_years,-29041.011401313,266
gen_monsoonal_bio_total,monsoonal,-12740.8285304965,267
gen_monsoonal_bio_monsoonal,total_monsoons,-21768.2259098209,267
gen_annual_bio_annual,annual,-29205.9162953266,267
gen_total_bio_total,total_years,-39181.6966378725,267
gen_monsoonal_bio_total,monsoonal,-10919.9623405957,268
gen_monsoonal_bio_monsoonal,total_monsoons,-20193.3558106243,268
gen_annual_bio_annual,annual,-34559.2141379168,268
gen_total_bio_total,total_years,-37848.0790385784,268
gen_monsoonal_bio_total,monsoonal,-13644.2500734517,269
gen_monsoonal_bio_monsoonal,total_monsoons,-23906.0966968775,269
gen_annual_bio_annual,annual,-28824.1059371175,269
gen_total_bio_total,total_years,-40560.2824486799,269
gen_monsoonal_bio_total,monsoonal,-12992.5962547209,270
gen_monsoonal_bio_monsoonal,total_monsoons,-21949.8902821318,270
gen_total_bio_total,total_years,-27757.2977648979,270
gen_annual_bio_annual,annual,-33341.4522861854,270
gen_monsoonal_bio_total,monsoonal,-12758.8277327096,271
gen_monsoonal_bio_monsoonal,total_monsoons,-22032.1856731957,271
gen_annual_bio_annual,annual,-25914.6755545185,271
gen_total_bio_total,total_years,-39799.8225879807,271
gen_monsoonal_bio_total,monsoonal,-15692.8452536368,272
gen_monsoonal_bio_monsoonal,total_monsoons,-26574.9910982672,272
gen_annual_bio_annual,annual,-26640.7658677677,272
gen_total_bio_total,total_years,-38813.6488161974,272
gen_monsoonal_bio_total,monsoonal,-12296.968638348,273
gen_monsoonal_bio_monsoonal,total_monsoons,-22938.7438310508,273
gen_annual_bio_annual,annual,-26844.0909425648,273
gen_total_bio_total,total_years,-38835.6486489127,273
gen_monsoonal_bio_total,monsoonal,-14044.7848948563,274
gen_monsoonal_bio_monsoonal,total_monsoons,-26290.3264511323,274
gen_total_bio_total,total_years,-26804.4532992054,274
gen_annual_bio_annual,annual,-28140.833080089,274
gen_monsoonal_bio_total,monsoonal,-16298.402972916,275
gen_monsoonal_bio_monsoonal,total_monsoons,-26322.7471161398,275
gen_total_bio_total,total_years,-26389.8010831787,275
gen_annual_bio_annual,annual,-31122.0554858113,275
gen_monsoonal_bio_total,monsoonal,-13208.9084850162,276
gen_monsoonal_bio_monsoonal,total_monsoons,-24230.8016341748,276
gen_annual_bio_annual,annual,-29720.5457422355,276
gen_total_bio_total,total_years,-40153.8694785667,276
gen_monsoonal_bio_total,monsoonal,-14003.1129960462,277
gen_monsoonal_bio_monsoonal,total_monsoons,-23482.9957914392,277
gen_total_bio_total,total_years,-30482.325677255,277
gen_annual_bio_annual,annual,-32486.8687109105,277
gen_monsoonal_bio_total,monsoonal,-11765.6465553646,278
gen_monsoonal_bio_monsoonal,total_monsoons,-22136.6373974391,278
gen_annual_bio_annual,annual,-25307.4256399161,278
gen_total_bio_total,total_years,-38858.7970150358,278
gen_monsoonal_bio_total,monsoonal,-18078.2486608546,279
gen_annual_bio_annual,annual,-27430.974980157,279
gen_monsoonal_bio_monsoonal,total_monsoons,-29472.5699738368,279
gen_total_bio_total,total_years,-39501.2240514237,279
gen_monsoonal_bio_total,monsoonal,-11570.1093275575,280
gen_monsoonal_bio_monsoonal,total_monsoons,-23003.56565174,280
gen_annual_bio_annual,annual,-28388.4645755501,280
gen_total_bio_total,total_years,-28506.8488991848,280
gen_monsoonal_bio_total,monsoonal,-14486.3354615463,281
gen_annual_bio_annual,annual,-24295.3588353874,281
gen_monsoonal_bio_monsoonal,total_monsoons,-25596.1281301606,281
gen_total_bio_total,total_years,-37891.128143959,281
gen_monsoonal_bio_total,monsoonal,-12723.7025463861,282
gen_monsoonal_bio_monsoonal,total_monsoons,-21638.3896430498,282
gen_annual_bio_annual,annual,-31546.2369621441,282
gen_total_bio_total,total_years,-39050.9112661159,282
gen_monsoonal_bio_total,monsoonal,-15738.3943903041,283
gen_monsoonal_bio_monsoonal,total_monsoons,-25310.4474413459,283
gen_annual_bio_annual,annual,-30574.4761222273,283
gen_total_bio_total,total_years,-39631.682008415,283
gen_monsoonal_bio_total,monsoonal,-16311.9153555392,284
gen_annual_bio_annual,annual,-24494.3987396552,284
gen_monsoonal_bio_monsoonal,total_monsoons,-26531.1832658346,284
gen_total_bio_total,total_years,-40605.8374644605,284
gen_monsoonal_bio_total,monsoonal,-15286.3834819084,285
gen_annual_bio_annual,annual,-25990.6018066012,285
gen_monsoonal_bio_monsoonal,total_monsoons,-26909.231999865,285
gen_total_bio_total,total_years,-32825.5615252496,285
gen_monsoonal_bio_total,monsoonal,-17321.9231226793,286
gen_monsoonal_bio_monsoonal,total_monsoons,-28515.4528960531,286
gen_annual_bio_annual,annual,-29581.5555312879,286
gen_total_bio_total,total_years,-38981.2705784936,286
gen_monsoonal_bio_total,monsoonal,-18899.3982316157,287
gen_annual_bio_annual,annual,-29180.6737828109,287
gen_monsoonal_bio_monsoonal,total_monsoons,-30232.9676984157,287
gen_total_bio_total,total_years,-39394.2512997947,287
gen_monsoonal_bio_total,monsoonal,-12753.30223322,288
gen_monsoonal_bio_monsoonal,total_monsoons,-22936.9486395305,288
gen_annual_bio_annual,annual,-23377.3519704968,288
gen_total_bio_total,total_years,-40543.7798191213,288
gen_monsoonal_bio_total,monsoonal,-13111.4011457813,289
gen_monsoonal_bio_monsoonal,total_monsoons,-24271.8200769836,289
gen_annual_bio_annual,annual,-28606.0855437087,289
gen_total_bio_total,total_years,-39096.3796323835,289
gen_monsoonal_bio_total,monsoonal,-13543.3806119076,290
gen_monsoonal_bio_monsoonal,total_monsoons,-23625.6801902179,290
gen_annual_bio_annual,annual,-26384.8114802778,290
gen_total_bio_total,total_years,-28894.9278847212,290
gen_monsoonal_bio_total,monsoonal,-13152.3900289705,291
gen_monsoonal_bio_monsoonal,total_monsoons,-24464.6254778446,291
gen_annual_bio_annual,annual,-26204.7148839678,291
gen_total_bio_total,total_years,-27083.6497987645,291
gen_monsoonal_bio_total,monsoonal,-13974.1196023241,292
gen_monsoonal_bio_monsoonal,total_monsoons,-23867.9840822085,292
gen_annual_bio_annual,annual,-31954.5622630007,292
gen_total_bio_total,total_years,-38793.9012220065,292
gen_monsoonal_bio_total,monsoonal,-16239.5323730257,293
gen_monsoonal_bio_monsoonal,total_monsoons,-25053.7467750644,293
gen_annual_bio_annual,annual,-27779.5480728153,293
gen_total_bio_total,total_years,-38901.9988052077,293
gen_monsoonal_bio_total,monsoonal,-15094.3131004391,294
gen_total_bio_total,total_years,-24593.725704576,294
gen_monsoonal_bio_monsoonal,total_monsoons,-26412.7093924673,294
gen_annual_bio_annual,annual,-26689.578431983,294
gen_monsoonal_bio_total,monsoonal,-14938.0560769516,295
gen_monsoonal_bio_monsoonal,total_monsoons,-25849.9032509217,295
gen_annual_bio_annual,annual,-28853.7470595646,295
gen_total_bio_total,total_years,-38885.1312763733,295
gen_monsoonal_bio_total,monsoonal,-12362.6030590934,296
gen_monsoonal_bio_monsoonal,total_monsoons,-22186.5857119222,296
gen_annual_bio_annual,annual,-29773.9110754295,296
gen_total_bio_total,total_years,-40369.189660763,296
gen_monsoonal_bio_total,monsoonal,-14074.2144675215,297
gen_monsoonal_bio_monsoonal,total_monsoons,-24960.392493083,297
gen_annual_bio_annual,annual,-27478.4632648293,297
gen_total_bio_total,total_years,-29491.3313125059,297
gen_monsoonal_bio_total,monsoonal,-15696.4136488364,298
gen_monsoonal_bio_monsoonal,total_monsoons,-26618.6244623576,298
gen_annual_bio_annual,annual,-27215.1067006593,298
gen_total_bio_total,total_years,-38329.5728826957,298
gen_monsoonal_bio_total,monsoonal,-13775.1995443874,299
gen_monsoonal_bio_monsoonal,total_monsoons,-25596.536035976,299
gen_total_bio_total,total_years,-26394.931840355,299
gen_annual_bio_annual,annual,-29141.2177417545,299
gen_monsoonal_bio_total,monsoonal,-14403.8887482705,300
gen_monsoonal_bio_monsoonal,total_monsoons,-25099.8223868586,300
gen_annual_bio_annual,annual,-30175.1204316499,300
gen_total_bio_total,total_years,-39108.0562694848,300
gen_monsoonal_bio_total,monsoonal,-13641.3768520849,301
gen_monsoonal_bio_monsoonal,total_monsoons,-24864.0170014877,301
gen_annual_bio_annual,annual,-25459.0879123372,301
gen_total_bio_total,total_years,-28831.158180716,301
gen_monsoonal_bio_total,monsoonal,-12642.3641347906,302
gen_monsoonal_bio_monsoonal,total_monsoons,-22910.7758437457,302
gen_annual_bio_annual,annual,-26339.034312229,302
gen_total_bio_total,total_years,-38870.2252356357,302
gen_monsoonal_bio_total,monsoonal,-12567.2313321842,303
gen_monsoonal_bio_monsoonal,total_monsoons,-22088.3485486761,303
gen_annual_bio_annual,annual,-33163.5797002667,303
gen_total_bio_total,total_years,-39897.2431468934,303
gen_monsoonal_bio_total,monsoonal,-11307.1044505676,304
gen_monsoonal_bio_monsoonal,total_monsoons,-21218.6527357979,304
gen_annual_bio_annual,annual,-29110.8846448556,304
gen_total_bio_total,total_years,-39419.8577833152,304
gen_monsoonal_bio_total,monsoonal,-13112.4990702653,305
gen_monsoonal_bio_monsoonal,total_monsoons,-23544.3829483241,305
gen_annual_bio_annual,annual,-29797.979536321,305
gen_total_bio_total,total_years,-39514.5165342098,305
gen_monsoonal_bio_total,monsoonal,-12715.7458162797,306
gen_monsoonal_bio_monsoonal,total_monsoons,-22135.4344059238,306
gen_total_bio_total,total_years,-27030.179427969,306
gen_annual_bio_annual,annual,-30157.3661721273,306
gen_monsoonal_bio_total,monsoonal,-15812.5563523829,307
gen_annual_bio_annual,annual,-27082.2055011952,307
gen_monsoonal_bio_monsoonal,total_monsoons,-27921.5230163161,307
gen_total_bio_total,total_years,-42099.4480685132,307
gen_monsoonal_bio_total,monsoonal,-12495.1627389331,308
gen_monsoonal_bio_monsoonal,total_monsoons,-22875.8789549282,308
gen_total_bio_total,total_years,-27339.3900926672,308
gen_annual_bio_annual,annual,-29389.1597021511,308
gen_monsoonal_bio_total,monsoonal,-14430.8341059678,309
gen_monsoonal_bio_monsoonal,total_monsoons,-24214.6578303363,309
gen_annual_bio_annual,annual,-32264.9856675855,309
gen_total_bio_total,total_years,-37605.6848556134,309
gen_monsoonal_bio_total,monsoonal,-13028.6215228932,310
gen_monsoonal_bio_monsoonal,total_monsoons,-22918.3514509604,310
gen_annual_bio_annual,annual,-28635.0079859967,310
gen_total_bio_total,total_years,-32864.7450038371,310
gen_monsoonal_bio_total,monsoonal,-16572.8829686306,311
gen_monsoonal_bio_monsoonal,total_monsoons,-25676.1381793078,311
gen_annual_bio_annual,annual,-28332.3065354532,311
gen_total_bio_total,total_years,-38940.5834985839,311
gen_monsoonal_bio_total,monsoonal,-18343.0823597759,312
gen_annual_bio_annual,annual,-28713.6291528312,312
gen_monsoonal_bio_monsoonal,total_monsoons,-29271.3697601179,312
gen_total_bio_total,total_years,-29765.3712971485,312
gen_monsoonal_bio_total,monsoonal,-12952.9750708903,313
gen_monsoonal_bio_monsoonal,total_monsoons,-22536.1678408823,313
gen_annual_bio_annual,annual,-33284.0363135197,313
gen_total_bio_total,total_years,-38096.4917650998,313
gen_monsoonal_bio_total,monsoonal,-14069.3785570939,314
gen_monsoonal_bio_monsoonal,total_monsoons,-23956.6844889522,314
gen_annual_bio_annual,annual,-24660.9985111525,314
gen_total_bio_total,total_years,-39239.0832670977,314
gen_monsoonal_bio_total,monsoonal,-14880.5303650104,315
gen_monsoonal_bio_monsoonal,total_monsoons,-25067.1592849699,315
gen_total_bio_total,total_years,-29750.075013196,315
gen_annual_bio_annual,annual,-30904.2212399628,315
gen_monsoonal_bio_total,monsoonal,-13625.0912709016,316
gen_monsoonal_bio_monsoonal,total_monsoons,-23459.034378331,316
gen_annual_bio_annual,annual,-25720.7080628518,316
gen_total_bio_total,total_years,-29622.4714990947,316
gen_monsoonal_bio_total,monsoonal,-13422.8478368623,317
gen_monsoonal_bio_monsoonal,total_monsoons,-23926.9899396435,317
gen_annual_bio_annual,annual,-27570.8512964101,317
gen_total_bio_total,total_years,-27743.1530614505,317
gen_monsoonal_bio_total,monsoonal,-13432.1736624172,318
gen_monsoonal_bio_monsoonal,total_monsoons,-25301.2893797246,318
gen_annual_bio_annual,annual,-28889.4504786811,318
gen_total_bio_total,total_years,-38995.7947794531,318
gen_monsoonal_bio_total,monsoonal,-13482.483929635,319
gen_monsoonal_bio_monsoonal,total_monsoons,-23845.2036387206,319
gen_annual_bio_annual,annual,-28171.1616263523,319
gen_total_bio_total,total_years,-29642.2726700626,319
gen_monsoonal_bio_total,monsoonal,-13674.277400813,320
gen_monsoonal_bio_monsoonal,total_monsoons,-23704.1844305963,320
gen_annual_bio_annual,annual,-30415.5230147886,320
gen_total_bio_total,total_years,-39803.890348298,320
gen_monsoonal_bio_total,monsoonal,-13265.3145696274,321
gen_monsoonal_bio_monsoonal,total_monsoons,-22205.6373096357,321
gen_total_bio_total,total_years,-28055.3883804906,321
gen_annual_bio_annual,annual,-29812.0894553497,321
gen_monsoonal_bio_total,monsoonal,-14036.8706358706,322
gen_monsoonal_bio_monsoonal,total_monsoons,-24548.1992557179,322
gen_annual_bio_annual,annual,-27976.5146617935,322
gen_total_bio_total,total_years,-29420.6260727585,322
gen_monsoonal_bio_total,monsoonal,-13549.9317643673,323
gen_monsoonal_bio_monsoonal,total_monsoons,-23617.456691036,323
gen_annual_bio_annual,annual,-29136.8053819468,323
gen_total_bio_total,total_years,-37773.2590785443,323
gen_monsoonal_bio_total,monsoonal,-14600.0071316006,324
gen_monsoonal_bio_monsoonal,total_monsoons,-25789.3408916394,324
gen_annual_bio_annual,annual,-28467.4877541237,324
gen_total_bio_total,total_years,-30623.5698786682,324
gen_monsoonal_bio_total,monsoonal,-15594.8971442568,325
gen_monsoonal_bio_monsoonal,total_monsoons,-27132.9974167802,325
gen_total_bio_total,total_years,-27767.6475114038,325
gen_annual_bio_annual,annual,-29277.8763593459,325
gen_monsoonal_bio_total,monsoonal,-16558.0681975661,326
gen_annual_bio_annual,annual,-28165.9328133461,326
gen_monsoonal_bio_monsoonal,total_monsoons,-28190.4417289751,326
gen_total_bio_total,total_years,-40963.5357529475,326
gen_monsoonal_bio_total,monsoonal,-15699.2117062371,327
gen_annual_bio_annual,annual,-25321.2896619526,327
gen_monsoonal_bio_monsoonal,total_monsoons,-26983.2798484911,327
gen_total_bio_total,total_years,-28761.732540629,327
gen_monsoonal_bio_total,monsoonal,-14391.4179076085,328
gen_monsoonal_bio_monsoonal,total_monsoons,-26420.9596706837,328
gen_total_bio_total,total_years,-29249.5091726229,328
gen_annual_bio_annual,annual,-30550.1070907967,328
gen_monsoonal_bio_total,monsoonal,-14222.531415723,329
gen_monsoonal_bio_monsoonal,total_monsoons,-25154.5490081487,329
gen_annual_bio_annual,annual,-28024.0975214885,329
gen_total_bio_total,total_years,-39047.4615096028,329
gen_monsoonal_bio_total,monsoonal,-13692.5923870494,330
gen_monsoonal_bio_monsoonal,total_monsoons,-24537.0796857089,330
gen_annual_bio_annual,annual,-28752.1494965281,330
gen_total_bio_total,total_years,-39612.3255598491,330
gen_monsoonal_bio_total,monsoonal,-15941.3387459212,331
gen_monsoonal_bio_monsoonal,total_monsoons,-27831.4553896654,331
gen_total_bio_total,total_years,-29339.3033236127,331
gen_annual_bio_annual,annual,-36769.9834531756,331
gen_monsoonal_bio_total,monsoonal,-15581.9688542381,332
gen_monsoonal_bio_monsoonal,total_monsoons,-26548.3817506154,332
gen_total_bio_total,total_years,-27436.2252495863,332
gen_annual_bio_annual,annual,-29683.8530282681,332
gen_monsoonal_bio_total,monsoonal,-13993.7127746156,333
gen_monsoonal_bio_monsoonal,total_monsoons,-24244.051280619,333
gen_total_bio_total,total_years,-26483.415534286,333
gen_annual_bio_annual,annual,-28687.675842806,333
gen_monsoonal_bio_total,monsoonal,-14320.8574321906,334
gen_monsoonal_bio_monsoonal,total_monsoons,-23808.8209277976,334
gen_annual_bio_annual,annual,-30950.3096656059,334
gen_total_bio_total,total_years,-39242.444721005,334
gen_monsoonal_bio_total,monsoonal,-14123.8963167366,335
gen_monsoonal_bio_monsoonal,total_monsoons,-24738.2133027774,335
gen_annual_bio_annual,annual,-26498.7280869704,335
