data_source,time_scale,time_id,k,theta,mdd,med,dist90,log_like,iteration
simulation,annual,2012,-2.16513272064007,5,4.21119609707137,4.0151,7.8821,-148070.832105569,1
simulation,annual,2013,-0.463871759107918,0.630772410726732,4.19766711247522,2.3151,10.3506,-549881.079544153,1
simulation,annual,2014,0.279747324553625,0.528013847427885,3.64409752064487,1.7827,9.1516,-529382.419980439,1
simulation,total_years,2012-4,-0.108659146475611,0.576993283333327,3.90029821196859,2.031,9.7143,-1685164.27655827,1
simulation,monsoonal,NEM,-0.23000841629771,0.608302248485838,3.70909007719715,1.9996,9.185,-1569297.64476531,1
simulation,monsoonal,SWM,0.565585611230009,0.419833730437975,7.82927724491979,3.1698,19.8778,-91246.6363811391,1
genetics,annual,2012,-3.25921292735547,3.62189964091526,12.8359065249436,11.8789,24.6558,-16.8946253085179,1
genetics,annual,2013,2.04751099866243,0.31879429435336,10.9187845212902,3.3002,27.2928,-81.4688650311126,1
genetics,annual,2014,1.77248931675801,0.275484703661356,52.0174507352224,12.9915,126.6523,-69.348143585306,1
genetics,total_years,2012-4,0.912890605418209,0.354469093906116,15.5107564620825,5.2974,39.1838,-176.687090512819,1
genetics,monsoonal,NEM,2.2449371657245,0.310001082693106,11.2428747033336,3.2832,27.9931,-33.7704499461158,1
genetics,monsoonal,SWM,3.14090378076869,0.216021578748415,218.196535412179,37.0304,489.4161,-48.4820136329253,1
simulation,annual,2012,-2.16398067801953,4.96449978503861,4.20735995878375,4.0092,7.8787,-149129.533662946,2
simulation,annual,2013,-0.468233867601801,0.63139317647224,4.20379808769513,2.3199,10.3644,-548822.613414918,2
simulation,annual,2014,0.301113374648611,0.524727071003444,3.65440168147519,1.7796,9.1821,-524936.674877792,2
simulation,total_years,2012-4,-0.0947959685144203,0.574734235802976,3.89807373898074,2.0245,9.7127,-1679328.5068493,2
simulation,monsoonal,NEM,-0.216745020257605,0.605888808331045,3.70604039074652,1.9928,9.1816,-1563177.34219229,2
simulation,monsoonal,SWM,0.598375446369194,0.417144552360448,7.84480934636682,3.1572,19.9181,-91719.8472447448,2
genetics,annual,2012,-3.22957973346435,3.58790291762684,12.4731262289408,11.5311,23.9802,-22.1710131404104,2
genetics,annual,2013,-1.30110436811396,0.665708575048051,8.32231748039725,4.7409,20.3826,-102.148201210307,2
genetics,annual,2014,0.813875124694102,0.322735832672089,34.0316039245019,10.4397,85.1992,-78.6558790500268,2
genetics,total_years,2012-4,-0.784709339103518,0.537652296021295,9.86248366813371,4.8888,24.7302,-199.641126012831,2
genetics,monsoonal,NEM,1.24560760390423,0.334829232701123,16.6998660291725,5.3497,41.9817,-16.95637446618,2
genetics,monsoonal,SWM,-3.39203076138314,5,14.3628463340216,13.6939,26.883,-73.1957432465652,2
simulation,annual,2012,-2.15252465513075,4.69297461332243,4.16849243239715,3.9546,7.8368,-149806.747745234,3
simulation,annual,2013,-0.476753702128716,0.632594472831316,4.21610436369527,2.3294,10.3924,-549868.261371938,3
simulation,annual,2014,0.285359786433425,0.527015682920804,3.65027650474476,1.7833,9.1685,-526369.471883099,3
simulation,total_years,2012-4,-0.10976788446862,0.577074850789817,3.90276090162395,2.0325,9.7203,-1683662.43306033,3
simulation,monsoonal,NEM,-0.231098290389547,0.608401954713679,3.71123667566469,2.0009,9.1901,-1568229.94931136,3
simulation,monsoonal,SWM,0.582440257309053,0.417844884620489,7.89855063602396,3.1838,20.0543,-90714.7363265678,3
genetics,annual,2012,-3.46259801556318,5,15.4130108148371,14.6952,28.8486,-7.1117363949279,3
genetics,annual,2013,-0.9725334700728,0.606771543660683,7.85529416875565,4.228,19.458,-102.123236703759,3
genetics,annual,2014,1.22329328803284,0.336536757280103,16.4462367634037,5.2994,41.3652,-76.1408962248105,3
genetics,total_years,2012-4,-0.206570725152473,0.454328857948169,11.3363759611873,4.9229,28.7308,-189.853470579651,3
genetics,monsoonal,NEM,-0.00586727883650824,0.446893993644316,10.0499643012704,4.3028,25.4849,-20.0487609862452,3
genetics,monsoonal,SWM,-1.37897860124268,0.572883592803964,14.234269503968,7.3765,35.4786,-48.145917896338,3
simulation,annual,2012,-2.15837369700435,4.83934120996954,4.1877091346021,3.9826,7.8557,-148769.559051728,4
simulation,annual,2013,-0.481358567573674,0.633539117434017,4.21704326563948,2.332,10.3928,-548915.472998684,4
simulation,annual,2014,0.269047503612212,0.52925187128528,3.65024249188449,1.7888,9.1652,-527097.470170984,4
simulation,total_years,2012-4,-0.107445546160277,0.576716141622074,3.90189826051745,2.0312,9.7187,-1680703.14718502,4
simulation,monsoonal,NEM,-0.230463023985552,0.608342357131102,3.71001339205916,2.0001,9.1872,-1564900.09994129,4
simulation,monsoonal,SWM,0.601923760406359,0.416101113269762,7.92437315990275,3.1818,20.1203,-91004.3834009111,4
