time_scale,time_id,k,theta,mdd,med,dist90,log_like,data_source
annual_monsoon,NEM2011,-1.75309,1.30265,4.26,3.24,9.39,-1045881.79507874,simulation
annual_monsoon,NEM2012,-1.73326,1.26304,4.3,3.24,9.52,-1120211.94985333,simulation
annual_monsoon,NEM2013,-1.85889,1.35246,4.58,3.52,10.04,-1028977.74122927,simulation
annual_monsoon,NEM2014,-1.50649,1.11461,3.92,2.83,8.86,-901086.429309565,simulation
annual_monsoon,SWM2011,-2.14126,1.60872,5.36,4.31,11.41,-371065.58355781,simulation
annual_monsoon,SWM2012,-1.92231,1.47343,4.57,3.59,9.86,-141712.113559232,simulation
annual_monsoon,SWM2013,-1.92912,1.4063,4.76,3.7,10.37,-195363.619159097,simulation
annual_monsoon,SWM2014,-2.08679,1.56256,5.17,4.13,11.06,-197547.832420844,simulation
annual,2011,-1.87313,1.38616,4.56,3.52,9.94,-1419852.1031459,simulation
