time_scale,time_id,k,theta,mdd,med,dist90,log_like
annual_monsoon,NEM2011,-2.03453491113348,1.50536308627778,5.03137327113244,3.98,10.83,-220323.898192302
annual_monsoon,NEM2012,-2.08067967303402,1.52980740740586,5.21091966738539,4.14,11.19,-798473.402723765
annual_monsoon,NEM2013,-2.05877297611976,1.50667245529044,5.151688308129,4.08,11.09,-625961.934878299
annual_monsoon,NEM2014,-2.00089022579628,1.43047133071271,5.05001128775404,3.94,10.96,-390286.360498809
annual_monsoon,SWM2011,-2.14165360497437,1.56274733268676,5.46066913740818,4.36,11.68,-104984.643216294
annual_monsoon,SWM2012,-2.07981596730731,1.47402501129269,5.3438631483521,4.21,11.54,-115668.479682642
annual_monsoon,SWM2013,-2.46655027860042,1.91577690389625,6.76906702102186,5.67,14.04,-125882.219169569
annual_monsoon,SWM2014,-3,1,20.0855369241442,13.92,46.25,0
